transition_group_id,run_id,filename,RT,id,Sequence,FullPeptideName,Charge,Intensity,ProteinName,decoy,total_xic,PeptideRef,leftWidth,rightWidth,peak_apices_sum,var_xcorr_coelution,var_xcorr_coelution_weighted,var_xcorr_shape,var_xcorr_shape_weighted,delta_rt,assay_rt,norm_RT,rt_score,var_norm_rt_score,var_intensity_score,nr_peaks,sn_ratio,var_log_sn_score,var_elution_model_fit_score,main_var_xx_lda_prelim_score,xx_lda_prelim_score,QC_transition_group_score,QC_transition_group_pass,QC_transition_group_message,MZ,peak_apex_position,area_background_level,noise_background_level,native_id,peak_apex_int,total_xic,width_at_5,width_at_10,width_at_50,start_position_at_5,start_position_at_10,start_position_at_50,end_position_at_5,end_position_at_10,end_position_at_50,total_width,tailing_factor,asymmetry_factor,slope_of_baseline,baseline_delta_2_height,points_across_baseline,points_across_half_height,logSN,FeatureLevel,QC_transition_score,QC_transition_pass,QC_transition_message,calculated_concentration,concentration_units,PrecursorMZ,peak_area
b'2-aminobutyrate',20180320_Lars Nielsen samples Vienna_dx20_BA1_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BA1,17.16963952102661,2862931724723160884,b'',NA,1,0.0,b'2-aminobutyrate',0,305412.0,2-aminobutyrate,17.020217895507812,17.276216506958008,0.0,0.0,0.0,1.0,1.0,0.5656395210266112,16.604,17.16963952102661,0.5656395210266112,0.005656395210266112,4.798763057764747e-05,2.0,1.6230285880790645,0.4842939027205548,0.919320285320282,4.299420404928548,4.299420404928548,1.0,1,,0.0,17.16955,35.43471700000026,151.0,2-aminobutyrate,142.99999999999994,305412.0,0.23466700000000174,0.23466700000000174,0.23466700000000174,17.030883,17.030883,17.030883,17.26555,17.26555,17.26555,0.23466700000000174,0.8461530140552509,0.6923060281105017,20.0,0.13986013986013993,23,23,0.4842939027205548,MS2,0.8333333333333334,0,metaValue[asymmetry_factor];metaValue[logSN],40.142484915209586,ug/mL,0.0,14.655998229980469
b'2-aminobutyrate',20180320_Lars Nielsen samples Vienna_dx20_BA1_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BA1,17.16963952102661,2862931724723160884,b'',NA,1,0.0,b'2-aminobutyrate',0,305412.0,2-aminobutyrate,17.020217895507812,17.276216506958008,0.0,0.0,0.0,1.0,1.0,0.5656395210266112,16.604,17.16963952102661,0.5656395210266112,0.005656395210266112,4.798763057764747e-05,2.0,1.6230285880790645,0.4842939027205548,0.919320285320282,4.299420404928548,4.299420404928548,1.0,1,,0.0,17.16955,35.43471700000026,151.0,2-aminobutyrate2,142.99999999999994,305412.0,0.23466700000000174,0.23466700000000174,0.23466700000000174,17.030883,17.030883,17.030883,17.26555,17.26555,17.26555,0.23466700000000174,0.8461530140552509,0.6923060281105017,20.0,0.13986013986013993,23,23,0.4842939027205548,MS2,0.8333333333333334,0,metaValue[asymmetry_factor];metaValue[logSN],,,0.0,14.655998229980469
b'Alanine',20180320_Lars Nielsen samples Vienna_dx20_BA1_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BA1,13.945706448074343,16114104608946842786,b'',NA,1,0.0,b'Alanine',0,305412.0,Alanine,13.82021713256836,14.033550262451172,0.0,0.0,0.0,0.9999999999999999,1.0,-0.013293551925656288,13.959,13.945706448074343,0.013293551925656288,0.0001329355192565629,4.362195042070124e-05,2.0,4.9960573884746715,1.6086490790817993,0.9158014059066772,5.1656814460295895,5.1656814460295895,1.0,1,,0.0,13.948217,9.930682999999995,48.99999999999999,Alanine,132.0,305412.0,0.20266699999999993,0.20266699999999993,0.1706669999999999,13.830883,13.830883,13.862883,14.03355,14.03355,14.03355,0.20266699999999993,0.8636328770859283,0.7272657541718565,28.000000000000007,0.21212121212121218,20,16,1.6086490790817993,MS2,0.9166666666666666,0,metaValue[asymmetry_factor],66.30867801885543,ug/mL,0.0,13.322667121887207
b'Alanine',20180320_Lars Nielsen samples Vienna_dx20_BA1_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BA1,13.945706448074343,16114104608946842786,b'',NA,1,0.0,b'Alanine',0,305412.0,Alanine,13.82021713256836,14.033550262451172,0.0,0.0,0.0,0.9999999999999999,1.0,-0.013293551925656288,13.959,13.945706448074343,0.013293551925656288,0.0001329355192565629,4.362195042070124e-05,2.0,4.9960573884746715,1.6086490790817993,0.9158014059066772,5.1656814460295895,5.1656814460295895,1.0,1,,0.0,13.948217,9.930682999999995,48.99999999999999,Alanine2,132.0,305412.0,0.20266699999999993,0.20266699999999993,0.1706669999999999,13.830883,13.830883,13.862883,14.03355,14.03355,14.03355,0.20266699999999993,0.8636328770859283,0.7272657541718565,28.000000000000007,0.21212121212121218,20,16,1.6086490790817993,MS2,0.9166666666666666,0,metaValue[asymmetry_factor],,,0.0,13.322667121887207
b'Arginine',20180320_Lars Nielsen samples Vienna_dx20_BA1_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BA1,11.572842095062256,3898151049074085318,b'',NA,1,0.0,b'Arginine',0,305412.0,Arginine,11.558882713317871,11.644216537475586,0.0,0.0,0.0,1.0,1.0,-0.4231579049377441,11.996,11.572842095062256,0.4231579049377441,0.004231579049377441,3.440185590741046e-06,2.0,1.6009465664725466,0.4705950583623929,0.2214631736278534,5.614538037694338,5.614538037694338,1.0,1,,0.0,11.56955,2.464010999999994,33.0,Arginine,25.0,305412.0,0.07466699999999982,0.07466699999999982,0.07466699999999982,11.558883,11.558883,11.558883,11.63355,11.63355,11.63355,0.07466699999999982,3.4999062529296663,5.999812505859333,-23.000000000000007,-0.9200000000000003,8,8,0.4705950583623929,MS2,0.5,0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline];metaValue[tailing_factor];metaValue[total_width],45.95308193031769,ug/mL,0.0,1.0506739616394043
b'Arginine',20180320_Lars Nielsen samples Vienna_dx20_BA1_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BA1,11.572842095062256,3898151049074085318,b'',NA,1,0.0,b'Arginine',0,305412.0,Arginine,11.558882713317871,11.644216537475586,0.0,0.0,0.0,1.0,1.0,-0.4231579049377441,11.996,11.572842095062256,0.4231579049377441,0.004231579049377441,3.440185590741046e-06,2.0,1.6009465664725466,0.4705950583623929,0.2214631736278534,5.614538037694338,5.614538037694338,1.0,1,,0.0,11.56955,2.464010999999994,33.0,Arginine2,25.0,305412.0,0.07466699999999982,0.07466699999999982,0.07466699999999982,11.558883,11.558883,11.558883,11.63355,11.63355,11.63355,0.07466699999999982,3.4999062529296663,5.999812505859333,-23.000000000000007,-0.9200000000000003,8,8,0.4705950583623929,MS2,0.5,0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline];metaValue[tailing_factor];metaValue[total_width],,,0.0,1.0506739616394043
b'Asparagine',20180320_Lars Nielsen samples Vienna_dx20_BA1_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BA1,7.925430655120849,8285518880183810421,b'',NA,1,0.0,b'Asparagine',0,305412.0,Asparagine,7.814883232116699,8.028217315673828,0.0,0.0,0.0,1.0,1.0,-0.006569344879151728,7.932,7.925430655120849,0.006569344879151728,6.569344879151728e-05,1.6187968276634405e-05,2.0,5.299685185564292,1.6676474198437552,0.7603357434272766,5.502182961983626,5.502182961983626,1.0,1,,0.0,7.92155,0.20266699999999993,1.0,Asparagine,63.0,305412.0,0.17066599999999976,0.14933399999999963,0.08533399999999958,7.836217,7.846883,7.878883,8.006883,7.996217,7.964217,0.20266699999999993,1.000000000000005,1.0,-1.0,-0.015873015873015872,20,7,1.6676474198437552,MS2,1.0,1,,4.943999767303467,ug/mL,0.0,4.943999767303467
b'Asparagine',20180320_Lars Nielsen samples Vienna_dx20_BA1_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BA1,7.925430655120849,8285518880183810421,b'',NA,1,0.0,b'Asparagine',0,305412.0,Asparagine,7.814883232116699,8.028217315673828,0.0,0.0,0.0,1.0,1.0,-0.006569344879151728,7.932,7.925430655120849,0.006569344879151728,6.569344879151728e-05,1.6187968276634405e-05,2.0,5.299685185564292,1.6676474198437552,0.7603357434272766,5.502182961983626,5.502182961983626,1.0,1,,0.0,7.92155,0.20266699999999993,1.0,Asparagine2,63.0,305412.0,0.17066599999999976,0.14933399999999963,0.08533399999999958,7.836217,7.846883,7.878883,8.006883,7.996217,7.964217,0.20266699999999993,1.000000000000005,1.0,-1.0,-0.015873015873015872,20,7,1.6676474198437552,MS2,1.0,1,,,,0.0,4.943999767303467
b'Aspartate',20180320_Lars Nielsen samples Vienna_dx20_BA1_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BA1,2.88811232194519,7151766288265927591,b'',NA,1,0.0,b'Aspartate',0,305412.0,Aspartate,2.8762168884277344,2.9188830852508545,0.0,0.0,0.0,1.0,1.0,-0.26588767805480984,3.154,2.88811232194519,0.26588767805480984,0.0026588767805480985,7.210334526126861e-05,2.0,69.39275289848246,4.239782436966166,-0.05614771693944931,8.899886378490171,8.899886378490171,1.0,1,,0.0,2.886883,0.04266600000000009,1.0,Aspartate,837.0000000000001,305412.0,0.04266600000000009,0.04266600000000009,0.04266600000000009,2.876217,2.876217,2.876217,2.918883,2.918883,2.918883,0.04266600000000009,2.0000937558597336,3.000187511719467,-237.00000000000003,-0.2831541218637993,5,3,4.239782436966166,MS2,0.5,0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height];metaValue[points_across_baseline];metaValue[points_across_half_height];metaValue[tailing_factor];metaValue[total_width],0.12761480395390637,ug/mL,0.0,22.02122688293457
b'Aspartate',20180320_Lars Nielsen samples Vienna_dx20_BA1_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BA1,2.88811232194519,7151766288265927591,b'',NA,1,0.0,b'Aspartate',0,305412.0,Aspartate,2.8762168884277344,2.9188830852508545,0.0,0.0,0.0,1.0,1.0,-0.26588767805480984,3.154,2.88811232194519,0.26588767805480984,0.0026588767805480985,7.210334526126861e-05,2.0,69.39275289848246,4.239782436966166,-0.05614771693944931,8.899886378490171,8.899886378490171,1.0,1,,0.0,2.886883,0.04266600000000009,1.0,Aspartate2,837.0000000000001,305412.0,0.04266600000000009,0.04266600000000009,0.04266600000000009,2.876217,2.876217,2.876217,2.918883,2.918883,2.918883,0.04266600000000009,2.0000937558597336,3.000187511719467,-237.00000000000003,-0.2831541218637993,5,3,4.239782436966166,MS2,0.5,0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height];metaValue[points_across_baseline];metaValue[points_across_half_height];metaValue[tailing_factor];metaValue[total_width],,,0.0,22.02122688293457
