transition_group_id,run_id,filename,RT,id,Sequence,FullPeptideName,Charge,Intensity,ProteinName,decoy,total_xic,PeptideRef,leftWidth,rightWidth,peak_apices_sum,var_xcorr_coelution,var_xcorr_coelution_weighted,var_xcorr_shape,var_xcorr_shape_weighted,delta_rt,assay_rt,norm_RT,rt_score,var_norm_rt_score,var_intensity_score,nr_peaks,sn_ratio,var_log_sn_score,var_elution_model_fit_score,main_var_xx_lda_prelim_score,xx_lda_prelim_score,QC_transition_group_score,QC_transition_group_pass,QC_transition_group_message,MZ,peak_apex_position,area_background_level,noise_background_level,native_id,peak_apex_int,total_xic,width_at_5,width_at_10,width_at_50,start_position_at_5,start_position_at_10,start_position_at_50,end_position_at_5,end_position_at_10,end_position_at_50,total_width,tailing_factor,asymmetry_factor,slope_of_baseline,baseline_delta_2_height,points_across_baseline,points_across_half_height,logSN,FeatureLevel,QC_transition_score,QC_transition_pass,QC_transition_message,calculated_concentration,concentration_units,PrecursorMZ,peak_area
b'2-aminobutyrate',20180320_Lars Nielsen samples Vienna_dx20_BB1_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB1,16.871131739089964,12010984478965776881,b'',NA,1,0.0,b'2-aminobutyrate',0,279249.0,2-aminobutyrate,16.796266555786133,16.998933792114258,0.0,0.0,0.0,1.0,1.0,0.26713173908996524,16.604,16.871131739089964,0.26713173908996524,0.0026713173908996524,2.2765810604258087e-05,2.0,1.338518546126157,0.2915634397852717,0.866935133934021,4.278523122032414,4.278523122032414,1.0,1,,0.0,16.870933,29.7919020000001,147.0,2-aminobutyrate,79.00000000000003,279249.0,0.20266600000000068,0.20266600000000068,0.20266600000000068,16.796267,16.796267,16.796267,16.998933,16.998933,16.998933,0.20266600000000068,1.3571505102724075,1.7143010205448148,-9.999999999999972,-0.12658227848101225,20,20,0.2915634397852717,MS2,0.9166666666666666,0,metaValue[logSN],20.195319857967924,ug/mL,0.0,6.357329845428467
b'2-aminobutyrate',20180320_Lars Nielsen samples Vienna_dx20_BB1_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB1,16.871131739089964,12010984478965776881,b'',NA,1,0.0,b'2-aminobutyrate',0,279249.0,2-aminobutyrate,16.796266555786133,16.998933792114258,0.0,0.0,0.0,1.0,1.0,0.26713173908996524,16.604,16.871131739089964,0.26713173908996524,0.0026713173908996524,2.2765810604258087e-05,2.0,1.338518546126157,0.2915634397852717,0.866935133934021,4.278523122032414,4.278523122032414,1.0,1,,0.0,16.870933,29.7919020000001,147.0,2-aminobutyrate2,79.00000000000003,279249.0,0.20266600000000068,0.20266600000000068,0.20266600000000068,16.796267,16.796267,16.796267,16.998933,16.998933,16.998933,0.20266600000000068,1.3571505102724075,1.7143010205448148,-9.999999999999972,-0.12658227848101225,20,20,0.2915634397852717,MS2,0.9166666666666666,0,metaValue[logSN],,,0.0,6.357329845428467
b'Alanine',20180320_Lars Nielsen samples Vienna_dx20_BB1_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB1,14.387601690155028,18143409172104466327,b'',NA,1,0.0,b'Alanine',0,279249.0,Alanine,14.332266807556152,14.460267066955566,0.0,0.0,0.0,1.0,1.0,0.4286016901550287,13.959,14.387601690155028,0.4286016901550287,0.004286016901550287,4.3354407391223155e-06,2.0,0.8469387260886747,0.0,0.9045605063438416,3.983418080240951,3.983418080240951,1.0,1,,0.0,14.3856,4.608000000000004,36.0,Alanine,19.000000000000007,279249.0,0.1280000000000001,0.1280000000000001,0.1280000000000001,14.332267,14.332267,14.332267,14.460267,14.460267,14.460267,0.1280000000000001,1.2000075000468697,1.4000150000937395,3.0,0.1578947368421052,13,13,0.0,MS2,0.8333333333333334,0,metaValue[logSN];metaValue[points_across_baseline],6.084099376536754,ug/mL,0.0,1.2106674909591675
b'Alanine',20180320_Lars Nielsen samples Vienna_dx20_BB1_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB1,14.387601690155028,18143409172104466327,b'',NA,1,0.0,b'Alanine',0,279249.0,Alanine,14.332266807556152,14.460267066955566,0.0,0.0,0.0,1.0,1.0,0.4286016901550287,13.959,14.387601690155028,0.4286016901550287,0.004286016901550287,4.3354407391223155e-06,2.0,0.8469387260886747,0.0,0.9045605063438416,3.983418080240951,3.983418080240951,1.0,1,,0.0,14.3856,4.608000000000004,36.0,Alanine2,19.000000000000007,279249.0,0.1280000000000001,0.1280000000000001,0.1280000000000001,14.332267,14.332267,14.332267,14.460267,14.460267,14.460267,0.1280000000000001,1.2000075000468697,1.4000150000937395,3.0,0.1578947368421052,13,13,0.0,MS2,0.8333333333333334,0,metaValue[logSN];metaValue[points_across_baseline],,,0.0,1.2106674909591675
b'Arginine',20180320_Lars Nielsen samples Vienna_dx20_BB1_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB1,12.627032010894776,16781412359006311667,b'',NA,1,0.0,b'Arginine',0,279249.0,Arginine,12.614933013916016,12.689599990844727,0.0,0.0,0.0,1.0,1.0,0.631032010894776,11.996,12.627032010894776,0.631032010894776,0.00631032010894776,1.2223266994385516e-06,2.0,1.3345701138366994,0.28860922788784027,0.06448535621166229,5.7628559342809735,5.7628559342809735,1.0,1,,0.0,12.6256,2.133320000000012,40.0,Arginine,11.999999999999993,279249.0,0.0533330000000003,0.0533330000000003,0.0533330000000003,12.6256,12.6256,12.6256,12.678933,12.678933,12.678933,0.0533330000000003,inf,inf,-11.999999999999993,-1.0,6,6,0.28860922788784027,MS2,0.5,0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline];metaValue[tailing_factor];metaValue[total_width],34.464825759960405,ug/mL,0.0,0.3413335084915161
b'Arginine',20180320_Lars Nielsen samples Vienna_dx20_BB1_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB1,12.627032010894776,16781412359006311667,b'',NA,1,0.0,b'Arginine',0,279249.0,Arginine,12.614933013916016,12.689599990844727,0.0,0.0,0.0,1.0,1.0,0.631032010894776,11.996,12.627032010894776,0.631032010894776,0.00631032010894776,1.2223266994385516e-06,2.0,1.3345701138366994,0.28860922788784027,0.06448535621166229,5.7628559342809735,5.7628559342809735,1.0,1,,0.0,12.6256,2.133320000000012,40.0,Arginine2,11.999999999999993,279249.0,0.0533330000000003,0.0533330000000003,0.0533330000000003,12.6256,12.6256,12.6256,12.678933,12.678933,12.678933,0.0533330000000003,inf,inf,-11.999999999999993,-1.0,6,6,0.28860922788784027,MS2,0.5,0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline];metaValue[tailing_factor];metaValue[total_width],,,0.0,0.3413335084915161
b'Asparagine',20180320_Lars Nielsen samples Vienna_dx20_BB1_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB1,7.93423098753357,14538786648507056949,b'',NA,1,0.0,b'Asparagine',0,279249.0,Asparagine,7.8256001472473145,8.028266906738281,0.0,0.0,0.0,0.9999999999999999,1.0,0.0022309875335695395,7.932,7.93423098753357,0.0022309875335695395,2.2309875335695396e-05,1.443872695998859e-05,2.0,4.234693630443373,1.4433109832069935,0.7662367224693298,5.327626809881477,5.327626809881477,1.0,1,,0.0,7.932267,0.36266599999999904,2.0,Asparagine,53.0,279249.0,0.18133299999999952,0.14933300000000038,0.08533300000000033,7.836267,7.8576,7.8896,8.0176,8.006933,7.974933,0.18133299999999952,0.94444270833333,0.9999866072026327,0.0,0.0,18,7,1.4433109832069935,MS2,0.9166666666666666,0,metaValue[points_across_baseline],4.0320000648498535,ug/mL,0.0,4.0320000648498535
b'Asparagine',20180320_Lars Nielsen samples Vienna_dx20_BB1_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB1,7.93423098753357,14538786648507056949,b'',NA,1,0.0,b'Asparagine',0,279249.0,Asparagine,7.8256001472473145,8.028266906738281,0.0,0.0,0.0,0.9999999999999999,1.0,0.0022309875335695395,7.932,7.93423098753357,0.0022309875335695395,2.2309875335695396e-05,1.443872695998859e-05,2.0,4.234693630443373,1.4433109832069935,0.7662367224693298,5.327626809881477,5.327626809881477,1.0,1,,0.0,7.932267,0.36266599999999904,2.0,Asparagine2,53.0,279249.0,0.18133299999999952,0.14933300000000038,0.08533300000000033,7.836267,7.8576,7.8896,8.0176,8.006933,7.974933,0.18133299999999952,0.94444270833333,0.9999866072026327,0.0,0.0,18,7,1.4433109832069935,MS2,0.9166666666666666,0,metaValue[points_across_baseline],,,0.0,4.0320000648498535
b'Cysteine',20180320_Lars Nielsen samples Vienna_dx20_BB1_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB1,6.184099822921754,12650842016185682498,b'',NA,1,0.0,b'Cysteine',0,279249.0,Cysteine,6.086933135986328,6.278933048248291,0.0,0.0,0.0,1.0000000000000002,1.0000000000000002,-0.2549001770782464,6.439,6.184099822921754,0.2549001770782464,0.0025490017707824643,1.799110906098988e-05,2.0,5.158626786176473,1.6406704173654887,0.9040049314498901,5.194238081969337,5.194238081969337,1.0,1,,0.0,6.182933,0.9066650000000019,4.999999999999999,Cysteine,62.0,279249.0,0.1813330000000004,0.1813330000000004,0.09600000000000009,6.0976,6.0976,6.1296,6.278933,6.278933,6.2256,0.1813330000000004,1.0625021972742064,1.125004394548413,2.0000000000000018,0.03225806451612906,18,8,1.6406704173654887,MS2,0.9166666666666666,0,metaValue[points_across_baseline],0.13097538508378292,ug/mL,0.0,5.023999214172363
b'Cysteine',20180320_Lars Nielsen samples Vienna_dx20_BB1_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB1,6.184099822921754,12650842016185682498,b'',NA,1,0.0,b'Cysteine',0,279249.0,Cysteine,6.086933135986328,6.278933048248291,0.0,0.0,0.0,1.0000000000000002,1.0000000000000002,-0.2549001770782464,6.439,6.184099822921754,0.2549001770782464,0.0025490017707824643,1.799110906098988e-05,2.0,5.158626786176473,1.6406704173654887,0.9040049314498901,5.194238081969337,5.194238081969337,1.0,1,,0.0,6.182933,0.9066650000000019,4.999999999999999,Cysteine2,62.0,279249.0,0.1813330000000004,0.1813330000000004,0.09600000000000009,6.0976,6.0976,6.1296,6.278933,6.278933,6.2256,0.1813330000000004,1.0625021972742064,1.125004394548413,2.0000000000000018,0.03225806451612906,18,8,1.6406704173654887,MS2,0.9166666666666666,0,metaValue[points_across_baseline],,,0.0,5.023999214172363
