File Path	chrom://nnfcb-l0495/ChromeleonLocal/20180320_AA_Lars Nielsen samples Vienna_lbpet.seq/980.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	20180320_Lars Nielsen samples Vienna_dx20_BA4
Injection Number	17
Position	BA4
Comment	
Processing Method	20171024_Calculated with IS_lbpet
Instrument Method	20161104_AA_GeminiC18_FinalVer7
Type	Unknown
Status	Finished
Injection Date	20-03-2018
Injection Time	20:05:12
Injection Volume (µl)	56.500
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.003950
Time Max. (min)	30.001617
Data Points	2813
Detector	FLD
Exporting Data System	Chromeleon 7.1.2.1478
Operator	
Signal Quantity	
Signal Unit	counts
Signal Min.	-2,121.000000
Signal Max.	72,000,266.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.640
Max. Step (s)	0.820
Average Step (s)	0.640

Signal Parameter Information:
Signal Info	340 nm /450 nm

Raw Data:
Time (min)	Step (s)	Value (counts)
0.003950	0.000	0.000000
0.017617	0.820	0.000000
0.028283	0.640	0.000000
0.038950	0.640	447.000000
0.049617	0.640	306.000000
0.060283	0.640	-197.000000
0.070950	0.640	187.000000
0.081617	0.640	1,484.000000
0.092283	0.640	2,380.000000
0.102950	0.640	2,377.000000
0.113617	0.640	2,015.000000
0.124283	0.640	1,391.000000
0.134950	0.640	369.000000
0.145617	0.640	-502.000000
0.156283	0.640	-536.000000
0.166950	0.640	412.000000
0.177617	0.640	1,764.000000
0.188283	0.640	2,004.000000
0.198950	0.640	1,006.000000
0.209617	0.640	647.000000
0.220283	0.640	1,042.000000
0.230950	0.640	1,460.000000
0.241617	0.640	2,330.000000
0.252283	0.640	2,520.000000
0.262950	0.640	934.000000
0.273617	0.640	-549.000000
0.284283	0.640	-187.000000
0.294950	0.640	1,373.000000
0.305617	0.640	2,657.000000
0.316283	0.640	3,216.000000
0.326950	0.640	3,719.000000
0.337617	0.640	4,092.000000
0.348283	0.640	4,008.000000
0.358950	0.640	4,252.000000
0.369617	0.640	4,278.000000
0.380283	0.640	2,714.000000
0.390950	0.640	852.000000
0.401617	0.640	672.000000
0.412283	0.640	1,845.000000
0.422950	0.640	2,778.000000
0.433617	0.640	2,598.000000
0.444283	0.640	1,736.000000
0.454950	0.640	871.000000
0.465617	0.640	680.000000
0.476283	0.640	1,613.000000
0.486950	0.640	2,447.000000
0.497617	0.640	2,023.000000
0.508283	0.640	1,363.000000
0.518950	0.640	1,339.000000
0.529617	0.640	1,104.000000
0.540283	0.640	-120.000000
0.550950	0.640	-1,314.000000
0.561617	0.640	-888.000000
0.572283	0.640	449.000000
0.582950	0.640	926.000000
0.593617	0.640	868.000000
0.604283	0.640	1,295.000000
0.614950	0.640	1,788.000000
0.625617	0.640	1,798.000000
0.636283	0.640	1,563.000000
0.646950	0.640	1,382.000000
0.657617	0.640	1,593.000000
0.668283	0.640	2,194.000000
0.678950	0.640	2,562.000000
0.689617	0.640	2,694.000000
0.700283	0.640	3,012.000000
0.710950	0.640	2,966.000000
0.721617	0.640	1,766.000000
0.732283	0.640	47.000000
0.742950	0.640	-698.000000
0.753617	0.640	2.000000
0.764283	0.640	1,374.000000
0.774950	0.640	2,312.000000
0.785617	0.640	2,432.000000
0.796283	0.640	2,669.000000
0.806950	0.640	3,457.000000
0.817617	0.640	3,954.000000
0.828283	0.640	4,233.000000
0.838950	0.640	4,780.000000
0.849617	0.640	5,189.000000
0.860283	0.640	5,320.000000
0.870950	0.640	5,073.000000
0.881617	0.640	3,967.000000
0.892283	0.640	2,170.000000
0.902950	0.640	612.000000
0.913617	0.640	30.000000
0.924283	0.640	231.000000
0.934950	0.640	576.000000
0.945617	0.640	1,155.000000
0.956283	0.640	2,261.000000
0.966950	0.640	2,933.000000
0.977617	0.640	2,299.000000
0.988283	0.640	1,409.000000
0.998950	0.640	1,215.000000
1.009617	0.640	1,376.000000
1.020283	0.640	1,474.000000
1.030950	0.640	719.000000
1.041617	0.640	-889.000000
1.052283	0.640	-1,385.000000
1.062950	0.640	-100.000000
1.073617	0.640	1,135.000000
1.084283	0.640	1,399.000000
1.094950	0.640	1,635.000000
1.105617	0.640	2,204.000000
1.116283	0.640	2,419.000000
1.126950	0.640	2,180.000000
1.137617	0.640	2,010.000000
1.148283	0.640	1,901.000000
1.158950	0.640	1,416.000000
1.169617	0.640	701.000000
1.180283	0.640	753.000000
1.190950	0.640	2,051.000000
1.201617	0.640	3,600.000000
1.212283	0.640	4,492.000000
1.222950	0.640	4,754.000000
1.233617	0.640	4,187.000000
1.244283	0.640	2,413.000000
1.254950	0.640	192.000000
1.265617	0.640	-579.000000
1.276283	0.640	681.000000
1.286950	0.640	2,052.000000
1.297617	0.640	1,965.000000
1.308283	0.640	1,132.000000
1.318950	0.640	1,161.000000
1.329617	0.640	2,830.000000
1.340283	0.640	4,772.000000
1.350950	0.640	4,498.000000
1.361617	0.640	2,484.000000
1.372283	0.640	1,465.000000
1.382950	0.640	1,658.000000
1.393617	0.640	1,686.000000
1.404283	0.640	946.000000
1.414950	0.640	-729.000000
1.425617	0.640	-2,121.000000
1.436283	0.640	-1,583.000000
1.446950	0.640	313.000000
1.457617	0.640	1,828.000000
1.468283	0.640	2,554.000000
1.478950	0.640	2,794.000000
1.489617	0.640	2,461.000000
1.500283	0.640	1,871.000000
1.510950	0.640	1,463.000000
1.521617	0.640	1,472.000000
1.532283	0.640	2,088.000000
1.542950	0.640	3,041.000000
1.553617	0.640	4,082.000000
1.564283	0.640	4,630.000000
1.574950	0.640	3,857.000000
1.585617	0.640	2,290.000000
1.596283	0.640	1,551.000000
1.606950	0.640	2,331.000000
1.617617	0.640	3,416.000000
1.628283	0.640	3,596.000000
1.638950	0.640	3,594.000000
1.649617	0.640	4,504.000000
1.660283	0.640	5,822.000000
1.670950	0.640	6,524.000000
1.681617	0.640	6,048.000000
1.692283	0.640	4,247.000000
1.702950	0.640	2,654.000000
1.713617	0.640	2,966.000000
1.724283	0.640	4,289.000000
1.734950	0.640	5,252.000000
1.745617	0.640	6,057.000000
1.756283	0.640	6,951.000000
1.766950	0.640	7,556.000000
1.777617	0.640	7,778.000000
1.788283	0.640	7,773.000000
1.798950	0.640	7,384.000000
1.809617	0.640	6,423.000000
1.820283	0.640	5,321.000000
1.830950	0.640	4,569.000000
1.841617	0.640	3,865.000000
1.852283	0.640	2,807.000000
1.862950	0.640	1,478.000000
1.873617	0.640	390.000000
1.884283	0.640	150.000000
1.894950	0.640	348.000000
1.905617	0.640	313.000000
1.916283	0.640	784.000000
1.926950	0.640	2,382.000000
1.937617	0.640	3,991.000000
1.948283	0.640	4,203.000000
1.958950	0.640	2,939.000000
1.969617	0.640	1,320.000000
1.980283	0.640	507.000000
1.990950	0.640	424.000000
2.001617	0.640	356.000000
2.012283	0.640	451.000000
2.022950	0.640	940.000000
2.033617	0.640	1,803.000000
2.044283	0.640	2,883.000000
2.054950	0.640	3,067.000000
2.065617	0.640	2,055.000000
2.076283	0.640	1,112.000000
2.086950	0.640	692.000000
2.097617	0.640	142.000000
2.108283	0.640	-440.000000
2.118950	0.640	3.000000
2.129617	0.640	1,615.000000
2.140283	0.640	3,604.000000
2.150950	0.640	4,881.000000
2.161617	0.640	4,216.000000
2.172283	0.640	2,402.000000
2.182950	0.640	1,241.000000
2.193617	0.640	817.000000
2.204283	0.640	1,376.000000
2.214950	0.640	3,719.000000
2.225617	0.640	6,598.000000
2.236283	0.640	7,756.000000
2.246950	0.640	6,999.000000
2.257617	0.640	6,089.000000
2.268283	0.640	5,951.000000
2.278950	0.640	5,849.000000
2.289617	0.640	5,254.000000
2.300283	0.640	4,345.000000
2.310950	0.640	3,560.000000
2.321617	0.640	3,751.000000
2.332283	0.640	4,640.000000
2.342950	0.640	4,448.000000
2.353617	0.640	3,177.000000
2.364283	0.640	2,639.000000
2.374950	0.640	2,993.000000
2.385617	0.640	3,168.000000
2.396283	0.640	3,159.000000
2.406950	0.640	3,231.000000
2.417617	0.640	2,595.000000
2.428283	0.640	1,039.000000
2.438950	0.640	241.000000
2.449617	0.640	1,454.000000
2.460283	0.640	3,509.000000
2.470950	0.640	4,390.000000
2.481617	0.640	3,681.000000
2.492283	0.640	2,543.000000
2.502950	0.640	1,891.000000
2.513617	0.640	2,162.000000
2.524283	0.640	3,370.000000
2.534950	0.640	4,345.000000
2.545617	0.640	4,080.000000
