File Path	chrom://nnfcb-l0495/ChromeleonLocal/20180320_AA_Lars Nielsen samples Vienna_lbpet.seq/488.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	20180320_Lars Nielsen samples Vienna_dx20_BC1
Injection Number	38
Position	BC1
Comment	
Processing Method	20171024_Calculated with IS_lbpet
Instrument Method	20161104_AA_GeminiC18_FinalVer7
Type	Unknown
Status	Finished
Injection Date	21-03-2018
Injection Time	09:00:35
Injection Volume (µl)	56.500
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.003933
Time Max. (min)	30.001650
Data Points	2813
Detector	FLD
Exporting Data System	Chromeleon 7.1.2.1478
Operator	
Signal Quantity	
Signal Unit	counts
Signal Min.	-2,675.000000
Signal Max.	70,865,896.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.637
Max. Step (s)	0.823
Average Step (s)	0.640

Signal Parameter Information:
Signal Info	340 nm /450 nm

Raw Data:
Time (min)	Step (s)	Value (counts)
0.003933	0.000	0.000000
0.017650	0.823	0.000000
0.028317	0.640	0.000000
0.038983	0.640	1,110.000000
0.049650	0.640	2,474.000000
0.060317	0.640	2,506.000000
0.070983	0.640	1,765.000000
0.081650	0.640	2,410.000000
0.092317	0.640	3,643.000000
0.102983	0.640	2,980.000000
0.113650	0.640	1,267.000000
0.124317	0.640	1,028.000000
0.134983	0.640	1,850.000000
0.145650	0.640	1,781.000000
0.156317	0.640	961.000000
0.166983	0.640	858.000000
0.177650	0.640	1,731.000000
0.188317	0.640	2,767.000000
0.198983	0.640	3,474.000000
0.209650	0.640	3,348.000000
0.220317	0.640	2,136.000000
0.230983	0.640	934.000000
0.241650	0.640	800.000000
0.252317	0.640	1,599.000000
0.262983	0.640	2,562.000000
0.273650	0.640	2,822.000000
0.284317	0.640	2,405.000000
0.294983	0.640	2,063.000000
0.305650	0.640	1,938.000000
0.316317	0.640	2,070.000000
0.326983	0.640	2,647.000000
0.337650	0.640	2,855.000000
0.348317	0.640	2,219.000000
0.358983	0.640	2,012.000000
0.369650	0.640	2,830.000000
0.380317	0.640	3,590.000000
0.390983	0.640	3,721.000000
0.401650	0.640	3,347.000000
0.412317	0.640	2,293.000000
0.422983	0.640	796.000000
0.433650	0.640	-70.000000
0.444317	0.640	67.000000
0.454983	0.640	265.000000
0.465650	0.640	573.000000
0.476317	0.640	1,824.000000
0.486983	0.640	3,184.000000
0.497650	0.640	3,504.000000
0.508317	0.640	2,896.000000
0.518983	0.640	1,946.000000
0.529650	0.640	1,248.000000
0.540317	0.640	875.000000
0.550983	0.640	326.000000
0.561650	0.640	-167.000000
0.572317	0.640	587.000000
0.582983	0.640	2,647.000000
0.593650	0.640	4,193.000000
0.604317	0.640	3,881.000000
0.614983	0.640	2,147.000000
0.625650	0.640	327.000000
0.636317	0.640	-175.000000
0.646983	0.640	974.000000
0.657650	0.640	2,504.000000
0.668317	0.640	3,119.000000
0.678983	0.640	2,787.000000
0.689650	0.640	2,063.000000
0.700317	0.640	1,317.000000
0.710983	0.640	851.000000
0.721650	0.640	1,087.000000
0.732317	0.640	2,159.000000
0.742983	0.640	3,289.000000
0.753650	0.640	3,601.000000
0.764317	0.640	3,176.000000
0.774983	0.640	2,211.000000
0.785650	0.640	880.000000
0.796317	0.640	-246.000000
0.806983	0.640	-751.000000
0.817650	0.640	-295.000000
0.828317	0.640	756.000000
0.838983	0.640	1,527.000000
0.849650	0.640	2,400.000000
0.860317	0.640	3,291.000000
0.870983	0.640	2,651.000000
0.881650	0.640	1,182.000000
0.892317	0.640	1,734.000000
0.902983	0.640	3,709.000000
0.913650	0.640	3,710.000000
0.924317	0.640	2,245.000000
0.934983	0.640	2,405.000000
0.945650	0.640	3,676.000000
0.956317	0.640	3,718.000000
0.966983	0.640	2,539.000000
0.977650	0.640	1,535.000000
0.988317	0.640	2,067.000000
0.998983	0.640	4,291.000000
1.009650	0.640	6,033.000000
1.020317	0.640	5,772.000000
1.030983	0.640	4,665.000000
1.041650	0.640	4,126.000000
1.052317	0.640	4,249.000000
1.062983	0.640	3,825.000000
1.073650	0.640	2,197.000000
1.084317	0.640	606.000000
1.094983	0.640	63.000000
1.105650	0.640	742.000000
1.116317	0.640	2,512.000000
1.126983	0.640	3,816.000000
1.137650	0.640	3,021.000000
1.148317	0.640	1,158.000000
1.158983	0.640	433.000000
1.169650	0.640	1,269.000000
1.180317	0.640	2,662.000000
1.190983	0.640	3,175.000000
1.201650	0.640	2,172.000000
1.212317	0.640	1,317.000000
1.222983	0.640	1,624.000000
1.233650	0.640	1,611.000000
1.244317	0.640	1,097.000000
1.254983	0.640	1,487.000000
1.265650	0.640	2,528.000000
1.276317	0.640	3,329.000000
1.286983	0.640	3,943.000000
1.297650	0.640	4,037.000000
1.308317	0.640	3,113.000000
