File Path	chrom://nnfcb-l0495/ChromeleonLocal/20180320_AA_Lars Nielsen samples Vienna_lbpet.seq/969.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	AAmix_0p1ug_mL_2
Injection Number	45
Position	RB2
Comment	
Processing Method	20171024_Calculated with IS_lbpet
Instrument Method	20161104_AA_GeminiC18_FinalVer7
Type	Calibration Standard
Status	Finished
Injection Date	21-03-2018
Injection Time	13:19:16
Injection Volume (µl)	56.500
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.003883
Time Max. (min)	30.001600
Data Points	2813
Detector	FLD
Exporting Data System	Chromeleon 7.1.2.1478
Operator	
Signal Quantity	
Signal Unit	counts
Signal Min.	-4,037.000000
Signal Max.	67,517,237.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.637
Max. Step (s)	0.823
Average Step (s)	0.640

Signal Parameter Information:
Signal Info	340 nm /450 nm

Raw Data:
Time (min)	Step (s)	Value (counts)
0.003883	0.000	0.000000
0.017600	0.823	0.000000
0.028267	0.640	0.000000
0.038933	0.640	899.000000
0.049600	0.640	1,565.000000
0.060267	0.640	300.000000
0.070933	0.640	-2,130.000000
0.081600	0.640	-2,867.000000
0.092267	0.640	-1,458.000000
0.102933	0.640	-167.000000
0.113600	0.640	166.000000
0.124267	0.640	639.000000
0.134933	0.640	1,042.000000
0.145600	0.640	129.000000
0.156267	0.640	-1,516.000000
0.166933	0.640	-1,968.000000
0.177600	0.640	-983.000000
0.188267	0.640	-137.000000
0.198933	0.640	461.000000
0.209600	0.640	1,462.000000
0.220267	0.640	1,457.000000
0.230933	0.640	-183.000000
0.241600	0.640	-1,438.000000
0.252267	0.640	-1,272.000000
0.262933	0.640	-597.000000
0.273600	0.640	-12.000000
0.284267	0.640	395.000000
0.294933	0.640	321.000000
0.305600	0.640	-539.000000
0.316267	0.640	-1,584.000000
0.326933	0.640	-1,674.000000
0.337600	0.640	-878.000000
0.348267	0.640	-159.000000
0.358933	0.640	-4.000000
0.369600	0.640	-167.000000
0.380267	0.640	11.000000
0.390933	0.640	457.000000
0.401600	0.640	632.000000
0.412267	0.640	629.000000
0.422933	0.640	329.000000
0.433600	0.640	-412.000000
0.444267	0.640	-552.000000
0.454933	0.640	395.000000
0.465600	0.640	1,077.000000
0.476267	0.640	1,053.000000
0.486933	0.640	1,491.000000
0.497600	0.640	2,291.000000
0.508267	0.640	1,980.000000
0.518933	0.640	447.000000
0.529600	0.640	-723.000000
0.540267	0.640	-950.000000
0.550933	0.640	-1,053.000000
0.561600	0.640	-1,132.000000
0.572267	0.640	-842.000000
0.582933	0.640	-296.000000
0.593600	0.640	205.000000
0.604267	0.640	702.000000
0.614933	0.640	1,746.000000
0.625600	0.640	3,087.000000
0.636267	0.640	3,484.000000
0.646933	0.640	2,286.000000
0.657600	0.640	411.000000
0.668267	0.640	-408.000000
0.678933	0.640	130.000000
0.689600	0.640	765.000000
0.700267	0.640	842.000000
0.710933	0.640	726.000000
0.721600	0.640	423.000000
0.732267	0.640	-420.000000
0.742933	0.640	-1,560.000000
0.753600	0.640	-2,254.000000
0.764267	0.640	-1,449.000000
0.774933	0.640	541.000000
0.785600	0.640	1,368.000000
0.796267	0.640	674.000000
0.806933	0.640	697.000000
0.817600	0.640	1,578.000000
0.828267	0.640	1,331.000000
0.838933	0.640	-153.000000
0.849600	0.640	-714.000000
0.860267	0.640	532.000000
0.870933	0.640	1,596.000000
0.881600	0.640	1,001.000000
0.892267	0.640	-61.000000
0.902933	0.640	-613.000000
0.913600	0.640	-959.000000
0.924267	0.640	-664.000000
0.934933	0.640	586.000000
0.945600	0.640	1,807.000000
0.956267	0.640	1,854.000000
0.966933	0.640	144.000000
0.977600	0.640	-2,011.000000
0.988267	0.640	-2,308.000000
0.998933	0.640	-882.000000
1.009600	0.640	582.000000
1.020267	0.640	1,198.000000
1.030933	0.640	609.000000
1.041600	0.640	-487.000000
1.052267	0.640	-467.000000
1.062933	0.640	914.000000
1.073600	0.640	2,225.000000
1.084267	0.640	2,232.000000
1.094933	0.640	1,031.000000
1.105600	0.640	-36.000000
1.116267	0.640	73.000000
1.126933	0.640	646.000000
1.137600	0.640	789.000000
1.148267	0.640	1,015.000000
1.158933	0.640	1,451.000000
1.169600	0.640	1,274.000000
1.180267	0.640	414.000000
1.190933	0.640	-401.000000
1.201600	0.640	-226.000000
1.212267	0.640	966.000000
1.222933	0.640	1,694.000000
1.233600	0.640	1,369.000000
1.244267	0.640	811.000000
1.254933	0.640	448.000000
1.265600	0.640	509.000000
1.276267	0.640	1,074.000000
1.286933	0.640	1,442.000000
1.297600	0.640	1,064.000000
1.308267	0.640	320.000000
1.318933	0.640	-103.000000
1.329600	0.640	28.000000
1.340267	0.640	132.000000
1.350933	0.640	-612.000000
1.361600	0.640	-1,560.000000
1.372267	0.640	-1,073.000000
1.382933	0.640	199.000000
1.393600	0.640	187.000000
1.404267	0.640	-665.000000
1.414933	0.640	-617.000000
1.425600	0.640	188.000000
1.436267	0.640	551.000000
1.446933	0.640	165.000000
1.457600	0.640	-247.000000
1.468267	0.640	208.000000
