File Path	chrom://nnfcb-l0495/ChromeleonLocal/20180320_AA_Lars Nielsen samples Vienna_lbpet.seq/724.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	AAmix_10ug_mL_2
Injection Number	51
Position	RB8
Comment	
Processing Method	20171024_Calculated with IS_lbpet
Instrument Method	20161104_AA_GeminiC18_FinalVer7
Type	Calibration Standard
Status	Finished
Injection Date	21-03-2018
Injection Time	17:01:10
Injection Volume (µl)	56.500
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.003867
Time Max. (min)	30.001533
Data Points	2813
Detector	FLD
Exporting Data System	Chromeleon 7.1.2.1478
Operator	
Signal Quantity	
Signal Unit	counts
Signal Min.	-3,808.000000
Signal Max.	68,257,316.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.637
Max. Step (s)	0.820
Average Step (s)	0.640

Signal Parameter Information:
Signal Info	340 nm /450 nm

Raw Data:
Time (min)	Step (s)	Value (counts)
0.003867	0.000	0.000000
0.017533	0.820	0.000000
0.028200	0.640	0.000000
0.038867	0.640	134.000000
0.049533	0.640	343.000000
0.060200	0.640	696.000000
0.070867	0.640	1,338.000000
0.081533	0.640	1,894.000000
0.092200	0.640	1,455.000000
0.102867	0.640	-28.000000
0.113533	0.640	-1,368.000000
0.124200	0.640	-1,631.000000
0.134867	0.640	-431.000000
0.145533	0.640	1,726.000000
0.156200	0.640	2,421.000000
0.166867	0.640	751.000000
0.177533	0.640	-787.000000
0.188200	0.640	-1,205.000000
0.198867	0.640	-1,538.000000
0.209533	0.640	-1,349.000000
0.220200	0.640	-483.000000
0.230867	0.640	-278.000000
0.241533	0.640	-697.000000
0.252200	0.640	-461.000000
0.262867	0.640	114.000000
0.273533	0.640	160.000000
0.284200	0.640	162.000000
0.294867	0.640	29.000000
0.305533	0.640	-1,060.000000
0.316200	0.640	-2,188.000000
0.326867	0.640	-2,181.000000
0.337533	0.640	-2,009.000000
0.348200	0.640	-2,488.000000
0.358867	0.640	-2,479.000000
0.369533	0.640	-1,635.000000
0.380200	0.640	-1,143.000000
0.390867	0.640	-957.000000
0.401533	0.640	-257.000000
0.412200	0.640	653.000000
0.422867	0.640	1,541.000000
0.433533	0.640	2,250.000000
0.444200	0.640	1,983.000000
0.454867	0.640	1,320.000000
0.465533	0.640	1,514.000000
0.476200	0.640	1,317.000000
0.486867	0.640	-634.000000
0.497533	0.640	-2,425.000000
0.508200	0.640	-2,386.000000
0.518867	0.640	-1,555.000000
0.529533	0.640	-597.000000
0.540200	0.640	257.000000
0.550867	0.640	136.000000
0.561533	0.640	-435.000000
0.572200	0.640	-212.000000
0.582867	0.640	602.000000
0.593533	0.640	1,060.000000
0.604200	0.640	845.000000
0.614867	0.640	300.000000
0.625533	0.640	-358.000000
0.636200	0.640	-1,065.000000
0.646867	0.640	-1,306.000000
0.657533	0.640	-464.000000
0.668200	0.640	935.000000
0.678867	0.640	1,471.000000
0.689533	0.640	1,248.000000
0.700200	0.640	1,530.000000
0.710867	0.640	2,001.000000
0.721533	0.640	1,804.000000
0.732200	0.640	1,513.000000
0.742867	0.640	1,640.000000
0.753533	0.640	1,508.000000
0.764200	0.640	800.000000
0.774867	0.640	29.000000
0.785533	0.640	-160.000000
0.796200	0.640	614.000000
0.806867	0.640	1,551.000000
0.817533	0.640	1,747.000000
0.828200	0.640	1,773.000000
0.838867	0.640	2,436.000000
0.849533	0.640	3,468.000000
0.860200	0.640	3,553.000000
0.870867	0.640	1,922.000000
0.881533	0.640	-308.000000
0.892200	0.640	-1,434.000000
0.902867	0.640	-736.000000
0.913533	0.640	563.000000
0.924200	0.640	226.000000
0.934867	0.640	-1,484.000000
0.945533	0.640	-2,138.000000
0.956200	0.640	-1,288.000000
0.966867	0.640	-224.000000
0.977533	0.640	600.000000
0.988200	0.640	648.000000
0.998867	0.640	-476.000000
1.009533	0.640	-1,166.000000
1.020200	0.640	-364.000000
1.030867	0.640	604.000000
1.041533	0.640	1,272.000000
1.052200	0.640	2,526.000000
1.062867	0.640	3,350.000000
1.073533	0.640	1,966.000000
1.084200	0.640	-634.000000
1.094867	0.640	-2,395.000000
1.105533	0.640	-2,685.000000
1.116200	0.640	-1,374.000000
1.126867	0.640	1,171.000000
1.137533	0.640	2,985.000000
1.148200	0.640	2,033.000000
1.158867	0.640	-599.000000
1.169533	0.640	-2,017.000000
1.180200	0.640	-1,617.000000
1.190867	0.640	-513.000000
1.201533	0.640	670.000000
1.212200	0.640	1,522.000000
1.222867	0.640	1,981.000000
1.233533	0.640	2,319.000000
1.244200	0.640	2,035.000000
1.254867	0.640	697.000000
1.265533	0.640	-679.000000
1.276200	0.640	-940.000000
1.286867	0.640	-440.000000
1.297533	0.640	-189.000000
1.308200	0.640	-76.000000
1.318867	0.640	873.000000
1.329533	0.640	2,267.000000
1.340200	0.640	2,637.000000
1.350867	0.640	2,036.000000
1.361533	0.640	1,221.000000
1.372200	0.640	-88.000000
1.382867	0.640	-1,561.000000
1.393533	0.640	-2,083.000000
1.404200	0.640	-1,635.000000
1.414867	0.640	-503.000000
1.425533	0.640	1,066.000000
1.436200	0.640	1,864.000000
1.446867	0.640	1,438.000000
1.457533	0.640	1,138.000000
1.468200	0.640	1,740.000000
1.478867	0.640	2,066.000000
1.489533	0.640	1,351.000000
1.500200	0.640	816.000000
1.510867	0.640	1,152.000000
1.521533	0.640	1,427.000000
1.532200	0.640	1,247.000000
1.542867	0.640	776.000000
1.553533	0.640	-209.000000
1.564200	0.640	-1,226.000000
1.574867	0.640	-879.000000
1.585533	0.640	1,292.000000
1.596200	0.640	3,671.000000
1.606867	0.640	4,262.000000
1.617533	0.640	3,252.000000
1.628200	0.640	2,282.000000
1.638867	0.640	1,856.000000
1.649533	0.640	1,606.000000
1.660200	0.640	1,727.000000
1.670867	0.640	2,216.000000
1.681533	0.640	2,348.000000
1.692200	0.640	1,737.000000
1.702867	0.640	866.000000
1.713533	0.640	560.000000
1.724200	0.640	977.000000
1.734867	0.640	1,166.000000
1.745533	0.640	519.000000
1.756200	0.640	-326.000000
1.766867	0.640	-805.000000
1.777533	0.640	-516.000000
1.788200	0.640	842.000000
1.798867	0.640	2,117.000000
1.809533	0.640	1,717.000000
1.820200	0.640	-32.000000
1.830867	0.640	-1,129.000000
1.841533	0.640	-656.000000
1.852200	0.640	432.000000
1.862867	0.640	1,384.000000
1.873533	0.640	1,603.000000
1.884200	0.640	598.000000
1.894867	0.640	-145.000000
1.905533	0.640	786.000000
1.916200	0.640	1,854.000000
1.926867	0.640	1,511.000000
1.937533	0.640	703.000000
1.948200	0.640	276.000000
1.958867	0.640	-62.000000
1.969533	0.640	2.000000
1.980200	0.640	678.000000
1.990867	0.640	732.000000
2.001533	0.640	-116.000000
2.012200	0.640	24.000000
2.022867	0.640	1,307.000000
2.033533	0.640	1,646.000000
2.044200	0.640	1,014.000000
2.054867	0.640	778.000000
2.065533	0.640	614.000000
2.076200	0.640	19.000000
2.086867	0.640	76.000000
2.097533	0.640	1,408.000000
