File Path	chrom://nnfcb-l0495/ChromeleonLocal/20180320_AA_Lars Nielsen samples Vienna_lbpet.seq/403.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	Blank_IS_3
Injection Number	13
Position	RB1
Comment	
Processing Method	20171024_Calculated with IS_lbpet
Instrument Method	20161104_AA_GeminiC18_FinalVer7
Type	Unknown
Status	Finished
Injection Date	20-03-2018
Injection Time	17:37:33
Injection Volume (µl)	56.500
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.003950
Time Max. (min)	30.001667
Data Points	2813
Detector	FLD
Exporting Data System	Chromeleon 7.1.2.1478
Operator	
Signal Quantity	
Signal Unit	counts
Signal Min.	-1,196.000000
Signal Max.	71,096,451.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.640
Max. Step (s)	0.823
Average Step (s)	0.640

Signal Parameter Information:
Signal Info	340 nm /450 nm

Raw Data:
Time (min)	Step (s)	Value (counts)
0.003950	0.000	0.000000
0.017667	0.823	0.000000
0.028333	0.640	0.000000
0.039000	0.640	758.000000
0.049667	0.640	2,003.000000
0.060333	0.640	2,991.000000
0.071000	0.640	2,636.000000
0.081667	0.640	1,466.000000
0.092333	0.640	1,228.000000
0.103000	0.640	1,949.000000
0.113667	0.640	2,803.000000
0.124333	0.640	3,914.000000
0.135000	0.640	4,527.000000
0.145667	0.640	3,480.000000
0.156333	0.640	2,056.000000
0.167000	0.640	2,378.000000
0.177667	0.640	3,794.000000
0.188333	0.640	3,816.000000
0.199000	0.640	2,253.000000
0.209667	0.640	1,187.000000
0.220333	0.640	1,550.000000
0.231000	0.640	2,589.000000
0.241667	0.640	3,676.000000
0.252333	0.640	4,947.000000
0.263000	0.640	5,770.000000
0.273667	0.640	4,764.000000
0.284333	0.640	3,107.000000
0.295000	0.640	3,463.000000
0.305667	0.640	4,963.000000
0.316333	0.640	5,104.000000
0.327000	0.640	4,056.000000
0.337667	0.640	3,036.000000
0.348333	0.640	2,556.000000
0.359000	0.640	2,615.000000
0.369667	0.640	2,950.000000
0.380333	0.640	3,719.000000
0.391000	0.640	4,212.000000
0.401667	0.640	3,027.000000
0.412333	0.640	1,427.000000
0.423000	0.640	1,289.000000
0.433667	0.640	1,765.000000
0.444333	0.640	2,361.000000
0.455000	0.640	3,429.000000
0.465667	0.640	3,817.000000
0.476333	0.640	3,141.000000
0.487000	0.640	2,846.000000
0.497667	0.640	2,969.000000
0.508333	0.640	2,090.000000
0.519000	0.640	596.000000
0.529667	0.640	287.000000
0.540333	0.640	1,220.000000
0.551000	0.640	1,937.000000
0.561667	0.640	1,981.000000
0.572333	0.640	1,751.000000
0.583000	0.640	1,441.000000
0.593667	0.640	1,504.000000
0.604333	0.640	2,567.000000
0.615000	0.640	4,251.000000
0.625667	0.640	4,808.000000
0.636333	0.640	3,605.000000
0.647000	0.640	2,801.000000
0.657667	0.640	3,426.000000
0.668333	0.640	3,326.000000
0.679000	0.640	1,895.000000
0.689667	0.640	1,460.000000
0.700333	0.640	2,715.000000
0.711000	0.640	3,904.000000
0.721667	0.640	3,987.000000
0.732333	0.640	3,387.000000
0.743000	0.640	2,871.000000
0.753667	0.640	3,053.000000
0.764333	0.640	3,718.000000
0.775000	0.640	3,713.000000
0.785667	0.640	2,584.000000
0.796333	0.640	1,361.000000
0.807000	0.640	1,084.000000
0.817667	0.640	1,666.000000
0.828333	0.640	2,733.000000
0.839000	0.640	3,961.000000
0.849667	0.640	4,330.000000
0.860333	0.640	3,404.000000
0.871000	0.640	2,223.000000
0.881667	0.640	1,703.000000
0.892333	0.640	1,932.000000
0.903000	0.640	2,764.000000
0.913667	0.640	3,636.000000
0.924333	0.640	3,207.000000
0.935000	0.640	1,482.000000
0.945667	0.640	897.000000
0.956333	0.640	2,180.000000
0.967000	0.640	2,884.000000
0.977667	0.640	2,423.000000
0.988333	0.640	2,833.000000
0.999000	0.640	4,197.000000
1.009667	0.640	4,831.000000
1.020333	0.640	4,431.000000
1.031000	0.640	4,124.000000
1.041667	0.640	4,645.000000
1.052333	0.640	4,838.000000
1.063000	0.640	3,599.000000
1.073667	0.640	2,136.000000
1.084333	0.640	1,783.000000
1.095000	0.640	2,650.000000
1.105667	0.640	3,755.000000
1.116333	0.640	3,304.000000
1.127000	0.640	1,527.000000
1.137667	0.640	756.000000
1.148333	0.640	1,510.000000
1.159000	0.640	2,181.000000
1.169667	0.640	2,198.000000
1.180333	0.640	2,433.000000
1.191000	0.640	3,457.000000
1.201667	0.640	4,963.000000
1.212333	0.640	5,710.000000
1.223000	0.640	4,766.000000
1.233667	0.640	3,217.000000
1.244333	0.640	2,838.000000
1.255000	0.640	3,803.000000
1.265667	0.640	4,814.000000
1.276333	0.640	4,903.000000
1.287000	0.640	4,498.000000
1.297667	0.640	4,382.000000
1.308333	0.640	4,527.000000
1.319000	0.640	4,282.000000
1.329667	0.640	3,482.000000
1.340333	0.640	3,197.000000
1.351000	0.640	4,121.000000
1.361667	0.640	5,093.000000
1.372333	0.640	4,529.000000
1.383000	0.640	2,672.000000
1.393667	0.640	1,376.000000
1.404333	0.640	1,101.000000
1.415000	0.640	548.000000
1.425667	0.640	-441.000000
1.436333	0.640	-617.000000
1.447000	0.640	821.000000
1.457667	0.640	3,133.000000
1.468333	0.640	4,562.000000
1.479000	0.640	4,622.000000
1.489667	0.640	4,156.000000
1.500333	0.640	3,604.000000
1.511000	0.640	3,401.000000
1.521667	0.640	3,718.000000
1.532333	0.640	3,781.000000
1.543000	0.640	3,254.000000
1.553667	0.640	2,422.000000
1.564333	0.640	1,666.000000
1.575000	0.640	1,794.000000
1.585667	0.640	2,769.000000
1.596333	0.640	3,452.000000
1.607000	0.640	4,053.000000
1.617667	0.640	5,357.000000
1.628333	0.640	6,387.000000
1.639000	0.640	6,453.000000
1.649667	0.640	6,484.000000
1.660333	0.640	6,599.000000
1.671000	0.640	5,778.000000
1.681667	0.640	4,138.000000
1.692333	0.640	3,388.000000
1.703000	0.640	4,286.000000
1.713667	0.640	5,209.000000
1.724333	0.640	4,948.000000
1.735000	0.640	4,225.000000
1.745667	0.640	3,529.000000
1.756333	0.640	3,298.000000
1.767000	0.640	4,496.000000
1.777667	0.640	6,067.000000
1.788333	0.640	6,227.000000
1.799000	0.640	5,716.000000
1.809667	0.640	5,580.000000
1.820333	0.640	5,321.000000
1.831000	0.640	4,555.000000
1.841667	0.640	3,864.000000
1.852333	0.640	3,772.000000
