sample_name,component_name,IS_component_name,actual_concentration,IS_actual_concentration,concentration_units,dilution_factor
AAmix_0p5ug_mL_1_Emission_1,Sarcosine,,0.5,1,ug/mL,1
AAmix_1ug_mL_1_Emission_1,Sarcosine,,1,1,ug/mL,1
AAmix_2p5ug_mL_1_Emission_1,Sarcosine,,2.5,1,ug/mL,1
AAmix_5ug_mL_1_Emission_1,Sarcosine,,5,1,ug/mL,1
AAmix_10ug_mL_1_Emission_1,Sarcosine,,10,1,ug/mL,1
AAmix_25ug_mL_1_Emission_1,Sarcosine,,25,1,ug/mL,1
AAmix_50ug_mL_1_Emission_1,Sarcosine,,50,1,ug/mL,1
AAmix_75ug_mL_1_Emission_1,Sarcosine,,75,1,ug/mL,1
AAmix_0p25ug_mL_1_Emission_1,Sarcosine,,0.25,1,ug/mL,1
AAmix_0p1ug_mL_1_Emission_1,Sarcosine,,0.1,1,ug/mL,1
AAmix_0p5ug_mL_1_Emission_1,Proline,,0.5,1,ug/mL,1
AAmix_1ug_mL_1_Emission_1,Proline,,1,1,ug/mL,1
AAmix_2p5ug_mL_1_Emission_1,Proline,,2.5,1,ug/mL,1
AAmix_5ug_mL_1_Emission_1,Proline,,5,1,ug/mL,1
AAmix_10ug_mL_1_Emission_1,Proline,,10,1,ug/mL,1
AAmix_25ug_mL_1_Emission_1,Proline,,25,1,ug/mL,1
AAmix_50ug_mL_1_Emission_1,Proline,,50,1,ug/mL,1
AAmix_75ug_mL_1_Emission_1,Proline,,75,1,ug/mL,1
AAmix_0p25ug_mL_1_Emission_1,Proline,,0.25,1,ug/mL,1
AAmix_0p1ug_mL_1_Emission_1,Proline,,0.1,1,ug/mL,1
