File Path	chrom://nnfcb-l0495/ChromeleonLocal/20180320_AA_Lars Nielsen samples Vienna_lbpet.seq/981.smp/Emission_2.channel/Emission_2.chm
Channel	Emission_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	20180320_Lars Nielsen samples Vienna_dx20_BB8
Injection Number	33
Position	BB8
Comment	
Processing Method	20171024_Calculated with IS_lbpet
Instrument Method	20161104_AA_GeminiC18_FinalVer7
Type	Unknown
Status	Finished
Injection Date	21-03-2018
Injection Time	05:55:55
Injection Volume (µl)	56.500
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.007767
Time Max. (min)	30.005433
Data Points	2849
Detector	FLD
Exporting Data System	Chromeleon 7.1.2.1478
Operator	
Signal Quantity	
Signal Unit	counts
Signal Min.	-22,793.000000
Signal Max.	244,188,058.000000
Channel	Emission_2
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.010
Max. Step (s)	0.820
Average Step (s)	0.632

Signal Parameter Information:
Signal Info	266 nm /305 nm

Raw Data:
Time (min)	Step (s)	Value (counts)
0.007767	0.000	0.000000
0.021433	0.820	0.000000
0.032100	0.640	0.000000
0.042767	0.640	1,670.000000
0.053433	0.640	2,331.000000
0.064100	0.640	-301.000000
0.074767	0.640	-3,406.000000
0.085433	0.640	-3,870.000000
0.096100	0.640	-2,620.000000
0.106767	0.640	-417.000000
0.117433	0.640	1,869.000000
0.128100	0.640	1,909.000000
0.138767	0.640	582.000000
0.149433	0.640	786.000000
0.160100	0.640	1,675.000000
0.170767	0.640	558.000000
0.181433	0.640	-1,644.000000
0.192100	0.640	-798.000000
0.202767	0.640	2,917.000000
0.213433	0.640	3,340.000000
0.224100	0.640	-1,641.000000
0.234767	0.640	-7,340.000000
0.245433	0.640	-10,161.000000
0.256100	0.640	-9,402.000000
0.266767	0.640	-4,657.000000
0.277433	0.640	2,178.000000
0.288100	0.640	6,169.000000
0.298767	0.640	4,408.000000
0.309433	0.640	-450.000000
0.320100	0.640	-2,741.000000
0.330767	0.640	-1,140.000000
0.341433	0.640	-1,289.000000
0.352100	0.640	-5,689.000000
0.362767	0.640	-8,005.000000
0.373433	0.640	-3,711.000000
0.384100	0.640	2,080.000000
0.394767	0.640	3,690.000000
0.405433	0.640	4,195.000000
0.416100	0.640	7,438.000000
0.426767	0.640	10,130.000000
0.437433	0.640	9,367.000000
0.448100	0.640	6,981.000000
0.458767	0.640	3,061.000000
0.469433	0.640	-2,282.000000
0.480100	0.640	-3,290.000000
0.490767	0.640	1,238.000000
0.501433	0.640	3,154.000000
0.512100	0.640	-111.000000
0.522767	0.640	-2,403.000000
0.533433	0.640	-1,298.000000
0.544100	0.640	-705.000000
0.554767	0.640	-3,038.000000
0.565433	0.640	-5,650.000000
0.576100	0.640	-6,496.000000
