File Path	chrom://nnfcb-l0495/ChromeleonLocal/20180320_AA_Lars Nielsen samples Vienna_lbpet.seq/868.smp/Emission_2.channel/Emission_2.chm
Channel	Emission_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	AAmix_25ug_mL_1
Injection Number	10
Position	RC1
Comment	
Processing Method	20171024_Calculated with IS_lbpet
Instrument Method	20161104_AA_GeminiC18_FinalVer7
Type	Calibration Standard
Status	Finished
Injection Date	20-03-2018
Injection Time	15:46:48
Injection Volume (µl)	56.500
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.007767
Time Max. (min)	30.005433
Data Points	2849
Detector	FLD
Exporting Data System	Chromeleon 7.1.2.1478
Operator	
Signal Quantity	
Signal Unit	counts
Signal Min.	-35,848.000000
Signal Max.	249,848,131.000000
Channel	Emission_2
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.010
Max. Step (s)	0.820
Average Step (s)	0.632

Signal Parameter Information:
Signal Info	266 nm /305 nm

Raw Data:
Time (min)	Step (s)	Value (counts)
0.007767	0.000	0.000000
0.021433	0.820	0.000000
0.032100	0.640	0.000000
0.042767	0.640	2,305.000000
0.053433	0.640	5,637.000000
0.064100	0.640	5,325.000000
0.074767	0.640	1,385.000000
0.085433	0.640	-1,217.000000
0.096100	0.640	-561.000000
0.106767	0.640	1,187.000000
0.117433	0.640	-196.000000
0.128100	0.640	-4,647.000000
0.138767	0.640	-5,877.000000
0.149433	0.640	-2,901.000000
0.160100	0.640	-2,534.000000
0.170767	0.640	-7,617.000000
0.181433	0.640	-13,278.000000
0.192100	0.640	-14,329.000000
0.202767	0.640	-9,286.000000
0.213433	0.640	-268.000000
0.224100	0.640	5,988.000000
0.234767	0.640	4,886.000000
0.245433	0.640	-495.000000
0.256100	0.640	-7,131.000000
0.266767	0.640	-12,910.000000
0.277433	0.640	-14,029.000000
0.288100	0.640	-12,487.000000
0.298767	0.640	-13,847.000000
0.309433	0.640	-17,910.000000
0.320100	0.640	-20,556.000000
0.330767	0.640	-19,108.000000
0.341433	0.640	-14,408.000000
0.352100	0.640	-11,010.000000
0.362767	0.640	-11,744.000000
0.373433	0.640	-12,432.000000
0.384100	0.640	-8,692.000000
0.394767	0.640	-4,483.000000
0.405433	0.640	-5,343.000000
0.416100	0.640	-8,902.000000
0.426767	0.640	-10,990.000000
0.437433	0.640	-12,669.000000
0.448100	0.640	-14,059.000000
0.458767	0.640	-12,860.000000
0.469433	0.640	-11,445.000000
0.480100	0.640	-12,363.000000
0.490767	0.640	-11,920.000000
0.501433	0.640	-8,778.000000
0.512100	0.640	-7,315.000000
0.522767	0.640	-8,577.000000
0.533433	0.640	-10,246.000000
0.544100	0.640	-12,299.000000
0.554767	0.640	-13,776.000000
0.565433	0.640	-12,547.000000
