File Path	chrom://nnfcb-l0495/ChromeleonLocal/20180320_AA_Lars Nielsen samples Vienna_lbpet.seq/812.smp/Emission_2.channel/Emission_2.chm
Channel	Emission_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	AAmix_2p5ug_mL_1
Injection Number	7
Position	RB6
Comment	
Processing Method	20171024_Calculated with IS_lbpet
Instrument Method	20161104_AA_GeminiC18_FinalVer7
Type	Calibration Standard
Status	Finished
Injection Date	20-03-2018
Injection Time	13:56:03
Injection Volume (µl)	56.500
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.007833
Time Max. (min)	30.005500
Data Points	2848
Detector	FLD
Exporting Data System	Chromeleon 7.1.2.1478
Operator	
Signal Quantity	
Signal Unit	counts
Signal Min.	-33,042.000000
Signal Max.	286,662,608.000000
Channel	Emission_2
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.010
Max. Step (s)	0.820
Average Step (s)	0.632

Signal Parameter Information:
Signal Info	266 nm /305 nm

Raw Data:
Time (min)	Step (s)	Value (counts)
0.007833	0.000	0.000000
0.021500	0.820	0.000000
0.032167	0.640	0.000000
0.042833	0.640	-3,821.000000
0.053500	0.640	-6,553.000000
0.064167	0.640	-5,159.000000
0.074833	0.640	-3,828.000000
0.085500	0.640	-7,150.000000
0.096167	0.640	-12,481.000000
0.106833	0.640	-15,818.000000
0.117500	0.640	-16,381.000000
0.128167	0.640	-14,635.000000
0.138833	0.640	-11,936.000000
0.149500	0.640	-9,587.000000
0.160167	0.640	-7,566.000000
0.170833	0.640	-3,898.000000
0.181500	0.640	1,112.000000
0.192167	0.640	2,032.000000
0.202833	0.640	-2,868.000000
0.213500	0.640	-8,256.000000
0.224167	0.640	-9,907.000000
0.234833	0.640	-8,725.000000
0.245500	0.640	-7,456.000000
0.256167	0.640	-6,736.000000
0.266833	0.640	-6,815.000000
0.277500	0.640	-9,200.000000
0.288167	0.640	-12,377.000000
0.298833	0.640	-11,092.000000
0.309500	0.640	-4,435.000000
0.320167	0.640	1,042.000000
0.330833	0.640	1,471.000000
0.341500	0.640	393.000000
0.352167	0.640	-702.000000
0.362833	0.640	-4,143.000000
0.373500	0.640	-7,413.000000
0.384167	0.640	-8,184.000000
0.394833	0.640	-11,402.000000
0.405500	0.640	-16,456.000000
0.416167	0.640	-14,502.000000
0.426833	0.640	-7,110.000000
0.437500	0.640	-4,033.000000
0.448167	0.640	-4,390.000000
0.458833	0.640	-3,113.000000
0.469500	0.640	-2,318.000000
0.480167	0.640	-2,800.000000
0.490833	0.640	-3,526.000000
0.501500	0.640	-8,136.000000
0.512167	0.640	-17,002.000000
0.522833	0.640	-21,501.000000
0.533500	0.640	-16,587.000000
0.544167	0.640	-10,040.000000
0.554833	0.640	-8,761.000000
0.565500	0.640	-9,466.000000
0.576167	0.640	-9,386.000000
0.586833	0.640	-9,031.000000
0.597500	0.640	-8,004.000000
0.608167	0.640	-8,144.000000
0.618833	0.640	-10,927.000000
0.629500	0.640	-12,520.000000
0.640167	0.640	-10,928.000000
0.650833	0.640	-10,765.000000
0.661500	0.640	-13,374.000000
0.672167	0.640	-12,826.000000
0.682833	0.640	-7,391.000000
0.693500	0.640	-3,817.000000
0.704167	0.640	-6,358.000000
0.714833	0.640	-11,242.000000
0.725500	0.640	-13,295.000000
0.736167	0.640	-11,533.000000
0.746833	0.640	-9,855.000000
0.757500	0.640	-11,329.000000
0.768167	0.640	-13,016.000000
0.778833	0.640	-12,489.000000
0.789500	0.640	-11,266.000000
0.800167	0.640	-9,651.000000
0.810833	0.640	-8,696.000000
0.821500	0.640	-10,997.000000
0.832167	0.640	-14,147.000000
0.842833	0.640	-15,538.000000
0.853500	0.640	-17,347.000000
0.864167	0.640	-18,031.000000
0.874833	0.640	-14,102.000000
0.885500	0.640	-8,497.000000
0.896167	0.640	-7,069.000000
0.906833	0.640	-11,019.000000
0.917500	0.640	-13,843.000000
0.928167	0.640	-10,384.000000
0.938833	0.640	-6,497.000000
0.949500	0.640	-8,767.000000
0.960167	0.640	-14,353.000000
0.970833	0.640	-17,289.000000
0.981500	0.640	-14,848.000000
0.992167	0.640	-9,911.000000
1.002833	0.640	-8,889.000000
1.013500	0.640	-13,140.000000
1.024167	0.640	-16,902.000000
1.034833	0.640	-15,822.000000
1.045500	0.640	-12,925.000000
1.056167	0.640	-11,933.000000
1.066833	0.640	-10,839.000000
1.077500	0.640	-9,011.000000
1.088167	0.640	-7,954.000000
1.098833	0.640	-4,721.000000
1.109500	0.640	-351.000000
1.120167	0.640	-1,132.000000
1.130833	0.640	-4,280.000000
1.141500	0.640	-4,314.000000
1.152167	0.640	-6,377.000000
1.162833	0.640	-13,206.000000
1.173500	0.640	-15,904.000000
1.184167	0.640	-12,198.000000
1.194833	0.640	-11,321.000000
1.205500	0.640	-14,284.000000
1.216167	0.640	-13,967.000000
1.226833	0.640	-10,409.000000
1.237500	0.640	-7,754.000000
1.248167	0.640	-5,984.000000
1.258833	0.640	-4,618.000000
1.269500	0.640	-5,685.000000
1.280167	0.640	-8,717.000000
1.290833	0.640	-9,513.000000
1.301500	0.640	-6,149.000000
1.312167	0.640	-2,480.000000
1.322833	0.640	-2,598.000000
1.333500	0.640	-4,914.000000
1.344167	0.640	-6,483.000000
1.354833	0.640	-7,200.000000
1.365500	0.640	-8,455.000000
1.376167	0.640	-10,605.000000
1.386833	0.640	-10,840.000000
1.397500	0.640	-8,504.000000
1.408167	0.640	-7,177.000000
1.418833	0.640	-7,202.000000
1.429500	0.640	-6,040.000000
1.440167	0.640	-3,363.000000
1.450833	0.640	-428.000000
1.461500	0.640	1,404.000000
1.472167	0.640	1,171.000000
1.482833	0.640	-1,147.000000
1.493500	0.640	-4,237.000000
1.504167	0.640	-5,584.000000
1.514833	0.640	-5,804.000000
1.525500	0.640	-9,292.000000
1.536167	0.640	-13,963.000000
1.546833	0.640	-12,437.000000
1.557500	0.640	-6,415.000000
1.568167	0.640	-4,339.000000
1.578833	0.640	-8,808.000000
1.589500	0.640	-15,232.000000
1.600167	0.640	-18,096.000000
1.610833	0.640	-16,134.000000
1.621500	0.640	-12,326.000000
1.632167	0.640	-11,355.000000
1.642833	0.640	-14,887.000000
1.653500	0.640	-17,062.000000
1.664167	0.640	-12,586.000000
1.674833	0.640	-6,029.000000
1.685500	0.640	-3,984.000000
1.696167	0.640	-7,168.000000
1.706833	0.640	-14,058.000000
1.717500	0.640	-21,959.000000
1.728167	0.640	-25,034.000000
1.738833	0.640	-20,629.000000
1.749500	0.640	-14,468.000000
1.760167	0.640	-10,842.000000
1.770833	0.640	-8,068.000000
1.781500	0.640	-7,689.000000
1.792167	0.640	-11,531.000000
1.802833	0.640	-14,708.000000
1.813500	0.640	-12,744.000000
1.824167	0.640	-7,286.000000
1.834833	0.640	-3,692.000000
1.845500	0.640	-5,266.000000
1.856167	0.640	-9,503.000000
1.866833	0.640	-13,635.000000
1.877500	0.640	-17,326.000000
1.888167	0.640	-17,380.000000
1.898833	0.640	-11,585.000000
1.909500	0.640	-6,171.000000
1.920167	0.640	-8,145.000000
1.930833	0.640	-13,674.000000
1.941500	0.640	-15,255.000000
1.952167	0.640	-15,114.000000
1.962833	0.640	-16,899.000000
1.973500	0.640	-17,020.000000
1.984167	0.640	-14,694.000000
1.994833	0.640	-12,375.000000
2.005500	0.640	-9,239.000000
2.016167	0.640	-5,098.000000
2.026833	0.640	-3,682.000000
2.037500	0.640	-7,964.000000
2.048167	0.640	-13,478.000000
2.058833	0.640	-14,506.000000
2.069500	0.640	-13,087.000000
2.080167	0.640	-11,747.000000
2.090833	0.640	-9,833.000000
2.101500	0.640	-8,752.000000
2.112167	0.640	-8,966.000000
2.122833	0.640	-8,746.000000
2.133500	0.640	-8,241.000000
2.144167	0.640	-8,047.000000
2.154833	0.640	-8,317.000000
2.165500	0.640	-10,718.000000
2.176167	0.640	-15,268.000000
2.186833	0.640	-17,209.000000
2.197500	0.640	-13,741.000000
2.208167	0.640	-9,995.000000
2.218833	0.640	-9,983.000000
2.229500	0.640	-9,978.000000
2.240167	0.640	-8,008.000000
2.250833	0.640	-6,827.000000
2.261500	0.640	-5,695.000000
2.272167	0.640	-1,172.000000
2.282833	0.640	5,856.000000
2.293500	0.640	10,339.000000
2.304167	0.640	8,842.000000
2.314833	0.640	2,838.000000
2.325500	0.640	-2,377.000000
2.336167	0.640	-1,480.000000
2.346833	0.640	4,830.000000
2.357500	0.640	9,419.000000
2.368167	0.640	7,228.000000
2.378833	0.640	-494.000000
2.389500	0.640	-8,479.000000
2.400167	0.640	-11,141.000000
