File Path	chrom://nnfcb-l0495/ChromeleonLocal/20180320_AA_Lars Nielsen samples Vienna_lbpet.seq/203.smp/Emission_2.channel/Emission_2.chm
Channel	Emission_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	Blank_IS_cleaning
Injection Number	56
Position	RB1
Comment	
Processing Method	20171024_Calculated with IS_lbpet
Instrument Method	20161104_AA_GeminiC18_Cleaning
Type	Unknown
Status	Finished
Injection Date	21-03-2018
Injection Time	20:06:02
Injection Volume (µl)	56.500
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.007783
Time Max. (min)	30.005450
Data Points	2873
Detector	FLD
Exporting Data System	Chromeleon 7.1.2.1478
Operator	
Signal Quantity	
Signal Unit	counts
Signal Min.	-119,096.000000
Signal Max.	320,746,501.000000
Channel	Emission_2
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.010
Max. Step (s)	0.820
Average Step (s)	0.627

Signal Parameter Information:
Signal Info	266 nm /305 nm

Raw Data:
Time (min)	Step (s)	Value (counts)
0.007783	0.000	0.000000
0.021450	0.820	0.000000
0.032117	0.640	0.000000
0.042783	0.640	-9,035.000000
0.053450	0.640	-20,642.000000
0.064117	0.640	-33,780.000000
0.074783	0.640	-40,729.000000
0.085450	0.640	-34,306.000000
0.096117	0.640	-30,147.000000
0.106783	0.640	-52,279.000000
0.117450	0.640	-86,132.000000
0.128117	0.640	-88,821.000000
0.138783	0.640	-60,009.000000
0.149450	0.640	-38,488.000000
0.160117	0.640	-44,481.000000
0.170783	0.640	-70,518.000000
0.181450	0.640	-86,554.000000
0.192117	0.640	-63,721.000000
0.202783	0.640	-25,921.000000
0.213450	0.640	-21,794.000000
0.224117	0.640	-47,248.000000
0.234783	0.640	-60,284.000000
0.245450	0.640	-50,795.000000
0.256117	0.640	-45,476.000000
0.266783	0.640	-52,528.000000
0.277450	0.640	-46,914.000000
0.288117	0.640	-28,903.000000
0.298783	0.640	-33,447.000000
0.309450	0.640	-60,243.000000
0.320117	0.640	-75,316.000000
0.330783	0.640	-69,917.000000
0.341450	0.640	-56,245.000000
0.352117	0.640	-45,339.000000
0.362783	0.640	-46,546.000000
0.373450	0.640	-55,150.000000
0.384117	0.640	-57,179.000000
0.394783	0.640	-55,734.000000
0.405450	0.640	-57,236.000000
0.416117	0.640	-50,265.000000
0.426783	0.640	-41,301.000000
0.437450	0.640	-55,014.000000
0.448117	0.640	-78,828.000000
0.458783	0.640	-85,632.000000
0.469450	0.640	-83,156.000000
0.480117	0.640	-85,236.000000
0.490783	0.640	-84,685.000000
0.501450	0.640	-75,917.000000
0.512117	0.640	-66,716.000000
0.522783	0.640	-64,338.000000
0.533450	0.640	-64,444.000000
0.544117	0.640	-54,278.000000
0.554783	0.640	-38,553.000000
0.565450	0.640	-36,958.000000
