component_group_name,component_name,meta_value,AAmix_0p1ug_mL_1_Emission_1,AAmix_0p1ug_mL_2_Emission_1,AAmix_0p25ug_mL_1_Emission_1,AAmix_0p25ug_mL_2_Emission_1,AAmix_0p5ug_mL_1_Emission_1,AAmix_0p5ug_mL_2_Emission_1,AAmix_10ug_mL_1_Emission_1,AAmix_10ug_mL_2_Emission_1,AAmix_1ug_mL_1_Emission_1,AAmix_1ug_mL_2_Emission_1,AAmix_25ug_mL_1_Emission_1,AAmix_25ug_mL_2_Emission_1,AAmix_2p5ug_mL_1_Emission_1,AAmix_2p5ug_mL_2_Emission_1,AAmix_50ug_mL_1_Emission_1,AAmix_50ug_mL_2_Emission_1,AAmix_5ug_mL_1_Emission_1,AAmix_5ug_mL_2_Emission_1,AAmix_75ug_mL_1_Emission_1,AAmix_75ug_mL_2_Emission_1
2-aminobutyrate,2-aminobutyrate,calculated_concentration,0.105348221765,2.14419016007,0.491172523133,1.93851381654,0.0595658167902,0.295200690726,28.241259231,1.28867601221,1.08307205384,0.105348221765,29.2999093594,1.18682431739,16.3203467224,1.84559591538,41.8527389225,56.3675754648,5.36721922641,9.39322768382,11.7182799898,23.3222640444
Alanine,Alanine,calculated_concentration,185.070243971,28.101894234,310.961039626,nan,nan,nan,0.325459808458,1.50940034349,nan,nan,0.676031501407,9.36443158062,2.6622932119,nan,50.6757825089,47.8170556804,4.64186174318,2.39439990305,76.774894692,76.4578248552
Arginine,Arginine,calculated_concentration,91.507941404,94.0596649787,111.350938383,111.821231773,130.618167835,132.244670956,17.9505434118,31.3140597553,nan,nan,26.2248582302,25.2594958969,nan,nan,70.7849777682,42.7104041125,nan,50.3702093375,78.6859821474,78.9593691139
Asparagine,Asparagine,calculated_concentration,16.3466663361,17.7546653748,36.0106658936,36.5226669312,72.6399993896,74.0906677246,1.05066096783,nan,nan,nan,3.2479994297,nan,nan,nan,6.8266658783,6.57600021362,nan,nan,10.6186666489,10.3839998245
Aspartate,Aspartate,calculated_concentration,0.103253728992,0.105570108718,0.227709842655,2.69693061566e-05,0.48124620811,0.470212108045,nan,0.116430238779,1.08557989556,1.02501112673,nan,nan,nan,0.0992836331734,nan,nan,0.0257484487092,nan,0.0398117084926,nan
Cysteine,Cysteine,calculated_concentration,0.122953706187,0.0781881902393,3.14987765579,27.6557448368,8312.18829002,3595.37037676,5.60815228517e-05,0.0016340150134,775001.771992,242138.024963,0.0492725434922,0.0921427039137,4.0427996449,3.12282111797,1.14829597614,0.140405909255,4.26601630576,4.88008755067,0.297465949161,498.999087359
GhostPeak,GhostPeak,calculated_concentration,251.338483037,242.303127127,61.1333517837,55.3758565419,61.3379867844,54.6150699957,538.618373535,58.4782301533,1.16604713124,0.9808991652,37.6198963469,485.276146052,2.04457524338,432.817180174,64.6193437192,76.4662435429,0.342027171726,0.0252475375048,69.5145724728,66.9345846972
Glutamate,Glutamate,calculated_concentration,14.2559995651,14.373333931,29.9946689606,29.2639980316,58.2293357849,58.5813331604,7.79733228683,nan,8.74666595459,2.41074204445,2.63999938965,8.38933372498,8.45866584778,8.13333511353,5.34400033951,5.16266679764,8.5280008316,8.70400047302,8.46933269501,8.52799987793
Glutamine,Glutamine,calculated_concentration,241.492667821,193.397873626,958.421474601,1021.94721242,3317.41864323,3356.11774048,14.1886711554,10.2297990798,2351.5971428,2146.85918645,31.0973268209,20.3925306709,11.6698519919,nan,41.847438687,39.2654650066,5.20422422483,nan,89.0953211198,88.9120752331
Glycine,Glycine,calculated_concentration,1344.89415946,1587.57069999,3635.48422138,719.733020153,2895.00872594,3134.58088579,3.12434560612,0.0146396675762,1.01012255307,24.0140258306,10.5185039376,4.84233931708,2.46733469168,nan,50.7326696441,49.4299496637,0.930185919453,0.536584810419,7.30724660802,4.49062091737
Histidine,Histidine,calculated_concentration,31.6328805393,45.7327501904,124.053321434,130.183123667,336.698373848,368.055706338,11.906877619,8.89760012221,1128.00371576,1040.11368905,23.9486918584,16.4469813906,10.0048587736,nan,31.1971493038,26.5564002651,4.87400120643,nan,75.8111482136,28.6729456956
Isoleucine,Isoleucine,calculated_concentration,22.0906658173,0.1333335042,48.1813316345,48.0159988403,0.245329499245,93.2266693115,0.0906670019031,0.181332498789,0.0373339988291,134.095993042,0.143999993801,0.0853319987655,1.61065900326,1.35999953747,0.575995028019,2.15466547012,0.0373345017433,3.40265989304,12.2773332596,0.0373330004513
Leucine,Leucine,calculated_concentration,102.558772617,201.867933428,160.125782511,158.900693171,10.6618799881,6.65496594573,10.1003384826,3.30558340158,13.4369769891,1.16677235866,7.48807923187,1.98733222406,4.70160227757,6.36017019551,55.4150375251,55.4150412794,21.214334898,3.76334483707,71.5655726187,72.1401467909
Lysine,Lysine,calculated_concentration,1304.58866599,7.66332112647,1426.45424586,1367.86873881,1.88204158998,418.547266994,7.85032962608,4.55830827339,1.2014716614,33.7486332796,69.7017956015,0.510920389196,17.7453234767,35.0124357579,85.1077222511,3.13148179801,3.79892375739,5.88028914579,78.8301904617,84.666045553
Methionine,Methionine,calculated_concentration,14.8480033875,4.87466621399,38.6079940796,35.8933296204,0.576002001762,78.9119949341,7.13066720963,0.00533299986273,0.00533349998295,6.57066631317,0.0213339999318,nan,0.0640010014176,6.5439991951,0.058667499572,0.0533315017819,0.501340508461,6.57599973679,10.8853330612,10.5173330307
Phenylalanine,Phenylalanine,calculated_concentration,14.9493322372,0.0799989998341,32.8106651306,33.5093345642,0.143999993801,69.6586685181,0.13866700232,0.122666999698,0.117333002388,0.218666002154,0.05866599828,nan,0.0800015032291,0.0853329971433,nan,nan,0.0106664998457,0.048000998795,12.2773332596,nan
Serine,Serine,calculated_concentration,218.591987204,235.376635282,296.351076664,315.853011541,323.721059119,329.103343049,9.46275248354,nan,nan,nan,28.6277268133,nan,nan,nan,45.0581905399,50.5705725228,nan,nan,76.2669332189,74.677590803
Threonine,Threonine,calculated_concentration,1194.36308867,264.02731072,710.030741596,762.296102956,2071.48139177,2193.21593484,15.3234799688,0.325405861193,nan,nan,0.00187236396501,20.9910751843,nan,nan,48.3418477157,41.3670722021,6.41844817332,4.32335850605,95.28653794,79.1857440082
Tryptophan,Tryptophan,calculated_concentration,130.698562622,0.0106664998457,142.650787354,140.095993042,8.85865688324,161.727996826,122.314888,0.00533349998295,125.802536011,0.0639994964004,109.781333923,8.53331184387,55.0451965332,0.0800015032291,8.75736045837,nan,0.175999000669,125.760002136,nan,nan
Tyrosine,Tyrosine,calculated_concentration,107.000333414,1.74503720839,178.421144892,177.923265286,284.485723467,287.022773374,21.8834632451,2.68240346907,77.396806367,87.8693640334,115.683668741,54.8672994449,87.9619925168,2.53733808397,50.4176336053,57.9450722758,69.6464114929,4.79461167057,70.8052902444,69.8515581446
Valine,Valine,calculated_concentration,156.587150603,0.924336814737,333.676808667,327.173756551,40.0723354654,514.163251676,17.4361674303,17.7466821659,0.870484999945,1.16846915546,24.9849935615,nan,43.6975761311,0.0444076701882,42.1420678893,49.5863606721,2.53292833112,37.8144222137,81.8837668121,80.8479230603
