transition_group_id,run_id,filename,RT,id,Sequence,FullPeptideName,Charge,Intensity,ProteinName,decoy,total_xic,PeptideRef,leftWidth,rightWidth,peak_apices_sum,var_xcorr_coelution,var_xcorr_coelution_weighted,var_xcorr_shape,var_xcorr_shape_weighted,delta_rt,assay_rt,norm_RT,rt_score,var_norm_rt_score,var_intensity_score,nr_peaks,sn_ratio,var_log_sn_score,var_elution_model_fit_score,main_var_xx_lda_prelim_score,xx_lda_prelim_score,QC_transition_group_score,QC_transition_group_pass,QC_transition_group_message,MZ,peak_apex_position,area_background_level,noise_background_level,native_id,peak_apex_int,total_xic,width_at_5,width_at_10,width_at_50,start_position_at_5,start_position_at_10,start_position_at_50,end_position_at_5,end_position_at_10,end_position_at_50,total_width,tailing_factor,asymmetry_factor,slope_of_baseline,baseline_delta_2_height,points_across_baseline,points_across_half_height,logSN,FeatureLevel,QC_transition_score,QC_transition_pass,QC_transition_message,calculated_concentration,concentration_units,PrecursorMZ,peak_area
b'2-aminobutyrate',20180320_Lars Nielsen samples Vienna_dx20_BB12_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB12,16.171132096832274,8618237677673949292,b'',NA,1,0.0,b'2-aminobutyrate',0,299010.0,2-aminobutyrate,16.134950637817383,16.284282684326172,0.0,0.0,0.0,1.0,1.0,-0.4328679031677254,16.604,16.171132096832274,0.4328679031677254,0.004328679031677254,1.1504586693961575e-05,2.0,1.3402189334542844,0.29283298379208184,0.5927827954292297,4.784378594677773,4.784378594677773,1.0,1,,0.0,16.16695,18.56000000000002,145.00000000000003,2-aminobutyrate,49.0,299010.0,0.1280000000000001,0.1280000000000001,0.1280000000000001,16.145617,16.145617,16.145617,16.273617,16.273617,16.273617,0.1280000000000001,3.000046875732648,5.000093751465296,-40.99999999999994,-0.8367346938775498,13,13,0.29283298379208184,MS2,0.5833333333333333,0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline];metaValue[tailing_factor],12.18640671356367,ug/mL,0.0,3.43998646736145
b'2-aminobutyrate',20180320_Lars Nielsen samples Vienna_dx20_BB12_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB12,16.171132096832274,8618237677673949292,b'',NA,1,0.0,b'2-aminobutyrate',0,299010.0,2-aminobutyrate,16.134950637817383,16.284282684326172,0.0,0.0,0.0,1.0,1.0,-0.4328679031677254,16.604,16.171132096832274,0.4328679031677254,0.004328679031677254,1.1504586693961575e-05,2.0,1.3402189334542844,0.29283298379208184,0.5927827954292297,4.784378594677773,4.784378594677773,1.0,1,,0.0,16.16695,18.56000000000002,145.00000000000003,2-aminobutyrate2,49.0,299010.0,0.1280000000000001,0.1280000000000001,0.1280000000000001,16.145617,16.145617,16.145617,16.273617,16.273617,16.273617,0.1280000000000001,3.000046875732648,5.000093751465296,-40.99999999999994,-0.8367346938775498,13,13,0.29283298379208184,MS2,0.5833333333333333,0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline];metaValue[tailing_factor],,,0.0,3.43998646736145
b'Alanine',20180320_Lars Nielsen samples Vienna_dx20_BB12_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB12,13.172474853775025,14847561960878945664,b'',NA,1,0.0,b'Alanine',0,299010.0,Alanine,13.105616569519043,13.201617240905762,0.0,0.0,0.0,1.0,1.0,-0.7865251462249745,13.959,13.172474853775025,0.7865251462249745,0.007865251462249746,1.8550131194252883e-06,2.0,1.01322393594482,0.01313726297295108,0.8302289247512817,4.1078283608240085,4.1078283608240085,1.0,1,,0.0,13.169617,2.784000000000003,29.000000000000004,Alanine,10.999999999999996,299010.0,0.09600000000000009,0.09600000000000009,0.09600000000000009,13.105617,13.105617,13.105617,13.201617,13.201617,13.201617,0.09600000000000009,0.75,0.5,3.9999999999999964,0.3636363636363634,10,10,0.01313726297295108,MS2,0.5833333333333333,0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline];metaValue[total_width],2.7962019525904758,ug/mL,0.0,0.5546674728393555
b'Alanine',20180320_Lars Nielsen samples Vienna_dx20_BB12_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB12,13.172474853775025,14847561960878945664,b'',NA,1,0.0,b'Alanine',0,299010.0,Alanine,13.105616569519043,13.201617240905762,0.0,0.0,0.0,1.0,1.0,-0.7865251462249745,13.959,13.172474853775025,0.7865251462249745,0.007865251462249746,1.8550131194252883e-06,2.0,1.01322393594482,0.01313726297295108,0.8302289247512817,4.1078283608240085,4.1078283608240085,1.0,1,,0.0,13.169617,2.784000000000003,29.000000000000004,Alanine2,10.999999999999996,299010.0,0.09600000000000009,0.09600000000000009,0.09600000000000009,13.105617,13.105617,13.105617,13.201617,13.201617,13.201617,0.09600000000000009,0.75,0.5,3.9999999999999964,0.3636363636363634,10,10,0.01313726297295108,MS2,0.5833333333333333,0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline];metaValue[total_width],,,0.0,0.5546674728393555
b'Arginine',20180320_Lars Nielsen samples Vienna_dx20_BB12_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB12,12.400347965133665,17788133671259302418,b'',NA,1,0.0,b'Arginine',0,299010.0,Arginine,12.38028335571289,12.42294979095459,0.0,0.0,0.0,1.0,1.0,0.404347965133665,11.996,12.400347965133665,0.404347965133665,0.00404347965133665,8.918263494304612e-08,2.0,1.0385545343434404,0.037829875563322374,0.0022784939501434565,5.713030218200313,5.713030218200313,1.0,1,,0.0,12.401617,0.8319870000000105,39.0,Arginine,2.0,299010.0,0.02133300000000027,0.02133300000000027,0.02133300000000027,12.39095,12.39095,12.39095,12.412283,12.412283,12.412283,0.02133300000000027,0.999953126464833,0.9999062529296661,-0.9999999999999929,-0.49999999999999645,3,3,0.037829875563322374,MS2,0.5833333333333333,0,metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline];metaValue[points_across_half_height];metaValue[total_width],17.95037113557918,ug/mL,0.0,0.02666649967432022
b'Arginine',20180320_Lars Nielsen samples Vienna_dx20_BB12_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB12,12.400347965133665,17788133671259302418,b'',NA,1,0.0,b'Arginine',0,299010.0,Arginine,12.38028335571289,12.42294979095459,0.0,0.0,0.0,1.0,1.0,0.404347965133665,11.996,12.400347965133665,0.404347965133665,0.00404347965133665,8.918263494304612e-08,2.0,1.0385545343434404,0.037829875563322374,0.0022784939501434565,5.713030218200313,5.713030218200313,1.0,1,,0.0,12.401617,0.8319870000000105,39.0,Arginine2,2.0,299010.0,0.02133300000000027,0.02133300000000027,0.02133300000000027,12.39095,12.39095,12.39095,12.412283,12.412283,12.412283,0.02133300000000027,0.999953126464833,0.9999062529296661,-0.9999999999999929,-0.49999999999999645,3,3,0.037829875563322374,MS2,0.5833333333333333,0,metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline];metaValue[points_across_half_height];metaValue[total_width],,,0.0,0.02666649967432022
b'Asparagine',20180320_Lars Nielsen samples Vienna_dx20_BB12_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB12,7.9387496734313965,6520824476996529314,b'',NA,1,0.0,b'Asparagine',0,299010.0,Asparagine,7.825616836547852,8.038949966430664,0.0,0.0,0.0,1.0000000000000004,1.0000000000000004,0.006749673431396097,7.932,7.9387496734313965,0.006749673431396097,6.749673431396097e-05,1.6534563283179382e-05,2.0,4.863474892535136,1.5817531808867962,0.7265071868896484,5.503224011390595,5.503224011390595,1.0,1,,0.0,7.94295,0.2026659999999998,1.0,Asparagine,63.0,299010.0,0.1813330000000004,0.15999999999999925,0.08533400000000047,7.84695,7.857617,7.900283,8.028283,8.017617,7.985617,0.2026659999999998,0.9444427083333347,0.8750073242473639,1.0,0.015873015873015872,20,7,1.5817531808867962,MS2,1.0,1,,4.943999767303467,ug/mL,0.0,4.943999767303467
b'Asparagine',20180320_Lars Nielsen samples Vienna_dx20_BB12_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB12,7.9387496734313965,6520824476996529314,b'',NA,1,0.0,b'Asparagine',0,299010.0,Asparagine,7.825616836547852,8.038949966430664,0.0,0.0,0.0,1.0000000000000004,1.0000000000000004,0.006749673431396097,7.932,7.9387496734313965,0.006749673431396097,6.749673431396097e-05,1.6534563283179382e-05,2.0,4.863474892535136,1.5817531808867962,0.7265071868896484,5.503224011390595,5.503224011390595,1.0,1,,0.0,7.94295,0.2026659999999998,1.0,Asparagine2,63.0,299010.0,0.1813330000000004,0.15999999999999925,0.08533400000000047,7.84695,7.857617,7.900283,8.028283,8.017617,7.985617,0.2026659999999998,0.9444427083333347,0.8750073242473639,1.0,0.015873015873015872,20,7,1.5817531808867962,MS2,1.0,1,,,,0.0,4.943999767303467
b'Cysteine',20180320_Lars Nielsen samples Vienna_dx20_BB12_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB12,6.1805355365295425,3662491002775949446,b'',NA,1,0.0,b'Cysteine',0,299010.0,Cysteine,6.065617084503174,6.257616996765137,0.0,0.0,0.0,0.9999999999999998,0.9999999999999998,-0.2584644634704576,6.439,6.1805355365295425,0.2584644634704576,0.002584644634704576,1.4001759177988371e-05,2.0,4.483515916555828,1.5004075414328437,0.7161097526550293,5.445685040486119,5.445685040486119,1.0,1,,0.0,6.18295,0.8533349999999995,5.0,Cysteine,54.0,299010.0,0.1706669999999999,0.1706669999999999,0.09600000000000009,6.076283,6.076283,6.140283,6.24695,6.24695,6.236283,0.1706669999999999,0.7999990625029304,0.5999981250058608,4.999999999999998,0.09259259259259256,17,8,1.5004075414328437,MS2,0.8333333333333334,0,metaValue[asymmetry_factor];metaValue[points_across_baseline],0.03943790006489553,ug/mL,0.0,4.186666011810303
b'Cysteine',20180320_Lars Nielsen samples Vienna_dx20_BB12_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BB12,6.1805355365295425,3662491002775949446,b'',NA,1,0.0,b'Cysteine',0,299010.0,Cysteine,6.065617084503174,6.257616996765137,0.0,0.0,0.0,0.9999999999999998,0.9999999999999998,-0.2584644634704576,6.439,6.1805355365295425,0.2584644634704576,0.002584644634704576,1.4001759177988371e-05,2.0,4.483515916555828,1.5004075414328437,0.7161097526550293,5.445685040486119,5.445685040486119,1.0,1,,0.0,6.18295,0.8533349999999995,5.0,Cysteine2,54.0,299010.0,0.1706669999999999,0.1706669999999999,0.09600000000000009,6.076283,6.076283,6.140283,6.24695,6.24695,6.236283,0.1706669999999999,0.7999990625029304,0.5999981250058608,4.999999999999998,0.09259259259259256,17,8,1.5004075414328437,MS2,0.8333333333333334,0,metaValue[asymmetry_factor];metaValue[points_across_baseline],,,0.0,4.186666011810303
