transition_group_id,run_id,filename,RT,id,Sequence,FullPeptideName,Charge,Intensity,ProteinName,decoy,total_xic,PeptideRef,leftWidth,rightWidth,peak_apices_sum,var_xcorr_coelution,var_xcorr_coelution_weighted,var_xcorr_shape,var_xcorr_shape_weighted,delta_rt,assay_rt,norm_RT,rt_score,var_norm_rt_score,var_intensity_score,nr_peaks,sn_ratio,var_log_sn_score,var_elution_model_fit_score,main_var_xx_lda_prelim_score,xx_lda_prelim_score,QC_transition_group_score,QC_transition_group_pass,QC_transition_group_message,MZ,peak_apex_position,area_background_level,noise_background_level,native_id,peak_apex_int,total_xic,width_at_5,width_at_10,width_at_50,start_position_at_5,start_position_at_10,start_position_at_50,end_position_at_5,end_position_at_10,end_position_at_50,total_width,tailing_factor,asymmetry_factor,slope_of_baseline,baseline_delta_2_height,points_across_baseline,points_across_half_height,logSN,FeatureLevel,QC_transition_score,QC_transition_pass,QC_transition_message,calculated_concentration,concentration_units,PrecursorMZ,peak_area
b'2-aminobutyrate',20180320_Lars Nielsen samples Vienna_dx20_BC2_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BC2,16.116342730499262,14583728870617998314,b'',NA,1,0.0,b'2-aminobutyrate',0,299850.0,2-aminobutyrate,16.060216903686523,16.134883880615234,0.0,0.0,0.0,1.0,1.0,-0.48765726950073685,16.604,16.116342730499262,0.48765726950073685,0.0048765726950073685,5.44269820024555e-06,2.0,1.2808825695709054,0.24754934780772725,0.5762825608253479,4.778554459655515,4.778554459655515,1.0,1,,0.0,16.11355,10.97590199999956,147.0,2-aminobutyrate,30.00000000000003,299850.0,0.07466599999999701,0.07466599999999701,0.07466599999999701,16.060217,16.060217,16.060217,16.134883,16.134883,16.134883,0.07466599999999701,0.6999981249882726,0.39999624997654515,26.0,0.8666666666666658,8,8,0.24754934780772725,MS2,0.5833333333333333,0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline];metaValue[total_width],6.599623558547905,ug/mL,0.0,1.631993055343628
b'2-aminobutyrate',20180320_Lars Nielsen samples Vienna_dx20_BC2_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BC2,16.116342730499262,14583728870617998314,b'',NA,1,0.0,b'2-aminobutyrate',0,299850.0,2-aminobutyrate,16.060216903686523,16.134883880615234,0.0,0.0,0.0,1.0,1.0,-0.48765726950073685,16.604,16.116342730499262,0.48765726950073685,0.0048765726950073685,5.44269820024555e-06,2.0,1.2808825695709054,0.24754934780772725,0.5762825608253479,4.778554459655515,4.778554459655515,1.0,1,,0.0,16.11355,10.97590199999956,147.0,2-aminobutyrate2,30.00000000000003,299850.0,0.07466599999999701,0.07466599999999701,0.07466599999999701,16.060217,16.060217,16.060217,16.134883,16.134883,16.134883,0.07466599999999701,0.6999981249882726,0.39999624997654515,26.0,0.8666666666666658,8,8,0.24754934780772725,MS2,0.5833333333333333,0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline];metaValue[total_width],,,0.0,1.631993055343628
b'Alanine',20180320_Lars Nielsen samples Vienna_dx20_BC2_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BC2,13.167285931854249,16996706122353728710,b'',NA,1,0.0,b'Alanine',0,299850.0,Alanine,13.09488296508789,13.212217330932617,0.0,0.0,0.0,1.0,1.0,-0.7917140681457511,13.959,13.167285931854249,0.7917140681457511,0.007917140681457512,2.3478455437766288e-06,2.0,1.0613716207367199,0.059562053478095026,0.9016097187995911,4.0068352858785765,4.0068352858785765,1.0,1,,0.0,13.16955,3.1680180000000373,27.0,Alanine,12.999999999999993,299850.0,0.11733400000000138,0.11733400000000138,0.11733400000000138,13.094883,13.094883,13.094883,13.212217,13.212217,13.212217,0.11733400000000138,0.7857152423426793,0.5714304846853586,4.0000000000000036,0.30769230769230815,12,12,0.059562053478095026,MS2,0.6666666666666667,0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline],3.545623915123708,ug/mL,0.0,0.7040014863014221
b'Alanine',20180320_Lars Nielsen samples Vienna_dx20_BC2_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BC2,13.167285931854249,16996706122353728710,b'',NA,1,0.0,b'Alanine',0,299850.0,Alanine,13.09488296508789,13.212217330932617,0.0,0.0,0.0,1.0,1.0,-0.7917140681457511,13.959,13.167285931854249,0.7917140681457511,0.007917140681457512,2.3478455437766288e-06,2.0,1.0613716207367199,0.059562053478095026,0.9016097187995911,4.0068352858785765,4.0068352858785765,1.0,1,,0.0,13.16955,3.1680180000000373,27.0,Alanine2,12.999999999999993,299850.0,0.11733400000000138,0.11733400000000138,0.11733400000000138,13.094883,13.094883,13.094883,13.212217,13.212217,13.212217,0.11733400000000138,0.7857152423426793,0.5714304846853586,4.0000000000000036,0.30769230769230815,12,12,0.059562053478095026,MS2,0.6666666666666667,0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline],,,0.0,0.7040014863014221
b'Arginine',20180320_Lars Nielsen samples Vienna_dx20_BC2_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BC2,12.358627319107057,14662372376063828873,b'',NA,1,0.0,b'Arginine',0,299850.0,Arginine,12.326883316040039,12.369549751281738,0.0,0.0,0.0,1.0000000000000002,1.0000000000000002,0.36262731910705703,11.996,12.358627319107057,0.36262731910705703,0.00362627319107057,1.2450224561692875e-07,2.0,0.9552344586630479,0.0,-0.007895076647400856,5.707533129550408,5.707533129550408,1.0,1,,0.0,12.358883,0.7039890000000089,33.0,Arginine,3.0,299850.0,0.02133300000000027,0.02133300000000027,0.02133300000000027,12.33755,12.33755,12.33755,12.358883,12.358883,12.358883,0.02133300000000027,0.5,0.0,3.0,1.0,3,3,0.0,MS2,0.5,0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline];metaValue[points_across_half_height];metaValue[total_width],19.564103266446907,ug/mL,0.0,0.037331998348236084
b'Arginine',20180320_Lars Nielsen samples Vienna_dx20_BC2_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BC2,12.358627319107057,14662372376063828873,b'',NA,1,0.0,b'Arginine',0,299850.0,Arginine,12.326883316040039,12.369549751281738,0.0,0.0,0.0,1.0000000000000002,1.0000000000000002,0.36262731910705703,11.996,12.358627319107057,0.36262731910705703,0.00362627319107057,1.2450224561692875e-07,2.0,0.9552344586630479,0.0,-0.007895076647400856,5.707533129550408,5.707533129550408,1.0,1,,0.0,12.358883,0.7039890000000089,33.0,Arginine2,3.0,299850.0,0.02133300000000027,0.02133300000000027,0.02133300000000027,12.33755,12.33755,12.33755,12.358883,12.358883,12.358883,0.02133300000000027,0.5,0.0,3.0,1.0,3,3,0.0,MS2,0.5,0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline];metaValue[points_across_half_height];metaValue[total_width],,,0.0,0.037331998348236084
b'Asparagine',20180320_Lars Nielsen samples Vienna_dx20_BC2_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BC2,7.932788431167602,13450543186959792433,b'',NA,1,0.0,b'Asparagine',0,299850.0,Asparagine,7.825550079345703,8.028217315673828,0.0,0.0,0.0,1.0,1.0,0.000788431167601189,7.932,7.932788431167602,0.000788431167601189,7.884311676011891e-06,1.4175976716181983e-05,2.0,4.457760807094224,1.4946465787674177,0.7796804308891296,5.339864462773359,5.339864462773359,1.0,1,,0.0,7.932217,0.19199999999999928,1.0,Asparagine,55.00000000000001,299850.0,0.18133299999999952,0.14933300000000038,0.08533300000000033,7.836217,7.85755,7.88955,8.01755,8.006883,7.974883,0.19199999999999928,0.9444427083333388,0.9999866072026564,-1.0,-0.01818181818181818,19,7,1.4946465787674177,MS2,0.9166666666666666,0,metaValue[points_across_baseline],4.250666618347168,ug/mL,0.0,4.250666618347168
b'Asparagine',20180320_Lars Nielsen samples Vienna_dx20_BC2_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BC2,7.932788431167602,13450543186959792433,b'',NA,1,0.0,b'Asparagine',0,299850.0,Asparagine,7.825550079345703,8.028217315673828,0.0,0.0,0.0,1.0,1.0,0.000788431167601189,7.932,7.932788431167602,0.000788431167601189,7.884311676011891e-06,1.4175976716181983e-05,2.0,4.457760807094224,1.4946465787674177,0.7796804308891296,5.339864462773359,5.339864462773359,1.0,1,,0.0,7.932217,0.19199999999999928,1.0,Asparagine2,55.00000000000001,299850.0,0.18133299999999952,0.14933300000000038,0.08533300000000033,7.836217,7.85755,7.88955,8.01755,8.006883,7.974883,0.19199999999999928,0.9444427083333388,0.9999866072026564,-1.0,-0.01818181818181818,19,7,1.4946465787674177,MS2,0.9166666666666666,0,metaValue[points_across_baseline],,,0.0,4.250666618347168
b'Cysteine',20180320_Lars Nielsen samples Vienna_dx20_BC2_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BC2,6.986027005569458,9609294212626262584,b'',NA,1,0.0,b'Cysteine',0,299850.0,Cysteine,6.950882911682129,7.100216865539551,0.0,0.0,0.0,1.0,1.0,0.5470270055694577,6.439,6.986027005569458,0.5470270055694577,0.005470270055694577,1.0049508097809078e-05,2.0,3.58212921998643,1.2759573778025883,0.5674677491188049,5.541607582638765,5.541607582638765,1.0,1,,0.0,6.982883,0.5546679999999995,4.0,Cysteine,41.00000000000001,299850.0,0.13866699999999987,0.13866699999999987,0.08533399999999958,6.950883,6.950883,6.950883,7.08955,7.08955,7.036217,0.13866699999999987,2.166671874999996,3.333343749999992,-35.0,-0.8536585365853657,14,8,1.2759573778025883,MS2,0.6666666666666667,0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height];metaValue[points_across_baseline];metaValue[tailing_factor],0.004525711037039431,ug/mL,0.0,3.0133450031280518
b'Cysteine',20180320_Lars Nielsen samples Vienna_dx20_BC2_Emission_1,20180320_Lars Nielsen samples Vienna_dx20_BC2,6.986027005569458,9609294212626262584,b'',NA,1,0.0,b'Cysteine',0,299850.0,Cysteine,6.950882911682129,7.100216865539551,0.0,0.0,0.0,1.0,1.0,0.5470270055694577,6.439,6.986027005569458,0.5470270055694577,0.005470270055694577,1.0049508097809078e-05,2.0,3.58212921998643,1.2759573778025883,0.5674677491188049,5.541607582638765,5.541607582638765,1.0,1,,0.0,6.982883,0.5546679999999995,4.0,Cysteine2,41.00000000000001,299850.0,0.13866699999999987,0.13866699999999987,0.08533399999999958,6.950883,6.950883,6.950883,7.08955,7.08955,7.036217,0.13866699999999987,2.166671874999996,3.333343749999992,-35.0,-0.8536585365853657,14,8,1.2759573778025883,MS2,0.6666666666666667,0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height];metaValue[points_across_baseline];metaValue[tailing_factor],,,0.0,3.0133450031280518
