transition_group_id,run_id,filename,RT,id,Sequence,FullPeptideName,Charge,Intensity,ProteinName,decoy,total_xic,PeptideRef,leftWidth,rightWidth,peak_apices_sum,var_xcorr_coelution,var_xcorr_coelution_weighted,var_xcorr_shape,var_xcorr_shape_weighted,delta_rt,assay_rt,norm_RT,rt_score,var_norm_rt_score,var_intensity_score,nr_peaks,sn_ratio,var_log_sn_score,var_elution_model_fit_score,main_var_xx_lda_prelim_score,xx_lda_prelim_score,QC_transition_group_score,QC_transition_group_pass,QC_transition_group_message,MZ,peak_apex_position,area_background_level,noise_background_level,native_id,peak_apex_int,total_xic,width_at_5,width_at_10,width_at_50,start_position_at_5,start_position_at_10,start_position_at_50,end_position_at_5,end_position_at_10,end_position_at_50,total_width,tailing_factor,asymmetry_factor,slope_of_baseline,baseline_delta_2_height,points_across_baseline,points_across_half_height,logSN,FeatureLevel,QC_transition_score,QC_transition_pass,QC_transition_message,calculated_concentration,concentration_units,PrecursorMZ,peak_area
b'2-aminobutyrate',Blank_IS_5_Emission_1,Blank_IS_5,16.399810556060793,17189804386575598331,b'',NA,1,0.0,b'2-aminobutyrate',0,188683.0,2-aminobutyrate,16.337600708007812,16.412267684936523,0.0,0.0,0.0,1.0,1.0,-0.20418944393920668,16.604,16.399810556060793,0.20418944393920668,0.002041894439392067,1.582914255130415e-06,2.0,1.0986148589963705,0.09405016722757038,0.5660914778709412,4.705719005719169,4.705719005719169,1.0,1,,0.0,16.4016,1.7920000000000016,28.0,2-aminobutyrate,8.0,188683.0,0.06400000000000006,0.06400000000000006,0.06400000000000006,16.348267,16.348267,16.348267,16.412267,16.412267,16.412267,0.06400000000000006,0.6000037500234549,0.20000750004690965,6.0,0.75,7,7,0.09405016722757038,MS2,0.5833333333333333,0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline];metaValue[total_width],1.632689646459805,ug/mL,0.0,0.2986690104007721
b'2-aminobutyrate',Blank_IS_5_Emission_1,Blank_IS_5,16.399810556060793,17189804386575598331,b'',NA,1,0.0,b'2-aminobutyrate',0,188683.0,2-aminobutyrate,16.337600708007812,16.412267684936523,0.0,0.0,0.0,1.0,1.0,-0.20418944393920668,16.604,16.399810556060793,0.20418944393920668,0.002041894439392067,1.582914255130415e-06,2.0,1.0986148589963705,0.09405016722757038,0.5660914778709412,4.705719005719169,4.705719005719169,1.0,1,,0.0,16.4016,1.7920000000000016,28.0,2-aminobutyrate2,8.0,188683.0,0.06400000000000006,0.06400000000000006,0.06400000000000006,16.348267,16.348267,16.348267,16.412267,16.412267,16.412267,0.06400000000000006,0.6000037500234549,0.20000750004690965,6.0,0.75,7,7,0.09405016722757038,MS2,0.5833333333333333,0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline];metaValue[total_width],,,0.0,0.2986690104007721
b'Alanine',Blank_IS_5_Emission_1,Blank_IS_5,13.957211196182252,12590189953197178854,b'',NA,1,0.0,b'Alanine',0,188683.0,Alanine,13.820266723632812,14.033599853515625,0.0,0.0,0.0,1.0000000000000002,1.0000000000000002,-0.0017888038177478194,13.959,13.957211196182252,0.0017888038177478194,1.7888038177478193e-05,5.6051635159923696e-05,2.0,4.48601067423518,1.5009638155501968,0.875342607498169,5.164135936165006,5.164135936165006,1.0,1,,0.0,13.958933,7.093310000000024,35.0,Alanine,111.99999999999997,188683.0,0.20266600000000068,0.20266600000000068,0.13866600000000062,13.820267,13.820267,13.884267,14.022933,14.022933,14.022933,0.20266600000000068,0.7307703402420196,0.4615406804840391,31.0,0.27678571428571436,20,13,1.5009638155501968,MS2,0.8333333333333334,0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height],52.68704381411111,ug/mL,0.0,10.575990676879883
b'Alanine',Blank_IS_5_Emission_1,Blank_IS_5,13.957211196182252,12590189953197178854,b'',NA,1,0.0,b'Alanine',0,188683.0,Alanine,13.820266723632812,14.033599853515625,0.0,0.0,0.0,1.0000000000000002,1.0000000000000002,-0.0017888038177478194,13.959,13.957211196182252,0.0017888038177478194,1.7888038177478193e-05,5.6051635159923696e-05,2.0,4.48601067423518,1.5009638155501968,0.875342607498169,5.164135936165006,5.164135936165006,1.0,1,,0.0,13.958933,7.093310000000024,35.0,Alanine2,111.99999999999997,188683.0,0.20266600000000068,0.20266600000000068,0.13866600000000062,13.820267,13.820267,13.884267,14.022933,14.022933,14.022933,0.20266600000000068,0.7307703402420196,0.4615406804840391,31.0,0.27678571428571436,20,13,1.5009638155501968,MS2,0.8333333333333334,0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height],,,0.0,10.575990676879883
b'Arginine',Blank_IS_5_Emission_1,Blank_IS_5,11.996938038986208,13067525771982060705,b'',NA,1,0.0,b'Arginine',0,188683.0,Arginine,11.87893295288086,12.102932929992676,0.0,0.0,0.0,1.0,1.0,0.000938038986207701,11.996,11.996938038986208,0.000938038986207701,9.38038986207701e-06,3.3947594620708234e-05,2.0,8.605816395471567,2.1524382997095737,0.8312045335769653,5.722879663028728,5.722879663028728,1.0,1,,0.0,11.996267,2.986675999999996,14.000000000000002,Arginine,79.99999999999999,188683.0,0.2133339999999997,0.2133339999999997,0.10666699999999985,11.878933,11.878933,11.942933,12.092267,12.092267,12.0496,0.2133339999999997,0.9090885847239522,0.8181771694479043,0.9999999999999982,0.01249999999999998,21,9,2.1524382997095737,MS2,1.0,1,,72.97793010417452,ug/mL,0.0,6.405333995819092
b'Arginine',Blank_IS_5_Emission_1,Blank_IS_5,11.996938038986208,13067525771982060705,b'',NA,1,0.0,b'Arginine',0,188683.0,Arginine,11.87893295288086,12.102932929992676,0.0,0.0,0.0,1.0,1.0,0.000938038986207701,11.996,11.996938038986208,0.000938038986207701,9.38038986207701e-06,3.3947594620708234e-05,2.0,8.605816395471567,2.1524382997095737,0.8312045335769653,5.722879663028728,5.722879663028728,1.0,1,,0.0,11.996267,2.986675999999996,14.000000000000002,Arginine2,79.99999999999999,188683.0,0.2133339999999997,0.2133339999999997,0.10666699999999985,11.878933,11.878933,11.942933,12.092267,12.092267,12.0496,0.2133339999999997,0.9090885847239522,0.8181771694479043,0.9999999999999982,0.01249999999999998,21,9,2.1524382997095737,MS2,1.0,1,,,,0.0,6.405333995819092
b'Asparagine',Blank_IS_5_Emission_1,Blank_IS_5,7.940271757736207,6039374406929859023,b'',NA,1,0.0,b'Asparagine',0,188683.0,Asparagine,7.857600212097168,8.017600059509277,0.0,0.0,0.0,1.0000000000000002,1.0000000000000002,0.008271757736206808,7.932,7.940271757736207,0.008271757736206808,8.271757736206808e-05,2.054945051818231e-05,2.0,4.852215627233969,1.5794354309916918,0.9828307628631592,5.018400540944996,5.018400540944996,1.0,1,,0.0,7.942933,0.895997999999997,6.0,Asparagine,46.99999999999999,188683.0,0.1493329999999995,0.1493329999999995,0.10666699999999985,7.868267,7.868267,7.878933,8.0176,8.0176,7.9856,0.1493329999999995,1.0000066964883625,1.000013392976725,-4.999999999999998,-0.10638297872340423,15,9,1.5794354309916918,MS2,0.9166666666666666,0,metaValue[points_across_baseline],3.8773319721221924,ug/mL,0.0,3.8773319721221924
b'Asparagine',Blank_IS_5_Emission_1,Blank_IS_5,7.940271757736207,6039374406929859023,b'',NA,1,0.0,b'Asparagine',0,188683.0,Asparagine,7.857600212097168,8.017600059509277,0.0,0.0,0.0,1.0000000000000002,1.0000000000000002,0.008271757736206808,7.932,7.940271757736207,0.008271757736206808,8.271757736206808e-05,2.054945051818231e-05,2.0,4.852215627233969,1.5794354309916918,0.9828307628631592,5.018400540944996,5.018400540944996,1.0,1,,0.0,7.942933,0.895997999999997,6.0,Asparagine2,46.99999999999999,188683.0,0.1493329999999995,0.1493329999999995,0.10666699999999985,7.868267,7.868267,7.878933,8.0176,8.0176,7.9856,0.1493329999999995,1.0000066964883625,1.000013392976725,-4.999999999999998,-0.10638297872340423,15,9,1.5794354309916918,MS2,0.9166666666666666,0,metaValue[points_across_baseline],,,0.0,3.8773319721221924
b'Aspartate',Blank_IS_5_Emission_1,Blank_IS_5,3.1616041067047123,15714944970791918575,b'',NA,1,0.0,b'Aspartate',0,188683.0,Aspartate,3.078933000564575,3.2495999336242676,0.0,0.0,0.0,0.9999999999999998,0.9999999999999998,0.007604106704712343,3.154,3.1616041067047123,0.007604106704712343,7.604106704712344e-05,2.6343962230142463e-05,2.0,5.035318103733364,1.616476702672041,0.9239040613174438,5.156527280201413,5.156527280201413,1.0,1,,0.0,3.164267,0.5973319999999998,4.0,Aspartate,51.0,188683.0,0.14933299999999994,0.14933299999999994,0.12799999999999967,3.0896,3.0896,3.110933,3.238933,3.238933,3.238933,0.14933299999999994,0.9999933036013193,0.9999866072026385,26.000000000000004,0.5098039215686275,15,12,1.616476702672041,MS2,0.8333333333333334,0,metaValue[baseline_delta_2_height];metaValue[points_across_baseline],0.019564124858746697,ug/mL,0.0,4.970657825469971
b'Aspartate',Blank_IS_5_Emission_1,Blank_IS_5,3.1616041067047123,15714944970791918575,b'',NA,1,0.0,b'Aspartate',0,188683.0,Aspartate,3.078933000564575,3.2495999336242676,0.0,0.0,0.0,0.9999999999999998,0.9999999999999998,0.007604106704712343,3.154,3.1616041067047123,0.007604106704712343,7.604106704712344e-05,2.6343962230142463e-05,2.0,5.035318103733364,1.616476702672041,0.9239040613174438,5.156527280201413,5.156527280201413,1.0,1,,0.0,3.164267,0.5973319999999998,4.0,Aspartate2,51.0,188683.0,0.14933299999999994,0.14933299999999994,0.12799999999999967,3.0896,3.0896,3.110933,3.238933,3.238933,3.238933,0.14933299999999994,0.9999933036013193,0.9999866072026385,26.000000000000004,0.5098039215686275,15,12,1.616476702672041,MS2,0.8333333333333334,0,metaValue[baseline_delta_2_height];metaValue[points_across_baseline],,,0.0,4.970657825469971
b'Cysteine',Blank_IS_5_Emission_1,Blank_IS_5,5.594913331039429,3910549381054543749,b'',NA,1,0.0,b'Cysteine',0,188683.0,Cysteine,5.46826696395874,5.734932899475098,0.0,0.0,0.0,1.0,1.0,-0.8440866689605713,6.439,5.594913331039429,0.8440866689605713,0.008440866689605713,4.5282302197921124e-05,2.0,8.331162680722477,2.12000302395642,0.8316149711608887,5.638948018119719,5.638948018119719,1.0,1,,0.0,5.596267,0.7680000000000006,2.9999999999999996,Cysteine,87.99999999999999,188683.0,0.2453340000000006,0.20266699999999993,0.10666700000000073,5.478933,5.4896,5.542933,5.724267,5.692267,5.6496,0.2560000000000002,1.0454514462985989,0.8999971875087911,4.440892098500626e-16,5.0464682937507125e-18,25,9,2.12000302395642,MS2,1.0,1,,4.31898389348668,ug/mL,0.0,8.544000625610352
b'Cysteine',Blank_IS_5_Emission_1,Blank_IS_5,5.594913331039429,3910549381054543749,b'',NA,1,0.0,b'Cysteine',0,188683.0,Cysteine,5.46826696395874,5.734932899475098,0.0,0.0,0.0,1.0,1.0,-0.8440866689605713,6.439,5.594913331039429,0.8440866689605713,0.008440866689605713,4.5282302197921124e-05,2.0,8.331162680722477,2.12000302395642,0.8316149711608887,5.638948018119719,5.638948018119719,1.0,1,,0.0,5.596267,0.7680000000000006,2.9999999999999996,Cysteine2,87.99999999999999,188683.0,0.2453340000000006,0.20266699999999993,0.10666700000000073,5.478933,5.4896,5.542933,5.724267,5.692267,5.6496,0.2560000000000002,1.0454514462985989,0.8999971875087911,4.440892098500626e-16,5.0464682937507125e-18,25,9,2.12000302395642,MS2,1.0,1,,,,0.0,8.544000625610352
b'GhostPeak',Blank_IS_5_Emission_1,Blank_IS_5,18.33563265834045,8321526173302804704,b'',NA,1,0.0,b'GhostPeak',0,188683.0,GhostPeak,18.193599700927734,18.449600219726562,0.0,0.0,0.0,1.0000000000000002,1.0000000000000002,-0.007367341659548998,18.343,18.33563265834045,0.007367341659548998,7.367341659548998e-05,3.420198375582843e-05,2.0,1.2084763448960074,0.18936034703189517,0.8887978792190552,4.181052937357949,4.181052937357949,1.0,1,,0.0,18.332267,0.2560000000000002,1.0,GhostPeak,65.00000000000001,188683.0,0.2240000000000002,0.19200000000000017,0.10666700000000162,18.214933,18.236267,18.278933,18.438933,18.428267,18.3856,0.2560000000000002,0.9545400310225262,1.0,0.0,0.0,25,9,0.18936034703189517,MS2,0.9166666666666666,0,metaValue[logSN],56.59484964431942,ug/mL,0.0,6.453332901000977
b'GhostPeak',Blank_IS_5_Emission_1,Blank_IS_5,18.33563265834045,8321526173302804704,b'',NA,1,0.0,b'GhostPeak',0,188683.0,GhostPeak,18.193599700927734,18.449600219726562,0.0,0.0,0.0,1.0000000000000002,1.0000000000000002,-0.007367341659548998,18.343,18.33563265834045,0.007367341659548998,7.367341659548998e-05,3.420198375582843e-05,2.0,1.2084763448960074,0.18936034703189517,0.8887978792190552,4.181052937357949,4.181052937357949,1.0,1,,0.0,18.332267,0.2560000000000002,1.0,GhostPeak2,65.00000000000001,188683.0,0.2240000000000002,0.19200000000000017,0.10666700000000162,18.214933,18.236267,18.278933,18.438933,18.428267,18.3856,0.2560000000000002,0.9545400310225262,1.0,0.0,0.0,25,9,0.18936034703189517,MS2,0.9166666666666666,0,metaValue[logSN],,,0.0,6.453332901000977
b'Glutamate',Blank_IS_5_Emission_1,Blank_IS_5,4.742279637329101,16216475697571987910,b'',NA,1,0.0,b'Glutamate',0,188683.0,Glutamate,4.636267185211182,4.860267162322998,0.0,0.0,0.0,1.0,1.0,0.010279637329101199,4.732,4.742279637329101,0.010279637329101199,0.00010279637329101199,2.3267089742177315e-05,2.0,5.950830486230339,1.783530787335207,0.7579885721206665,5.590927072663362,5.590927072663362,1.0,1,,0.0,4.742933,0.21333400000000058,1.0,Glutamate,64.0,188683.0,0.19199999999999928,0.1493329999999995,0.07466599999999968,4.6576,4.668267,4.700267,4.8496,4.8176,4.774933,0.21333400000000058,1.1250043945484194,1.000013392976725,-1.0,-0.015625,21,6,1.783530787335207,MS2,1.0,1,,4.390104293823242,ug/mL,0.0,4.390104293823242
b'Glutamate',Blank_IS_5_Emission_1,Blank_IS_5,4.742279637329101,16216475697571987910,b'',NA,1,0.0,b'Glutamate',0,188683.0,Glutamate,4.636267185211182,4.860267162322998,0.0,0.0,0.0,1.0,1.0,0.010279637329101199,4.732,4.742279637329101,0.010279637329101199,0.00010279637329101199,2.3267089742177315e-05,2.0,5.950830486230339,1.783530787335207,0.7579885721206665,5.590927072663362,5.590927072663362,1.0,1,,0.0,4.742933,0.21333400000000058,1.0,Glutamate2,64.0,188683.0,0.19199999999999928,0.1493329999999995,0.07466599999999968,4.6576,4.668267,4.700267,4.8496,4.8176,4.774933,0.21333400000000058,1.1250043945484194,1.000013392976725,-1.0,-0.015625,21,6,1.783530787335207,MS2,1.0,1,,,,0.0,4.390104293823242
b'Glutamine',Blank_IS_5_Emission_1,Blank_IS_5,9.702720287185668,14740815482930901215,b'',NA,1,0.0,b'Glutamine',0,188683.0,Glutamine,9.606932640075684,9.788267135620117,0.0,0.0,0.0,1.0,1.0,0.010720287185668198,9.692,9.702720287185668,0.010720287185668198,0.00010720287185668198,1.970148336486611e-05,2.0,1.8310247649939508,0.6048757909935611,0.8769998550415039,4.506331949315342,4.506331949315342,1.0,1,,0.0,9.702933,3.264011999999994,18.0,Glutamine,42.0,188683.0,0.18133399999999966,0.18133399999999966,0.1706669999999999,9.606933,9.606933,9.6176,9.788267,9.788267,9.788267,0.18133399999999966,0.9444479166666641,0.8888958333333281,5.0,0.11904761904761904,18,16,0.6048757909935611,MS2,0.8333333333333334,0,metaValue[logSN];metaValue[points_across_baseline],16.880638345147815,ug/mL,0.0,3.7173349857330322
b'Glutamine',Blank_IS_5_Emission_1,Blank_IS_5,9.702720287185668,14740815482930901215,b'',NA,1,0.0,b'Glutamine',0,188683.0,Glutamine,9.606932640075684,9.788267135620117,0.0,0.0,0.0,1.0,1.0,0.010720287185668198,9.692,9.702720287185668,0.010720287185668198,0.00010720287185668198,1.970148336486611e-05,2.0,1.8310247649939508,0.6048757909935611,0.8769998550415039,4.506331949315342,4.506331949315342,1.0,1,,0.0,9.702933,3.264011999999994,18.0,Glutamine2,42.0,188683.0,0.18133399999999966,0.18133399999999966,0.1706669999999999,9.606933,9.606933,9.6176,9.788267,9.788267,9.788267,0.18133399999999966,0.9444479166666641,0.8888958333333281,5.0,0.11904761904761904,18,16,0.6048757909935611,MS2,0.8333333333333334,0,metaValue[logSN];metaValue[points_across_baseline],,,0.0,3.7173349857330322
