IS_name,component_name,feature_name,concentration_units,llod,ulod,lloq,uloq,correlation_coefficient,n_points,transformation_model,transformation_model_param_y_weight,transformation_model_param_y_datum_min,transformation_model_param_y_datum_max,transformation_model_param_x_weight,transformation_model_param_x_datum_min,transformation_model_param_x_datum_max,transformation_model_param_symmetric_regression,transformation_model_param_slope,transformation_model_param_intercept
,2-aminobutyrate,intensity,ug/mL,0,0,0.1,50,0.99720197343633,7,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,1.21580822193292,-1.80444344589988
,Alanine,intensity,ug/mL,0,0,2.5,75,0.999441726739531,6,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,1.00404118983403,-1.6218039458533
,Arginine,intensity,ug/mL,0,0,25,75,0.987105222664777,5,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,3.90823344941938,-14.9098042767076
,Asparagine,intensity,ug/mL,0,0,0,0,0,0,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,1,0
,Aspartate,intensity,ug/mL,0,0,0.1,1,0.997794568944116,7,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,0.793707507191631,4.72604336388014
,Cysteine,intensity,ug/mL,0,0,0.1,5,0.994659544261795,5,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,0.15189891911237,1.92299817377508
,GhostPeak,intensity,ug/mL,0,0,1,75,0.99680808092453,6,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,0.920077156529783,-1.84875921779412
,Glutamate,intensity,ug/mL,0,0,0,0,0,0,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,1,0
,Glutamine,intensity,ug/mL,0,0,5,75,0.982470703573453,8,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,0.554419035513601,-0.253873941636229
,Glycine,intensity,ug/mL,0,0,1,50,0.999974998337315,4,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,0.458954626038231,0.693838896621839
,Histidine,intensity,ug/mL,0,0,5,75,0.994707019811677,5,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,0.622555776389919,-0.325451575333548
,Isoleucine,intensity,ug/mL,0,0,0,0,0,0,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,1,0
,Leucine,intensity,ug/mL,0,0,1,75,0.996099123023618,7,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,1.72058374856973,-4.8060323250016
,Lysine,intensity,ug/mL,0,0,1,75,0.992727444489177,6,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,1.02385946864572,-2.93678307691144
,Methionine,intensity,ug/mL,0,0,0,0,0,0,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,1,0
,Phenylalanine,intensity,ug/mL,0,0,0,0,0,0,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,1,0
,Serine,intensity,ug/mL,0,0,10,75,0.994650216518246,6,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,1.19917157361801,-2.64555472679933
,Threonine,intensity,ug/mL,0,0,5,75,0.987843986228944,7,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,0.639003782956135,-0.527396750772456
,Tryptophan,intensity,ug/mL,0,0,0,0,0,0,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,1,0
,Tyrosine,intensity,ug/mL,0,0,2.5,75,0.998573312148917,6,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,1.43986227910024,-4.0895581979336
,Valine,intensity,ug/mL,0,0,1,75,0.998127427661361,7,linear,ln(y),-1e+15,1e+15,ln(x),-1e+15,1e+15,FALSE,0.952126130794903,-1.5753529989698
