File Path	chrom://nnfcb-l0495/ChromeleonLocal/20180320_AA_Lars Nielsen samples Vienna_lbpet.seq/536.smp/Emission_2.channel/Emission_2.chm
Channel	Emission_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	20180320_Lars Nielsen samples Vienna_dx20_BA7
Injection Number	20
Position	BA7
Comment	
Processing Method	20171024_Calculated with IS_lbpet
Instrument Method	20161104_AA_GeminiC18_FinalVer7
Type	Unknown
Status	Finished
Injection Date	20-03-2018
Injection Time	21:55:55
Injection Volume (µl)	56.500
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.007833
Time Max. (min)	30.005500
Data Points	2861
Detector	FLD
Exporting Data System	Chromeleon 7.1.2.1478
Operator	
Signal Quantity	
Signal Unit	counts
Signal Min.	-33,790.000000
Signal Max.	230,069,753.000000
Channel	Emission_2
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.010
Max. Step (s)	0.820
Average Step (s)	0.629

Signal Parameter Information:
Signal Info	266 nm /305 nm

Raw Data:
Time (min)	Step (s)	Value (counts)
0.007833	0.000	0.000000
0.021500	0.820	0.000000
0.032167	0.640	0.000000
0.042833	0.640	-6,974.000000
0.053500	0.640	-16,393.000000
0.064167	0.640	-19,932.000000
0.074833	0.640	-13,806.000000
0.085500	0.640	-5,756.000000
0.096167	0.640	-4,426.000000
0.106833	0.640	-6,205.000000
0.117500	0.640	-5,073.000000
0.128167	0.640	-4,438.000000
0.138833	0.640	-6,020.000000
0.149500	0.640	-3,590.000000
0.160167	0.640	3,644.000000
0.170833	0.640	7,114.000000
0.181500	0.640	2,506.000000
0.192167	0.640	-4,638.000000
0.202833	0.640	-8,911.000000
0.213500	0.640	-10,638.000000
0.224167	0.640	-11,075.000000
0.234833	0.640	-10,134.000000
0.245500	0.640	-9,696.000000
0.256167	0.640	-12,371.000000
0.266833	0.640	-16,092.000000
0.277500	0.640	-16,002.000000
0.288167	0.640	-12,132.000000
0.298833	0.640	-9,526.000000
0.309500	0.640	-9,578.000000
0.320167	0.640	-9,444.000000
0.330833	0.640	-8,434.000000
0.341500	0.640	-6,593.000000
0.352167	0.640	-3,977.000000
0.362833	0.640	-4,182.000000
0.373500	0.640	-10,126.000000
0.384167	0.640	-16,178.000000
0.394833	0.640	-14,740.000000
0.405500	0.640	-11,008.000000
0.416167	0.640	-15,223.000000
0.426833	0.640	-23,382.000000
0.437500	0.640	-24,313.000000
0.448167	0.640	-19,522.000000
0.458833	0.640	-17,772.000000
0.469500	0.640	-19,115.000000
0.480167	0.640	-20,424.000000
0.490833	0.640	-20,000.000000
0.501500	0.640	-14,156.000000
0.512167	0.640	-6,730.000000
0.522833	0.640	-4,713.000000
0.533500	0.640	-4,342.000000
0.544167	0.640	-3,216.000000
0.554833	0.640	-6,618.000000
0.565500	0.640	-12,750.000000
0.576167	0.640	-15,727.000000
0.586833	0.640	-17,582.000000
0.597500	0.640	-20,841.000000
0.608167	0.640	-22,094.000000
0.618833	0.640	-18,841.000000
0.629500	0.640	-13,235.000000
0.640167	0.640	-8,350.000000
0.650833	0.640	-4,405.000000
0.661500	0.640	-1,570.000000
0.672167	0.640	-3,735.000000
0.682833	0.640	-11,503.000000
0.693500	0.640	-15,647.000000
0.704167	0.640	-10,797.000000
0.714833	0.640	-5,920.000000
0.725500	0.640	-8,297.000000
0.736167	0.640	-12,614.000000
0.746833	0.640	-12,487.000000
0.757500	0.640	-10,059.000000
0.768167	0.640	-11,275.000000
0.778833	0.640	-15,519.000000
0.789500	0.640	-15,501.000000
0.800167	0.640	-11,166.000000
0.810833	0.640	-10,375.000000
0.821500	0.640	-12,771.000000
0.832167	0.640	-12,813.000000
0.842833	0.640	-12,175.000000
0.853500	0.640	-12,692.000000
0.864167	0.640	-10,998.000000
0.874833	0.640	-7,377.000000
0.885500	0.640	-8,326.000000
0.896167	0.640	-16,051.000000
0.906833	0.640	-22,407.000000
0.917500	0.640	-21,025.000000
0.928167	0.640	-15,492.000000
0.938833	0.640	-10,439.000000
0.949500	0.640	-8,464.000000
0.960167	0.640	-11,032.000000
0.970833	0.640	-14,101.000000
0.981500	0.640	-11,846.000000
0.992167	0.640	-7,074.000000
1.002833	0.640	-8,131.000000
1.013500	0.640	-14,174.000000
1.024167	0.640	-16,506.000000
1.034833	0.640	-13,032.000000
1.045500	0.640	-9,549.000000
1.056167	0.640	-9,860.000000
1.066833	0.640	-12,392.000000
1.077500	0.640	-13,939.000000
1.088167	0.640	-13,252.000000
1.098833	0.640	-13,028.000000
1.109500	0.640	-15,555.000000
1.120167	0.640	-17,363.000000
1.130833	0.640	-15,110.000000
1.141500	0.640	-12,486.000000
1.152167	0.640	-14,015.000000
1.162833	0.640	-16,930.000000
1.173500	0.640	-16,210.000000
1.184167	0.640	-12,722.000000
1.194833	0.640	-10,094.000000
1.205500	0.640	-7,796.000000
1.216167	0.640	-5,025.000000
1.226833	0.640	-5,708.000000
1.237500	0.640	-9,947.000000
1.248167	0.640	-12,970.000000
1.258833	0.640	-14,116.000000
1.269500	0.640	-14,369.000000
1.280167	0.640	-13,651.000000
1.290833	0.640	-11,505.000000
1.301500	0.640	-7,153.000000
1.312167	0.640	-4,015.000000
1.322833	0.640	-5,883.000000
1.333500	0.640	-9,516.000000
1.344167	0.640	-11,289.000000
1.354833	0.640	-12,296.000000
1.365500	0.640	-12,890.000000
1.376167	0.640	-13,431.000000
1.386833	0.640	-15,838.000000
1.397500	0.640	-17,358.000000
1.408167	0.640	-14,687.000000
1.418833	0.640	-11,421.000000
1.429500	0.640	-8,521.000000
1.440167	0.640	-2,101.000000
1.450833	0.640	4,411.000000
1.461500	0.640	4,915.000000
1.472167	0.640	-6.000000
1.482833	0.640	-7,528.000000
1.493500	0.640	-12,867.000000
1.504167	0.640	-11,066.000000
1.514833	0.640	-6,041.000000
1.525500	0.640	-5,447.000000
1.536167	0.640	-9,528.000000
1.546833	0.640	-13,412.000000
1.557500	0.640	-14,320.000000
1.568167	0.640	-13,103.000000
1.578833	0.640	-11,623.000000
1.589500	0.640	-10,740.000000
1.600167	0.640	-9,366.000000
1.610833	0.640	-7,436.000000
1.621500	0.640	-9,610.000000
1.632167	0.640	-15,309.000000
1.642833	0.640	-13,183.000000
1.653500	0.640	-1,338.000000
1.664167	0.640	5,731.000000
1.674833	0.640	2,296.000000
1.685500	0.640	-2,186.000000
1.696167	0.640	-4,872.000000
1.706833	0.640	-10,380.000000
1.717500	0.640	-15,584.000000
1.728167	0.640	-15,632.000000
1.738833	0.640	-12,837.000000
1.749500	0.640	-10,140.000000
1.760167	0.640	-8,377.000000
1.770833	0.640	-8,144.000000
1.781500	0.640	-8,137.000000
1.792167	0.640	-6,703.000000
1.802833	0.640	-4,445.000000
1.813500	0.640	-2,886.000000
1.824167	0.640	-2,795.000000
1.834833	0.640	-4,432.000000
1.845500	0.640	-7,893.000000
1.856167	0.640	-11,183.000000
1.866833	0.640	-10,517.000000
1.877500	0.640	-4,830.000000
1.888167	0.640	696.000000
1.898833	0.640	-1,078.000000
1.909500	0.640	-8,074.000000
1.920167	0.640	-10,001.000000
1.930833	0.640	-4,013.000000
1.941500	0.640	1,765.000000
1.952167	0.640	1,239.000000
1.962833	0.640	-3,284.000000
1.973500	0.640	-5,837.000000
1.984167	0.640	-3,751.000000
1.994833	0.640	-193.000000
2.005500	0.640	1,484.000000
2.016167	0.640	483.000000
2.026833	0.640	-3,102.000000
2.037500	0.640	-7,258.000000
2.048167	0.640	-10,006.000000
2.058833	0.640	-10,886.000000
2.069500	0.640	-9,135.000000
2.080167	0.640	-6,097.000000
2.090833	0.640	-4,568.000000
2.101500	0.640	-5,010.000000
2.112167	0.640	-6,946.000000
2.122833	0.640	-8,478.000000
2.133500	0.640	-8,487.000000
2.144167	0.640	-9,809.000000
2.154833	0.640	-12,641.000000
2.165500	0.640	-13,651.000000
2.176167	0.640	-13,023.000000
2.186833	0.640	-12,383.000000
2.197500	0.640	-10,624.000000
2.208167	0.640	-8,825.000000
2.218833	0.640	-10,520.000000
2.229500	0.640	-14,086.000000
2.240167	0.640	-15,008.000000
2.250833	0.640	-12,846.000000
2.261500	0.640	-8,881.000000
2.272167	0.640	-1,977.000000
2.282833	0.640	6,776.000000
2.293500	0.640	10,074.000000
2.304167	0.640	4,924.000000
2.314833	0.640	-1,287.000000
2.325500	0.640	-3,274.000000
2.336167	0.640	-3,138.000000
2.346833	0.640	-2,116.000000
2.357500	0.640	278.000000
2.368167	0.640	2,618.000000
2.378833	0.640	3,635.000000
2.389500	0.640	3,753.000000
2.400167	0.640	2,171.000000
