File Path	chrom://nnfcb-l0495/ChromeleonLocal/20180320_AA_Lars Nielsen samples Vienna_lbpet.seq/668.smp/Emission_2.channel/Emission_2.chm
Channel	Emission_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	20180320_Lars Nielsen samples Vienna_dx20_BB10
Injection Number	35
Position	BB10
Comment	
Processing Method	20171024_Calculated with IS_lbpet
Instrument Method	20161104_AA_GeminiC18_FinalVer7
Type	Unknown
Status	Finished
Injection Date	21-03-2018
Injection Time	07:09:47
Injection Volume (µl)	56.500
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.007833
Time Max. (min)	30.005500
Data Points	2849
Detector	FLD
Exporting Data System	Chromeleon 7.1.2.1478
Operator	
Signal Quantity	
Signal Unit	counts
Signal Min.	-8,400.000000
Signal Max.	245,318,041.000000
Channel	Emission_2
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.010
Max. Step (s)	0.820
Average Step (s)	0.632

Signal Parameter Information:
Signal Info	266 nm /305 nm

Raw Data:
Time (min)	Step (s)	Value (counts)
0.007833	0.000	0.000000
0.021500	0.820	0.000000
0.032167	0.640	0.000000
0.042833	0.640	415.000000
0.053500	0.640	2,908.000000
0.064167	0.640	7,211.000000
0.074833	0.640	11,231.000000
0.085500	0.640	14,156.000000
0.096167	0.640	15,136.000000
0.106833	0.640	15,281.000000
0.117500	0.640	18,660.000000
0.128167	0.640	22,374.000000
0.138833	0.640	18,410.000000
0.149500	0.640	9,681.000000
0.160167	0.640	7,603.000000
0.170833	0.640	13,244.000000
0.181500	0.640	17,329.000000
0.192167	0.640	16,172.000000
0.202833	0.640	12,428.000000
0.213500	0.640	9,243.000000
0.224167	0.640	9,599.000000
0.234833	0.640	12,984.000000
0.245500	0.640	16,596.000000
0.256167	0.640	18,579.000000
0.266833	0.640	17,435.000000
0.277500	0.640	15,193.000000
0.288167	0.640	16,112.000000
0.298833	0.640	17,475.000000
0.309500	0.640	13,249.000000
0.320167	0.640	6,221.000000
0.330833	0.640	5,317.000000
0.341500	0.640	12,513.000000
0.352167	0.640	19,165.000000
0.362833	0.640	18,914.000000
0.373500	0.640	16,036.000000
0.384167	0.640	16,619.000000
0.394833	0.640	20,257.000000
0.405500	0.640	22,071.000000
0.416167	0.640	21,239.000000
0.426833	0.640	20,455.000000
0.437500	0.640	16,914.000000
0.448167	0.640	10,401.000000
0.458833	0.640	10,051.000000
0.469500	0.640	16,533.000000
0.480167	0.640	18,954.000000
0.490833	0.640	14,925.000000
0.501500	0.640	11,213.000000
0.512167	0.640	10,406.000000
0.522833	0.640	10,676.000000
0.533500	0.640	10,915.000000
0.544167	0.640	11,162.000000
0.554833	0.640	11,715.000000
0.565500	0.640	13,643.000000
0.576167	0.640	17,168.000000
0.586833	0.640	18,562.000000
0.597500	0.640	13,377.000000
0.608167	0.640	3,717.000000
0.618833	0.640	-1,639.000000
0.629500	0.640	1,569.000000
0.640167	0.640	6,608.000000
0.650833	0.640	8,355.000000
0.661500	0.640	11,503.000000
0.672167	0.640	17,667.000000
0.682833	0.640	20,072.000000
0.693500	0.640	17,062.000000
0.704167	0.640	13,827.000000
0.714833	0.640	10,943.000000
0.725500	0.640	6,679.000000
0.736167	0.640	4,391.000000
0.746833	0.640	7,184.000000
0.757500	0.640	12,191.000000
0.768167	0.640	14,772.000000
0.778833	0.640	13,870.000000
0.789500	0.640	12,109.000000
0.800167	0.640	11,855.000000
0.810833	0.640	11,812.000000
0.821500	0.640	11,380.000000
0.832167	0.640	14,490.000000
0.842833	0.640	20,226.000000
0.853500	0.640	20,466.000000
0.864167	0.640	15,012.000000
0.874833	0.640	11,708.000000
0.885500	0.640	12,060.000000
0.896167	0.640	11,970.000000
0.906833	0.640	10,584.000000
0.917500	0.640	12,416.000000
0.928167	0.640	20,179.000000
0.938833	0.640	26,669.000000
0.949500	0.640	23,873.000000
0.960167	0.640	15,106.000000
0.970833	0.640	8,150.000000
0.981500	0.640	7,133.000000
0.992167	0.640	10,597.000000
1.002833	0.640	11,673.000000
1.013500	0.640	10,498.000000
1.024167	0.640	15,263.000000
1.034833	0.640	23,196.000000
1.045500	0.640	23,594.000000
1.056167	0.640	17,630.000000
1.066833	0.640	14,924.000000
1.077500	0.640	17,273.000000
1.088167	0.640	18,060.000000
1.098833	0.640	14,373.000000
1.109500	0.640	12,057.000000
1.120167	0.640	14,382.000000
1.130833	0.640	14,523.000000
1.141500	0.640	9,372.000000
1.152167	0.640	6,663.000000
1.162833	0.640	11,056.000000
1.173500	0.640	17,710.000000
1.184167	0.640	20,451.000000
1.194833	0.640	18,395.000000
1.205500	0.640	14,928.000000
1.216167	0.640	14,065.000000
1.226833	0.640	15,247.000000
1.237500	0.640	12,403.000000
1.248167	0.640	6,052.000000
1.258833	0.640	3,885.000000
1.269500	0.640	6,041.000000
1.280167	0.640	7,891.000000
1.290833	0.640	9,157.000000
1.301500	0.640	10,076.000000
1.312167	0.640	9,786.000000
1.322833	0.640	9,167.000000
1.333500	0.640	8,825.000000
1.344167	0.640	7,338.000000
1.354833	0.640	4,531.000000
1.365500	0.640	3,850.000000
1.376167	0.640	7,793.000000
1.386833	0.640	12,278.000000
1.397500	0.640	11,297.000000
1.408167	0.640	6,856.000000
1.418833	0.640	6,397.000000
1.429500	0.640	11,216.000000
1.440167	0.640	15,401.000000
1.450833	0.640	14,175.000000
1.461500	0.640	10,094.000000
1.472167	0.640	9,729.000000
1.482833	0.640	12,518.000000
1.493500	0.640	12,046.000000
1.504167	0.640	9,216.000000
1.514833	0.640	9,195.000000
1.525500	0.640	9,766.000000
1.536167	0.640	8,471.000000
1.546833	0.640	10,003.000000
1.557500	0.640	14,455.000000
1.568167	0.640	14,890.000000
1.578833	0.640	10,874.000000
1.589500	0.640	7,353.000000
1.600167	0.640	4,730.000000
1.610883	0.643	3,620.000000
1.621500	0.637	7,681.000000
1.632167	0.640	13,465.000000
1.642833	0.640	12,731.000000
1.653500	0.640	5,930.000000
1.664167	0.640	730.000000
1.674833	0.640	2,385.000000
1.685500	0.640	9,551.000000
1.696167	0.640	16,336.000000
1.706833	0.640	19,011.000000
1.717500	0.640	16,657.000000
1.728167	0.640	10,701.000000
1.738833	0.640	6,657.000000
1.749500	0.640	7,667.000000
1.760167	0.640	10,328.000000
1.770833	0.640	11,599.000000
1.781500	0.640	14,972.000000
1.792167	0.640	22,420.000000
1.802833	0.640	25,762.000000
1.813500	0.640	20,477.000000
1.824167	0.640	16,011.000000
1.834833	0.640	18,684.000000
1.845500	0.640	23,225.000000
1.856167	0.640	25,930.000000
1.866833	0.640	26,115.000000
1.877500	0.640	21,129.000000
1.888167	0.640	14,176.000000
1.898833	0.640	12,731.000000
1.909500	0.640	16,645.000000
1.920167	0.640	20,971.000000
1.930833	0.640	21,908.000000
1.941500	0.640	18,362.000000
1.952167	0.640	15,594.000000
1.962833	0.640	17,055.000000
1.973500	0.640	19,283.000000
1.984167	0.640	22,030.000000
1.994833	0.640	25,300.000000
2.005500	0.640	23,874.000000
2.016167	0.640	18,025.000000
2.026833	0.640	14,214.000000
2.037500	0.640	14,168.000000
2.048167	0.640	15,281.000000
2.058833	0.640	16,240.000000
2.069500	0.640	16,424.000000
2.080167	0.640	15,121.000000
2.090833	0.640	13,283.000000
2.101500	0.640	13,092.000000
2.112167	0.640	14,800.000000
2.122833	0.640	15,225.000000
2.133500	0.640	11,716.000000
2.144167	0.640	6,831.000000
2.154833	0.640	4,330.000000
2.165500	0.640	5,047.000000
2.176167	0.640	9,583.000000
2.186833	0.640	15,214.000000
2.197500	0.640	16,449.000000
2.208167	0.640	14,319.000000
2.218833	0.640	13,636.000000
2.229500	0.640	14,750.000000
2.240167	0.640	15,526.000000
2.250833	0.640	16,234.000000
2.261500	0.640	18,688.000000
2.272167	0.640	22,524.000000
2.282833	0.640	26,760.000000
2.293500	0.640	31,092.000000
2.304167	0.640	32,010.000000
2.314833	0.640	26,972.000000
2.325500	0.640	21,605.000000
2.336167	0.640	21,772.000000
2.346833	0.640	23,832.000000
2.357500	0.640	23,586.000000
2.368167	0.640	22,472.000000
2.378833	0.640	19,601.000000
2.389500	0.640	15,166.000000
2.400167	0.640	12,973.000000
2.410833	0.640	13,204.000000
2.421500	0.640	14,986.000000
2.432167	0.640	16,611.000000
2.442833	0.640	15,590.000000
2.453500	0.640	15,421.000000
2.464167	0.640	18,412.000000
2.474833	0.640	20,451.000000
2.485500	0.640	21,541.000000
2.496167	0.640	23,049.000000
2.506833	0.640	21,543.000000
2.517500	0.640	18,952.000000
2.528167	0.640	19,476.000000
