File Path	chrom://nnfcb-l0495/ChromeleonLocal/20180320_AA_Lars Nielsen samples Vienna_lbpet.seq/922.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	AAmix_10ug_mL_1
Injection Number	9
Position	RB8
Comment	
Processing Method	20171024_Calculated with IS_lbpet
Instrument Method	20161104_AA_GeminiC18_FinalVer7
Type	Calibration Standard
Status	Finished
Injection Date	20-03-2018
Injection Time	15:09:54
Injection Volume (µl)	56.500
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.003950
Time Max. (min)	30.001617
Data Points	2813
Detector	FLD
Exporting Data System	Chromeleon 7.1.2.1478
Operator	
Signal Quantity	
Signal Unit	counts
Signal Min.	-4.000000
Signal Max.	72,424,186.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.640
Max. Step (s)	0.820
Average Step (s)	0.640

Signal Parameter Information:
Signal Info	340 nm /450 nm

Raw Data:
Time (min)	Step (s)	Value (counts)
0.003950	0.000	0.000000
0.017617	0.820	0.000000
0.028283	0.640	0.000000
0.038950	0.640	744.000000
0.049617	0.640	1,725.000000
0.060283	0.640	2,133.000000
0.070950	0.640	2,096.000000
0.081617	0.640	2,207.000000
0.092283	0.640	2,479.000000
0.102950	0.640	3,342.000000
0.113617	0.640	4,712.000000
0.124283	0.640	4,904.000000
0.134950	0.640	3,637.000000
0.145617	0.640	2,666.000000
0.156283	0.640	2,872.000000
0.166950	0.640	3,855.000000
0.177617	0.640	4,751.000000
0.188283	0.640	5,207.000000
0.198950	0.640	5,804.000000
0.209617	0.640	5,996.000000
0.220283	0.640	4,708.000000
0.230950	0.640	3,177.000000
0.241617	0.640	3,118.000000
0.252283	0.640	3,878.000000
0.262950	0.640	3,913.000000
0.273617	0.640	2,914.000000
0.284283	0.640	1,994.000000
0.294950	0.640	2,649.000000
0.305617	0.640	4,338.000000
0.316283	0.640	4,816.000000
0.326950	0.640	3,613.000000
0.337617	0.640	2,124.000000
0.348283	0.640	1,654.000000
0.358950	0.640	2,819.000000
0.369617	0.640	4,294.000000
0.380283	0.640	3,864.000000
0.390950	0.640	2,320.000000
0.401617	0.640	2,245.000000
0.412283	0.640	3,473.000000
0.422950	0.640	3,810.000000
0.433617	0.640	2,647.000000
0.444283	0.640	1,794.000000
0.454950	0.640	2,903.000000
0.465617	0.640	4,675.000000
0.476283	0.640	4,731.000000
0.486950	0.640	3,383.000000
0.497617	0.640	3,214.000000
0.508283	0.640	5,025.000000
0.518950	0.640	6,143.000000
0.529617	0.640	4,947.000000
0.540283	0.640	3,573.000000
0.550950	0.640	3,949.000000
0.561617	0.640	5,264.000000
0.572283	0.640	5,601.000000
0.582950	0.640	4,313.000000
0.593617	0.640	2,770.000000
0.604283	0.640	2,372.000000
0.614950	0.640	2,700.000000
0.625617	0.640	2,651.000000
0.636283	0.640	2,474.000000
0.646950	0.640	2,930.000000
0.657617	0.640	3,386.000000
0.668283	0.640	3,247.000000
0.678950	0.640	3,381.000000
0.689617	0.640	3,696.000000
0.700283	0.640	3,053.000000
0.710950	0.640	2,345.000000
0.721617	0.640	2,547.000000
0.732283	0.640	2,610.000000
0.742950	0.640	2,450.000000
0.753617	0.640	2,910.000000
0.764283	0.640	3,599.000000
0.774950	0.640	4,027.000000
0.785617	0.640	4,181.000000
0.796283	0.640	4,105.000000
0.806950	0.640	4,187.000000
0.817617	0.640	4,075.000000
0.828283	0.640	3,441.000000
0.838950	0.640	3,483.000000
0.849617	0.640	3,908.000000
0.860283	0.640	3,122.000000
0.870950	0.640	1,754.000000
0.881617	0.640	985.000000
0.892283	0.640	1,215.000000
0.902950	0.640	2,636.000000
0.913617	0.640	4,063.000000
0.924283	0.640	4,115.000000
0.934950	0.640	2,971.000000
0.945617	0.640	1,927.000000
0.956283	0.640	2,766.000000
0.966950	0.640	4,981.000000
0.977617	0.640	5,320.000000
0.988283	0.640	3,380.000000
0.998950	0.640	2,556.000000
1.009617	0.640	4,020.000000
1.020283	0.640	5,452.000000
1.030950	0.640	5,439.000000
1.041617	0.640	4,745.000000
1.052283	0.640	4,181.000000
1.062950	0.640	3,649.000000
1.073617	0.640	2,833.000000
1.084283	0.640	2,164.000000
1.094950	0.640	2,384.000000
1.105617	0.640	3,129.000000
1.116283	0.640	3,551.000000
1.126950	0.640	3,837.000000
1.137617	0.640	4,099.000000
1.148283	0.640	3,324.000000
1.158950	0.640	1,596.000000
1.169617	0.640	969.000000
1.180283	0.640	2,140.000000
1.190950	0.640	3,056.000000
1.201617	0.640	2,538.000000
1.212283	0.640	2,262.000000
1.222950	0.640	3,212.000000
1.233617	0.640	3,836.000000
1.244283	0.640	3,464.000000
1.254950	0.640	3,069.000000
1.265617	0.640	2,944.000000
1.276283	0.640	2,913.000000
1.286950	0.640	3,195.000000
1.297617	0.640	4,118.000000
1.308283	0.640	5,104.000000
1.318950	0.640	4,931.000000
1.329617	0.640	3,861.000000
1.340283	0.640	3,469.000000
1.350950	0.640	4,589.000000
1.361617	0.640	5,952.000000
1.372283	0.640	5,415.000000
1.382950	0.640	3,381.000000
1.393617	0.640	1,951.000000
1.404283	0.640	1,644.000000
1.414950	0.640	1,941.000000
1.425617	0.640	2,614.000000
1.436283	0.640	3,503.000000
1.446950	0.640	4,209.000000
1.457617	0.640	4,050.000000
1.468283	0.640	3,193.000000
1.478950	0.640	3,010.000000
1.489617	0.640	3,979.000000
1.500283	0.640	5,131.000000
1.510950	0.640	5,679.000000
1.521617	0.640	5,122.000000
1.532283	0.640	3,413.000000
1.542950	0.640	2,057.000000
1.553617	0.640	2,483.000000
1.564283	0.640	3,839.000000
1.574950	0.640	4,557.000000
1.585617	0.640	4,594.000000
1.596283	0.640	4,471.000000
1.606950	0.640	4,045.000000
1.617617	0.640	3,507.000000
1.628283	0.640	3,522.000000
1.638950	0.640	3,701.000000
1.649617	0.640	3,449.000000
1.660283	0.640	3,827.000000
1.670950	0.640	5,263.000000
1.681617	0.640	6,254.000000
1.692283	0.640	6,277.000000
1.702950	0.640	5,926.000000
1.713617	0.640	5,226.000000
1.724283	0.640	4,522.000000
1.734950	0.640	4,572.000000
1.745617	0.640	5,014.000000
1.756283	0.640	4,918.000000
1.766950	0.640	4,572.000000
1.777617	0.640	4,384.000000
1.788283	0.640	3,709.000000
1.798950	0.640	2,957.000000
1.809617	0.640	3,369.000000
1.820283	0.640	4,259.000000
1.830950	0.640	4,390.000000
1.841617	0.640	4,698.000000
1.852283	0.640	6,203.000000
1.862950	0.640	7,032.000000
1.873617	0.640	5,292.000000
1.884283	0.640	3,382.000000
1.894950	0.640	4,508.000000
1.905617	0.640	6,892.000000
1.916283	0.640	6,867.000000
1.926950	0.640	4,794.000000
1.937617	0.640	3,435.000000
1.948283	0.640	3,469.000000
1.958950	0.640	4,179.000000
1.969617	0.640	5,364.000000
1.980283	0.640	6,179.000000
1.990950	0.640	5,762.000000
2.001617	0.640	4,663.000000
2.012283	0.640	3,542.000000
2.022950	0.640	3,054.000000
2.033617	0.640	3,621.000000
2.044283	0.640	4,143.000000
2.054950	0.640	4,173.000000
2.065617	0.640	4,542.000000
2.076283	0.640	4,623.000000
2.086950	0.640	3,416.000000
2.097617	0.640	1,918.000000
2.108283	0.640	1,951.000000
2.118950	0.640	3,831.000000
2.129617	0.640	5,570.000000
2.140283	0.640	4,977.000000
2.150950	0.640	2,954.000000
2.161617	0.640	2,488.000000
2.172283	0.640	4,107.000000
2.182950	0.640	5,523.000000
2.193617	0.640	5,314.000000
2.204283	0.640	4,527.000000
2.214950	0.640	4,766.000000
2.225617	0.640	5,779.000000
2.236283	0.640	6,190.000000
2.246950	0.640	5,808.000000
2.257617	0.640	5,788.000000
2.268283	0.640	6,425.000000
2.278950	0.640	6,245.000000
2.289617	0.640	4,627.000000
2.300283	0.640	3,010.000000
2.310950	0.640	2,537.000000
2.321617	0.640	2,573.000000
2.332283	0.640	2,251.000000
2.342950	0.640	2,204.000000
2.353617	0.640	3,275.000000
2.364283	0.640	4,230.000000
2.374950	0.640	3,473.000000
2.385617	0.640	2,250.000000
2.396283	0.640	2,537.000000
2.406950	0.640	3,770.000000
2.417617	0.640	4,498.000000
2.428283	0.640	4,613.000000
2.438950	0.640	4,605.000000
2.449617	0.640	4,262.000000
2.460283	0.640	3,340.000000
2.470950	0.640	2,592.000000
2.481617	0.640	2,664.000000
2.492283	0.640	3,332.000000
