File Path	chrom://nnfcb-l0495/ChromeleonLocal/20180320_AA_Lars Nielsen samples Vienna_lbpet.seq/729.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	AAmix_25ug_mL_2
Injection Number	52
Position	RC1
Comment	
Processing Method	20171024_Calculated with IS_lbpet
Instrument Method	20161104_AA_GeminiC18_FinalVer7
Type	Calibration Standard
Status	Finished
Injection Date	21-03-2018
Injection Time	17:38:08
Injection Volume (µl)	56.500
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.003883
Time Max. (min)	30.001550
Data Points	2813
Detector	FLD
Exporting Data System	Chromeleon 7.1.2.1478
Operator	
Signal Quantity	
Signal Unit	counts
Signal Min.	-2,560.000000
Signal Max.	71,531,702.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.640
Max. Step (s)	0.820
Average Step (s)	0.640

Signal Parameter Information:
Signal Info	340 nm /450 nm

Raw Data:
Time (min)	Step (s)	Value (counts)
0.003883	0.000	0.000000
0.017550	0.820	0.000000
0.028217	0.640	0.000000
0.038883	0.640	-434.000000
0.049550	0.640	-1,364.000000
0.060217	0.640	-2,092.000000
0.070883	0.640	-2,078.000000
0.081550	0.640	-1,198.000000
0.092217	0.640	-306.000000
0.102883	0.640	-889.000000
0.113550	0.640	-2,270.000000
0.124217	0.640	-2,318.000000
0.134883	0.640	-1,152.000000
0.145550	0.640	-379.000000
0.156217	0.640	-203.000000
0.166883	0.640	-495.000000
0.177550	0.640	-1,562.000000
0.188217	0.640	-2,439.000000
0.198883	0.640	-2,131.000000
0.209550	0.640	-1,417.000000
0.220217	0.640	-1,311.000000
0.230883	0.640	-1,397.000000
0.241550	0.640	-463.000000
0.252217	0.640	1,232.000000
0.262883	0.640	1,923.000000
0.273550	0.640	1,161.000000
0.284217	0.640	527.000000
0.294883	0.640	1,174.000000
0.305550	0.640	2,438.000000
0.316217	0.640	3,342.000000
0.326883	0.640	3,193.000000
0.337550	0.640	1,380.000000
0.348217	0.640	-683.000000
0.358883	0.640	-609.000000
0.369550	0.640	1,155.000000
0.380217	0.640	2,641.000000
0.390883	0.640	2,952.000000
0.401550	0.640	2,171.000000
0.412217	0.640	1,633.000000
0.422883	0.640	1,963.000000
0.433550	0.640	1,347.000000
0.444217	0.640	-854.000000
0.454883	0.640	-2,390.000000
0.465550	0.640	-2,108.000000
0.476217	0.640	-1,404.000000
0.486883	0.640	-994.000000
0.497550	0.640	-370.000000
0.508217	0.640	-222.000000
0.518883	0.640	-1,136.000000
0.529550	0.640	-1,612.000000
0.540217	0.640	-1,144.000000
0.550883	0.640	-1,349.000000
0.561550	0.640	-2,069.000000
0.572217	0.640	-1,589.000000
0.582883	0.640	-328.000000
0.593550	0.640	367.000000
0.604217	0.640	528.000000
0.614883	0.640	561.000000
0.625550	0.640	747.000000
0.636217	0.640	984.000000
0.646883	0.640	266.000000
0.657550	0.640	-1,379.000000
0.668217	0.640	-2,193.000000
0.678883	0.640	-1,460.000000
0.689550	0.640	-87.000000
0.700217	0.640	794.000000
0.710883	0.640	425.000000
0.721550	0.640	-499.000000
0.732217	0.640	-704.000000
0.742883	0.640	-579.000000
0.753550	0.640	-432.000000
0.764217	0.640	733.000000
0.774883	0.640	2,339.000000
0.785550	0.640	2,539.000000
0.796217	0.640	1,144.000000
0.806883	0.640	-291.000000
0.817550	0.640	-179.000000
0.828217	0.640	1,042.000000
0.838883	0.640	1,500.000000
0.849550	0.640	972.000000
0.860217	0.640	467.000000
0.870883	0.640	392.000000
0.881550	0.640	862.000000
0.892217	0.640	1,247.000000
0.902883	0.640	790.000000
0.913550	0.640	337.000000
0.924217	0.640	773.000000
0.934883	0.640	984.000000
0.945550	0.640	-245.000000
0.956217	0.640	-1,876.000000
0.966883	0.640	-2,314.000000
0.977550	0.640	-1,922.000000
0.988217	0.640	-1,719.000000
0.998883	0.640	-1,368.000000
1.009550	0.640	-258.000000
1.020217	0.640	1,502.000000
1.030883	0.640	2,979.000000
1.041550	0.640	2,501.000000
1.052217	0.640	502.000000
1.062883	0.640	-456.000000
1.073550	0.640	-246.000000
1.084217	0.640	-120.000000
1.094883	0.640	230.000000
1.105550	0.640	397.000000
1.116217	0.640	-440.000000
1.126883	0.640	-1,175.000000
1.137550	0.640	-985.000000
1.148217	0.640	-709.000000
1.158883	0.640	-422.000000
1.169550	0.640	496.000000
1.180217	0.640	1,038.000000
1.190883	0.640	125.000000
1.201550	0.640	-936.000000
1.212217	0.640	-904.000000
1.222883	0.640	-766.000000
1.233550	0.640	-1,268.000000
1.244217	0.640	-1,828.000000
1.254883	0.640	-2,041.000000
1.265550	0.640	-1,327.000000
1.276217	0.640	844.000000
1.286883	0.640	2,998.000000
1.297550	0.640	3,228.000000
1.308217	0.640	1,934.000000
1.318883	0.640	325.000000
1.329550	0.640	-973.000000
1.340217	0.640	-1,730.000000
1.350883	0.640	-2,247.000000
1.361550	0.640	-2,342.000000
1.372217	0.640	-1,390.000000
1.382883	0.640	323.000000
1.393550	0.640	1,584.000000
1.404217	0.640	1,509.000000
1.414883	0.640	852.000000
1.425550	0.640	939.000000
1.436217	0.640	1,759.000000
1.446883	0.640	2,232.000000
1.457550	0.640	1,530.000000
1.468217	0.640	199.000000
1.478883	0.640	-378.000000
1.489550	0.640	199.000000
1.500217	0.640	1,132.000000
1.510883	0.640	1,704.000000
1.521550	0.640	1,818.000000
1.532217	0.640	1,512.000000
1.542883	0.640	1,159.000000
1.553550	0.640	1,183.000000
1.564217	0.640	1,365.000000
1.574883	0.640	1,749.000000
1.585550	0.640	2,509.000000
1.596217	0.640	3,222.000000
1.606883	0.640	3,441.000000
1.617550	0.640	2,861.000000
1.628217	0.640	1,724.000000
1.638883	0.640	796.000000
1.649550	0.640	358.000000
1.660217	0.640	399.000000
1.670883	0.640	878.000000
1.681550	0.640	1,422.000000
1.692217	0.640	1,747.000000
1.702883	0.640	1,710.000000
1.713550	0.640	1,238.000000
1.724217	0.640	908.000000
1.734883	0.640	1,306.000000
1.745550	0.640	2,230.000000
1.756217	0.640	2,914.000000
1.766883	0.640	2,506.000000
1.777550	0.640	1,528.000000
1.788217	0.640	1,454.000000
1.798883	0.640	1,871.000000
1.809550	0.640	1,319.000000
1.820217	0.640	651.000000
1.830883	0.640	1,324.000000
1.841550	0.640	1,780.000000
1.852217	0.640	698.000000
1.862883	0.640	155.000000
1.873550	0.640	1,324.000000
1.884217	0.640	2,426.000000
1.894883	0.640	2,254.000000
1.905550	0.640	1,590.000000
1.916217	0.640	978.000000
1.926883	0.640	-333.000000
1.937550	0.640	-1,585.000000
1.948217	0.640	-682.000000
1.958883	0.640	1,415.000000
1.969550	0.640	2,268.000000
1.980217	0.640	1,503.000000
1.990883	0.640	-584.000000
2.001550	0.640	-2,560.000000
2.012217	0.640	-1,935.000000
2.022883	0.640	616.000000
2.033550	0.640	2,062.000000
2.044217	0.640	1,532.000000
2.054883	0.640	269.000000
2.065550	0.640	-108.000000
2.076217	0.640	754.000000
2.086883	0.640	1,007.000000
2.097550	0.640	-52.000000
2.108217	0.640	-493.000000
2.118883	0.640	143.000000
2.129550	0.640	291.000000
2.140217	0.640	54.000000
2.150883	0.640	730.000000
2.161550	0.640	1,975.000000
2.172217	0.640	2,609.000000
2.182883	0.640	2,707.000000
2.193550	0.640	3,123.000000
2.204217	0.640	4,110.000000
2.214883	0.640	5,620.000000
2.225550	0.640	7,344.000000
2.236217	0.640	8,120.000000
2.246883	0.640	7,635.000000
2.257550	0.640	7,124.000000
2.268217	0.640	7,070.000000
2.278883	0.640	6,821.000000
2.289550	0.640	6,157.000000
2.300217	0.640	5,476.000000
2.310883	0.640	4,861.000000
2.321550	0.640	3,773.000000
2.332217	0.640	2,492.000000
2.342883	0.640	2,393.000000
2.353550	0.640	3,120.000000
2.364217	0.640	3,220.000000
2.374883	0.640	3,452.000000
2.385550	0.640	4,548.000000
2.396217	0.640	4,891.000000
2.406883	0.640	3,728.000000
2.417550	0.640	2,723.000000
2.428217	0.640	3,172.000000
2.438883	0.640	4,424.000000
2.449550	0.640	5,249.000000
2.460217	0.640	5,115.000000
2.470883	0.640	4,140.000000
2.481550	0.640	2,992.000000
2.492217	0.640	2,490.000000
2.502883	0.640	2,317.000000
2.513550	0.640	1,275.000000
2.524217	0.640	-678.000000
2.534883	0.640	-1,842.000000
2.545550	0.640	-1,041.000000
2.556217	0.640	491.000000
2.566883	0.640	1,240.000000
2.577550	0.640	1,474.000000
2.588217	0.640	1,805.000000
2.598883	0.640	2,261.000000
2.609550	0.640	2,230.000000
2.620217	0.640	854.000000
2.630883	0.640	-870.000000
2.641550	0.640	-740.000000
2.652217	0.640	829.000000
2.662883	0.640	1,151.000000
2.673550	0.640	-459.000000
2.684217	0.640	-2,021.000000
2.694883	0.640	-1,985.000000
2.705550	0.640	424.000000
2.716217	0.640	6,045.000000
2.726883	0.640	13,294.000000
2.737550	0.640	18,187.000000
2.748217	0.640	18,724.000000
2.758883	0.640	16,340.000000
2.769550	0.640	13,238.000000
2.780217	0.640	10,440.000000
2.790883	0.640	8,482.000000
2.801550	0.640	7,588.000000
2.812217	0.640	6,943.000000
2.822883	0.640	5,681.000000
2.833550	0.640	4,078.000000
2.844217	0.640	2,965.000000
2.854883	0.640	2,627.000000
2.865550	0.640	2,895.000000
2.876217	0.640	3,297.000000
2.886883	0.640	2,605.000000
2.897550	0.640	672.000000
2.908217	0.640	-191.000000
2.918883	0.640	1,390.000000
2.929550	0.640	3,786.000000
2.940217	0.640	4,768.000000
2.950883	0.640	3,951.000000
2.961550	0.640	3,541.000000
2.972217	0.640	6,011.000000
2.982883	0.640	11,241.000000
2.993550	0.640	18,329.000000
3.004217	0.640	29,514.000000
3.014883	0.640	50,526.000000
3.025550	0.640	87,900.000000
3.036217	0.640	150,162.000000
3.046883	0.640	254,762.000000
3.057550	0.640	440,275.000000
3.068217	0.640	789,990.000000
3.078883	0.640	1,461,615.000000
3.089550	0.640	2,702,765.000000
3.100217	0.640	4,812,942.000000
3.110883	0.640	7,980,542.000000
3.121550	0.640	12,002,480.000000
3.132217	0.640	16,127,289.000000
3.142883	0.640	19,292,537.000000
3.153550	0.640	20,666,507.000000
3.164217	0.640	20,112,859.000000
3.174883	0.640	18,237,459.000000
3.185550	0.640	15,951,989.000000
3.196217	0.640	13,930,384.000000
3.206883	0.640	12,427,017.000000
3.217550	0.640	11,431,340.000000
3.228217	0.640	10,825,918.000000
3.238883	0.640	10,454,062.000000
3.249550	0.640	10,173,149.000000
3.260217	0.640	9,867,926.000000
3.270883	0.640	9,435,924.000000
3.281550	0.640	8,811,530.000000
3.292217	0.640	7,975,740.000000
3.302883	0.640	6,943,238.000000
3.313550	0.640	5,779,429.000000
3.324217	0.640	4,589,569.000000
3.334883	0.640	3,474,635.000000
3.345550	0.640	2,513,358.000000
3.356217	0.640	1,749,062.000000
3.366883	0.640	1,181,099.000000
3.377550	0.640	782,077.000000
3.388217	0.640	514,019.000000
3.398883	0.640	337,010.000000
3.409550	0.640	220,322.000000
3.420217	0.640	144,905.000000
3.430883	0.640	97,128.000000
3.441550	0.640	66,421.000000
3.452217	0.640	46,437.000000
3.462883	0.640	33,670.000000
3.473550	0.640	25,118.000000
3.484217	0.640	18,722.000000
3.494883	0.640	14,189.000000
3.505550	0.640	11,232.000000
3.516217	0.640	8,654.000000
3.526883	0.640	6,147.000000
3.537550	0.640	4,896.000000
3.548217	0.640	5,332.000000
3.558883	0.640	6,354.000000
3.569550	0.640	7,075.000000
3.580217	0.640	7,165.000000
3.590883	0.640	6,514.000000
3.601550	0.640	5,729.000000
3.612217	0.640	5,594.000000
3.622883	0.640	5,876.000000
3.633550	0.640	5,211.000000
3.644217	0.640	3,197.000000
3.654883	0.640	2,153.000000
3.665550	0.640	3,746.000000
3.676217	0.640	5,540.000000
3.686883	0.640	4,996.000000
3.697550	0.640	3,506.000000
3.708217	0.640	3,079.000000
3.718883	0.640	3,060.000000
3.729550	0.640	2,620.000000
3.740217	0.640	3,150.000000
3.750883	0.640	5,317.000000
3.761550	0.640	6,825.000000
3.772217	0.640	6,283.000000
3.782883	0.640	5,219.000000
3.793550	0.640	5,126.000000
3.804217	0.640	6,609.000000
3.814883	0.640	9,726.000000
3.825550	0.640	13,330.000000
3.836217	0.640	15,953.000000
3.846883	0.640	17,310.000000
3.857550	0.640	18,033.000000
3.868217	0.640	17,932.000000
3.878883	0.640	16,514.000000
3.889550	0.640	15,247.000000
3.900217	0.640	15,739.000000
3.910883	0.640	16,663.000000
3.921550	0.640	16,224.000000
3.932217	0.640	14,962.000000
3.942883	0.640	13,810.000000
3.953550	0.640	12,630.000000
3.964217	0.640	10,747.000000
3.974883	0.640	7,632.000000
3.985550	0.640	4,296.000000
3.996217	0.640	2,632.000000
4.006883	0.640	2,687.000000
4.017550	0.640	2,956.000000
4.028217	0.640	3,020.000000
4.038883	0.640	3,510.000000
4.049550	0.640	3,840.000000
4.060217	0.640	3,298.000000
4.070883	0.640	3,102.000000
4.081550	0.640	3,934.000000
4.092217	0.640	4,715.000000
4.102883	0.640	5,336.000000
4.113550	0.640	6,485.000000
4.124217	0.640	7,426.000000
4.134883	0.640	7,397.000000
4.145550	0.640	6,975.000000
4.156217	0.640	6,027.000000
4.166883	0.640	4,084.000000
4.177550	0.640	2,880.000000
4.188217	0.640	3,893.000000
4.198883	0.640	5,658.000000
4.209550	0.640	6,821.000000
4.220217	0.640	7,571.000000
4.230883	0.640	7,719.000000
4.241550	0.640	6,758.000000
4.252217	0.640	4,954.000000
4.262883	0.640	3,602.000000
4.273550	0.640	3,557.000000
4.284217	0.640	3,934.000000
4.294883	0.640	3,896.000000
4.305550	0.640	4,002.000000
4.316217	0.640	5,094.000000
4.326883	0.640	7,183.000000
4.337550	0.640	9,077.000000
4.348217	0.640	9,561.000000
4.358883	0.640	9,459.000000
4.369550	0.640	10,140.000000
4.380217	0.640	10,437.000000
4.390883	0.640	8,811.000000
4.401550	0.640	6,989.000000
4.412217	0.640	7,240.000000
4.422883	0.640	8,212.000000
4.433550	0.640	7,705.000000
4.444217	0.640	6,613.000000
4.454883	0.640	6,295.000000
4.465550	0.640	6,093.000000
4.476217	0.640	5,689.000000
4.486883	0.640	5,718.000000
4.497550	0.640	5,441.000000
4.508217	0.640	3,809.000000
4.518883	0.640	2,562.000000
4.529550	0.640	3,961.000000
4.540217	0.640	6,993.000000
4.550883	0.640	9,779.000000
4.561550	0.640	12,862.000000
4.572217	0.640	18,048.000000
4.582883	0.640	27,980.000000
4.593550	0.640	47,955.000000
4.604217	0.640	85,069.000000
4.614883	0.640	149,026.000000
4.625550	0.640	257,688.000000
4.636217	0.640	439,064.000000
4.646883	0.640	737,758.000000
4.657550	0.640	1,234,892.000000
4.668217	0.640	2,080,438.000000
4.678883	0.640	3,587,387.000000
4.689550	0.640	6,398,743.000000
4.700217	0.640	11,474,893.000000
4.710883	0.640	19,470,485.000000
4.721550	0.640	29,517,986.000000
4.732217	0.640	38,518,451.000000
4.742883	0.640	42,402,748.000000
4.753550	0.640	39,029,047.000000
4.764217	0.640	30,036,265.000000
4.774883	0.640	19,584,590.000000
4.785550	0.640	11,266,983.000000
4.796217	0.640	6,223,502.000000
4.806883	0.640	3,644,924.000000
4.817550	0.640	2,311,542.000000
4.828217	0.640	1,499,740.000000
4.838883	0.640	959,043.000000
4.849550	0.640	606,698.000000
4.860217	0.640	382,943.000000
4.870883	0.640	240,316.000000
4.881550	0.640	150,655.000000
4.892217	0.640	97,449.000000
4.902883	0.640	67,190.000000
4.913550	0.640	49,520.000000
4.924217	0.640	38,028.000000
4.934883	0.640	29,838.000000
4.945550	0.640	24,399.000000
4.956217	0.640	21,140.000000
4.966883	0.640	19,155.000000
4.977550	0.640	17,527.000000
4.988217	0.640	15,240.000000
4.998883	0.640	12,633.000000
5.009550	0.640	11,489.000000
5.020217	0.640	11,754.000000
5.030883	0.640	11,694.000000
5.041550	0.640	11,604.000000
5.052217	0.640	12,286.000000
5.062883	0.640	11,765.000000
5.073550	0.640	8,870.000000
5.084217	0.640	6,596.000000
5.094883	0.640	7,290.000000
5.105550	0.640	8,861.000000
5.116217	0.640	8,687.000000
5.126883	0.640	7,114.000000
5.137550	0.640	6,002.000000
5.148217	0.640	6,409.000000
5.158883	0.640	7,445.000000
5.169550	0.640	7,482.000000
5.180217	0.640	6,356.000000
5.190883	0.640	5,141.000000
5.201550	0.640	4,664.000000
5.212217	0.640	4,780.000000
5.222883	0.640	5,202.000000
5.233550	0.640	6,140.000000
5.244217	0.640	6,968.000000
5.254883	0.640	6,872.000000
5.265550	0.640	6,757.000000
5.276217	0.640	7,468.000000
5.286883	0.640	8,007.000000
5.297550	0.640	7,232.000000
5.308217	0.640	5,527.000000
5.318883	0.640	4,288.000000
5.329550	0.640	4,044.000000
5.340217	0.640	3,993.000000
5.350883	0.640	3,972.000000
5.361550	0.640	4,637.000000
5.372217	0.640	5,209.000000
5.382883	0.640	4,752.000000
5.393550	0.640	4,621.000000
5.404217	0.640	5,577.000000
5.414883	0.640	6,104.000000
5.425550	0.640	5,760.000000
5.436217	0.640	6,096.000000
5.446883	0.640	7,949.000000
5.457550	0.640	10,005.000000
5.468217	0.640	10,486.000000
5.478883	0.640	9,229.000000
5.489550	0.640	7,725.000000
5.500217	0.640	7,779.000000
5.510883	0.640	10,060.000000
5.521550	0.640	14,290.000000
5.532217	0.640	20,589.000000
5.542883	0.640	30,054.000000
5.553550	0.640	43,505.000000
5.564217	0.640	59,335.000000
5.574883	0.640	74,806.000000
5.585550	0.640	87,870.000000
5.596217	0.640	95,542.000000
5.606883	0.640	94,833.000000
5.617550	0.640	86,430.000000
5.628217	0.640	73,918.000000
5.638883	0.640	60,300.000000
5.649550	0.640	48,050.000000
5.660217	0.640	38,898.000000
5.670883	0.640	31,571.000000
5.681550	0.640	24,294.000000
5.692217	0.640	17,872.000000
5.702883	0.640	13,456.000000
5.713550	0.640	10,600.000000
5.724217	0.640	8,486.000000
5.734883	0.640	7,420.000000
5.745550	0.640	7,817.000000
5.756217	0.640	8,931.000000
5.766883	0.640	9,356.000000
5.777550	0.640	8,137.000000
5.788217	0.640	6,369.000000
5.798883	0.640	5,721.000000
5.809550	0.640	5,653.000000
5.820217	0.640	5,217.000000
5.830883	0.640	4,826.000000
5.841550	0.640	4,999.000000
5.852217	0.640	6,058.000000
5.862883	0.640	7,551.000000
5.873550	0.640	7,684.000000
5.884217	0.640	6,219.000000
5.894883	0.640	5,434.000000
5.905550	0.640	6,334.000000
5.916217	0.640	7,237.000000
5.926883	0.640	6,777.000000
5.937550	0.640	6,534.000000
5.948217	0.640	8,165.000000
5.958883	0.640	9,479.000000
5.969550	0.640	8,589.000000
5.980217	0.640	7,455.000000
5.990883	0.640	7,687.000000
6.001550	0.640	8,501.000000
6.012217	0.640	8,773.000000
6.022883	0.640	8,213.000000
6.033550	0.640	7,488.000000
6.044217	0.640	7,216.000000
6.054883	0.640	6,899.000000
6.065550	0.640	6,023.000000
6.076217	0.640	5,514.000000
6.086883	0.640	6,215.000000
6.097550	0.640	7,719.000000
6.108217	0.640	10,331.000000
6.118883	0.640	14,716.000000
6.129550	0.640	20,640.000000
6.140217	0.640	28,570.000000
6.150883	0.640	39,013.000000
6.161550	0.640	49,777.000000
