File Path	chrom://nnfcb-l0495/ChromeleonLocal/20180320_AA_Lars Nielsen samples Vienna_lbpet.seq/696.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	AAmix_5ug_mL_1
Injection Number	8
Position	RB7
Comment	
Processing Method	20171024_Calculated with IS_lbpet
Instrument Method	20161104_AA_GeminiC18_FinalVer7
Type	Calibration Standard
Status	Finished
Injection Date	20-03-2018
Injection Time	14:32:58
Injection Volume (µl)	56.500
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.003933
Time Max. (min)	30.001600
Data Points	2813
Detector	FLD
Exporting Data System	Chromeleon 7.1.2.1478
Operator	
Signal Quantity	
Signal Unit	counts
Signal Min.	-6,404.000000
Signal Max.	71,242,405.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.637
Max. Step (s)	0.820
Average Step (s)	0.640

Signal Parameter Information:
Signal Info	340 nm /450 nm

Raw Data:
Time (min)	Step (s)	Value (counts)
0.003933	0.000	0.000000
0.017600	0.820	0.000000
0.028267	0.640	0.000000
0.038933	0.640	988.000000
0.049600	0.640	952.000000
0.060267	0.640	-351.000000
0.070933	0.640	-1,210.000000
0.081600	0.640	-1,119.000000
0.092267	0.640	-1,574.000000
0.102933	0.640	-3,140.000000
0.113600	0.640	-4,117.000000
0.124267	0.640	-3,505.000000
0.134933	0.640	-2,316.000000
0.145600	0.640	-1,736.000000
0.156267	0.640	-2,000.000000
0.166933	0.640	-2,091.000000
0.177600	0.640	-1,203.000000
0.188267	0.640	-483.000000
0.198933	0.640	-1,441.000000
0.209600	0.640	-3,580.000000
0.220267	0.640	-4,498.000000
0.230933	0.640	-3,066.000000
0.241600	0.640	-1,593.000000
0.252267	0.640	-2,085.000000
0.262933	0.640	-2,960.000000
0.273600	0.640	-2,166.000000
0.284267	0.640	-484.000000
0.294933	0.640	-134.000000
0.305600	0.640	-1,508.000000
0.316267	0.640	-3,000.000000
0.326933	0.640	-3,841.000000
0.337600	0.640	-4,436.000000
0.348267	0.640	-4,787.000000
0.358933	0.640	-4,633.000000
0.369600	0.640	-4,040.000000
0.380267	0.640	-3,560.000000
0.390933	0.640	-3,456.000000
0.401600	0.640	-3,187.000000
0.412267	0.640	-2,443.000000
0.422933	0.640	-1,779.000000
0.433600	0.640	-2,153.000000
0.444267	0.640	-3,178.000000
0.454933	0.640	-2,831.000000
0.465600	0.640	-963.000000
0.476267	0.640	2.000000
0.486933	0.640	-777.000000
0.497600	0.640	-1,701.000000
0.508267	0.640	-1,793.000000
0.518933	0.640	-1,936.000000
0.529600	0.640	-2,869.000000
0.540267	0.640	-3,375.000000
0.550933	0.640	-2,514.000000
0.561600	0.640	-1,599.000000
0.572267	0.640	-2,062.000000
0.582933	0.640	-3,441.000000
0.593600	0.640	-4,117.000000
0.604267	0.640	-3,400.000000
0.614933	0.640	-2,147.000000
0.625600	0.640	-1,699.000000
0.636267	0.640	-2,788.000000
0.646933	0.640	-4,266.000000
0.657600	0.640	-4,023.000000
0.668267	0.640	-2,510.000000
0.678933	0.640	-2,370.000000
0.689600	0.640	-3,780.000000
0.700267	0.640	-4,363.000000
0.710933	0.640	-3,594.000000
0.721600	0.640	-2,799.000000
0.732267	0.640	-2,324.000000
0.742933	0.640	-2,142.000000
0.753600	0.640	-2,744.000000
0.764267	0.640	-3,968.000000
0.774933	0.640	-4,894.000000
0.785600	0.640	-4,936.000000
0.796267	0.640	-3,977.000000
0.806933	0.640	-2,158.000000
0.817600	0.640	-587.000000
0.828267	0.640	-774.000000
0.838933	0.640	-2,388.000000
0.849600	0.640	-3,236.000000
0.860267	0.640	-2,138.000000
0.870933	0.640	-537.000000
0.881600	0.640	-327.000000
0.892267	0.640	-1,445.000000
0.902933	0.640	-2,729.000000
0.913600	0.640	-3,518.000000
0.924267	0.640	-3,868.000000
0.934933	0.640	-3,947.000000
0.945600	0.640	-3,670.000000
0.956267	0.640	-3,463.000000
0.966933	0.640	-3,901.000000
0.977600	0.640	-4,195.000000
0.988267	0.640	-3,516.000000
0.998933	0.640	-3,047.000000
1.009600	0.640	-3,728.000000
1.020267	0.640	-4,081.000000
1.030933	0.640	-3,545.000000
1.041600	0.640	-3,873.000000
1.052267	0.640	-4,703.000000
1.062933	0.640	-3,818.000000
1.073600	0.640	-2,043.000000
1.084267	0.640	-1,392.000000
1.094933	0.640	-1,336.000000
1.105600	0.640	-1,237.000000
1.116267	0.640	-1,737.000000
1.126933	0.640	-2,730.000000
1.137600	0.640	-3,516.000000
1.148267	0.640	-3,770.000000
1.158933	0.640	-3,165.000000
1.169600	0.640	-1,863.000000
1.180267	0.640	-859.000000
1.190933	0.640	-667.000000
1.201600	0.640	-1,129.000000
1.212267	0.640	-2,219.000000
1.222933	0.640	-3,145.000000
1.233600	0.640	-2,771.000000
1.244267	0.640	-2,030.000000
1.254933	0.640	-2,426.000000
1.265600	0.640	-3,215.000000
1.276267	0.640	-3,343.000000
1.286933	0.640	-3,652.000000
1.297600	0.640	-4,680.000000
1.308267	0.640	-4,680.000000
1.318933	0.640	-2,833.000000
1.329600	0.640	-1,357.000000
1.340267	0.640	-1,553.000000
1.350933	0.640	-2,107.000000
1.361600	0.640	-2,350.000000
1.372267	0.640	-2,916.000000
1.382933	0.640	-3,362.000000
1.393600	0.640	-2,697.000000
1.404267	0.640	-1,777.000000
1.414933	0.640	-2,049.000000
1.425600	0.640	-2,923.000000
