File Path	chrom://nnfcb-l0495/ChromeleonLocal/20180320_AA_Lars Nielsen samples Vienna_lbpet.seq/173.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	Blank_IS_2
Injection Number	2
Position	RB1
Comment	
Processing Method	20171024_Calculated with IS_lbpet
Instrument Method	20161104_AA_GeminiC18_FinalVer7
Type	Unknown
Status	Finished
Injection Date	20-03-2018
Injection Time	10:51:18
Injection Volume (µl)	56.500
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.003933
Time Max. (min)	30.001600
Data Points	2813
Detector	FLD
Exporting Data System	Chromeleon 7.1.2.1478
Operator	
Signal Quantity	
Signal Unit	counts
Signal Min.	-4,174.000000
Signal Max.	73,111,806.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.640
Max. Step (s)	0.820
Average Step (s)	0.640

Signal Parameter Information:
Signal Info	340 nm /450 nm

Raw Data:
Time (min)	Step (s)	Value (counts)
0.003933	0.000	0.000000
0.017600	0.820	0.000000
0.028267	0.640	0.000000
0.038933	0.640	110.000000
0.049600	0.640	386.000000
0.060267	0.640	622.000000
0.070933	0.640	617.000000
0.081600	0.640	83.000000
0.092267	0.640	-1,657.000000
0.102933	0.640	-3,792.000000
0.113600	0.640	-3,683.000000
0.124267	0.640	-1,079.000000
0.134933	0.640	1,171.000000
0.145600	0.640	1,455.000000
0.156267	0.640	820.000000
0.166933	0.640	505.000000
0.177600	0.640	-249.000000
0.188267	0.640	-2,139.000000
0.198933	0.640	-3,278.000000
0.209600	0.640	-2,377.000000
0.220267	0.640	-919.000000
0.230933	0.640	-214.000000
0.241600	0.640	-102.000000
0.252267	0.640	-648.000000
0.262933	0.640	-1,965.000000
0.273600	0.640	-2,401.000000
0.284267	0.640	-902.000000
0.294933	0.640	336.000000
0.305600	0.640	47.000000
0.316267	0.640	89.000000
0.326933	0.640	708.000000
0.337600	0.640	128.000000
0.348267	0.640	-997.000000
0.358933	0.640	-1,086.000000
0.369600	0.640	-963.000000
0.380267	0.640	-1,370.000000
0.390933	0.640	-1,569.000000
0.401600	0.640	-1,405.000000
0.412267	0.640	-1,239.000000
0.422933	0.640	-1,012.000000
0.433600	0.640	-667.000000
0.444267	0.640	-461.000000
0.454933	0.640	-711.000000
0.465600	0.640	-1,351.000000
0.476267	0.640	-1,833.000000
0.486933	0.640	-1,892.000000
0.497600	0.640	-1,655.000000
0.508267	0.640	-936.000000
0.518933	0.640	-150.000000
0.529600	0.640	-585.000000
0.540267	0.640	-1,875.000000
0.550933	0.640	-2,228.000000
0.561600	0.640	-1,814.000000
0.572267	0.640	-1,814.000000
0.582933	0.640	-1,606.000000
0.593600	0.640	-722.000000
0.604267	0.640	-407.000000
0.614933	0.640	-1,221.000000
0.625600	0.640	-1,840.000000
0.636267	0.640	-1,018.000000
0.646933	0.640	229.000000
0.657600	0.640	147.000000
0.668267	0.640	-686.000000
0.678933	0.640	-1,130.000000
0.689600	0.640	-1,557.000000
0.700267	0.640	-1,518.000000
0.710933	0.640	-212.000000
0.721600	0.640	793.000000
0.732267	0.640	-36.000000
0.742933	0.640	-1,414.000000
0.753600	0.640	-1,799.000000
0.764267	0.640	-1,731.000000
0.774933	0.640	-2,112.000000
0.785600	0.640	-2,418.000000
0.796267	0.640	-1,725.000000
0.806933	0.640	-605.000000
0.817600	0.640	-296.000000
0.828267	0.640	-427.000000
0.838933	0.640	165.000000
0.849600	0.640	1,364.000000
0.860267	0.640	2,146.000000
0.870933	0.640	1,656.000000
0.881600	0.640	60.000000
0.892267	0.640	-1,029.000000
0.902933	0.640	-1,010.000000
0.913600	0.640	-1,293.000000
0.924267	0.640	-1,695.000000
0.934933	0.640	-469.000000
0.945600	0.640	1,784.000000
0.956267	0.640	2,641.000000
0.966933	0.640	1,510.000000
0.977600	0.640	225.000000
0.988267	0.640	54.000000
0.998933	0.640	-75.000000
1.009600	0.640	-1,073.000000
1.020267	0.640	-1,462.000000
1.030933	0.640	-78.000000
1.041600	0.640	1,458.000000
1.052267	0.640	1,385.000000
1.062933	0.640	55.000000
1.073600	0.640	-1,277.000000
1.084267	0.640	-1,669.000000
1.094933	0.640	-1,009.000000
1.105600	0.640	-92.000000
1.116267	0.640	-71.000000
1.126933	0.640	-1,366.000000
1.137600	0.640	-2,859.000000
1.148267	0.640	-3,174.000000
1.158933	0.640	-2,259.000000
1.169600	0.640	-896.000000
1.180267	0.640	274.000000
1.190933	0.640	698.000000
1.201600	0.640	151.000000
1.212267	0.640	-778.000000
1.222933	0.640	-1,254.000000
1.233600	0.640	-1,079.000000
1.244267	0.640	-651.000000
1.254933	0.640	-239.000000
1.265600	0.640	-21.000000
1.276267	0.640	-36.000000
1.286933	0.640	43.000000
1.297600	0.640	51.000000
1.308267	0.640	1.000000
1.318933	0.640	678.000000
1.329600	0.640	1,492.000000
1.340267	0.640	931.000000
1.350933	0.640	-117.000000
1.361600	0.640	177.000000
1.372267	0.640	534.000000
1.382933	0.640	-665.000000
1.393600	0.640	-1,679.000000
1.404267	0.640	-1,389.000000
1.414933	0.640	-1,265.000000
1.425600	0.640	-1,775.000000
1.436267	0.640	-1,816.000000
1.446933	0.640	-591.000000
1.457600	0.640	1,316.000000
1.468267	0.640	2,251.000000
1.478933	0.640	1,967.000000
1.489600	0.640	1,981.000000
1.500267	0.640	1,919.000000
1.510933	0.640	16.000000
1.521600	0.640	-2,291.000000
