IS_name,component_name,feature_name,concentration_units,llod,ulod,lloq,uloq,correlation_coefficient,actual_concentration,n_points,transformation_model,transformation_model_param_slope,transformation_model_param_intercept,transformation_model_param_x_weight,transformation_model_param_y_weight,transformation_model_param_x_datum_min,transformation_model_param_x_datum_max,transformation_model_param_y_datum_min,transformation_model_param_y_datum_max,transformation_model_param_symmetric_regression
,Aspartate,intensity,ug/mL,0,0,0,0,0,0,0,linear,1,0,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15,FALSE
,Glutamate,intensity,ug/mL,0,0,0,0,0,0,0,linear,1,0,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15,FALSE
,Cysteine,intensity,ug/mL,0,0,0,0,0,0,0,linear,1,0,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15,FALSE
,Asparagine,intensity,ug/mL,0,0,0,0,0,0,0,linear,1,0,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15,FALSE
,Serine,intensity,ug/mL,0,0,0,0,0,0,0,linear,1,0,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15,FALSE
,Glutamine,intensity,ug/mL,0,0,0,0,0,0,0,linear,1,0,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15,FALSE
,Histidine,intensity,ug/mL,0,0,0,0,0,0,0,linear,1,0,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15,FALSE
,Glycine,intensity,ug/mL,0,0,0,0,0,0,0,linear,1,0,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15,FALSE
,Threonine,intensity,ug/mL,0,0,0,0,0,0,0,linear,1,0,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15,FALSE
,Arginine,intensity,ug/mL,0,0,0,0,0,0,0,linear,1,0,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15,FALSE
,Alanine,intensity,ug/mL,0,0,0,0,0,0,0,linear,1,0,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15,FALSE
,Tyrosine,intensity,ug/mL,0,0,0,0,0,0,0,linear,1,0,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15,FALSE
,2-aminobutyrate,intensity,ug/mL,0,0,0,0,0,0,0,linear,1,0,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15,FALSE
,GhostPeak,intensity,ug/mL,0,0,0,0,0,0,0,linear,1,0,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15,FALSE
,Valine,intensity,ug/mL,0,0,0,0,0,0,0,linear,1,0,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15,FALSE
,Methionine,intensity,ug/mL,0,0,0,0,0,0,0,linear,1,0,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15,FALSE
,Tryptophan,intensity,ug/mL,0,0,0,0,0,0,0,linear,1,0,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15,FALSE
,Phenylalanine,intensity,ug/mL,0,0,0,0,0,0,0,linear,1,0,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15,FALSE
,Isoleucine,intensity,ug/mL,0,0,0,0,0,0,0,linear,1,0,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15,FALSE
,Leucine,intensity,ug/mL,0,0,0,0,0,0,0,linear,1,0,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15,FALSE
,Lysine,intensity,ug/mL,0,0,0,0,0,0,0,linear,1,0,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15,FALSE
