transition_group_id,run_id,filename,RT,id,Sequence,FullPeptideName,Charge,Intensity,ProteinName,decoy,total_xic,PeptideRef,leftWidth,rightWidth,peak_apices_sum,var_xcorr_coelution,var_xcorr_coelution_weighted,var_xcorr_shape,var_xcorr_shape_weighted,delta_rt,assay_rt,norm_RT,rt_score,var_norm_rt_score,var_intensity_score,nr_peaks,sn_ratio,var_log_sn_score,var_elution_model_fit_score,main_var_xx_lda_prelim_score,xx_lda_prelim_score,QC_transition_group_score,QC_transition_group_pass,QC_transition_group_message,MZ,peak_apex_position,area_background_level,noise_background_level,native_id,peak_apex_int,total_xic,width_at_5,width_at_10,width_at_50,start_position_at_5,start_position_at_10,start_position_at_50,end_position_at_5,end_position_at_10,end_position_at_50,total_width,tailing_factor,asymmetry_factor,slope_of_baseline,baseline_delta_2_height,points_across_baseline,points_across_half_height,logSN,FeatureLevel,QC_transition_score,QC_transition_pass,QC_transition_message,calculated_concentration,concentration_units,PrecursorMZ,peak_area
b'2-aminobutyrate',AAmix_0p1ug_mL_2_Emission_1,AAmix_0p1ug_mL_2,16.8728810607147,11350773944516921785,b'',NA,1,0.0,b'2-aminobutyrate',0,222262.0,2-aminobutyrate,16.8495998382568,16.9242668151855,0.0,0.0,0.0,1.0,1.0,0.268881060714723,16.604,16.8728810607147,0.268881060714723,0.00268881060714723,1.87166273111728e-06,2.0,1.40832609003715,0.342401828958916,0.261398673057556,5.45659877431836,5.45659877431836,1.0,1,,0.0,16.870933,2.432,38.0,2-aminobutyrate,10.0,222262.0,0.0640000000000001,0.0640000000000001,0.0640000000000001,16.8496,16.8496,16.8496,16.9136,16.9136,16.9136,0.0640000000000001,1.50002343786607,2.00004687573215,-6.0,-0.6,7,7,0.342401828958916,MS2,0.6666666666666667,0,metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline];metaValue[total_width],2.144192871316329,ug/mL,0.0,0.41600000858306885
b'2-aminobutyrate',AAmix_0p1ug_mL_2_Emission_1,AAmix_0p1ug_mL_2,16.8728810607147,11350773944516921785,b'',NA,1,0.0,b'2-aminobutyrate',0,222262.0,2-aminobutyrate,16.8495998382568,16.9242668151855,0.0,0.0,0.0,1.0,1.0,0.268881060714723,16.604,16.8728810607147,0.268881060714723,0.00268881060714723,1.87166273111728e-06,2.0,1.40832609003715,0.342401828958916,0.261398673057556,5.45659877431836,5.45659877431836,1.0,1,,0.0,16.870933,2.432,38.0,2-aminobutyrate2,10.0,222262.0,0.0640000000000001,0.0640000000000001,0.0640000000000001,16.8496,16.8496,16.8496,16.9136,16.9136,16.9136,0.0640000000000001,1.50002343786607,2.00004687573215,-6.0,-0.6,7,7,0.342401828958916,MS2,0.6666666666666667,0,metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline];metaValue[total_width],,,0.0,0.41600000858306885
b'Alanine',AAmix_0p1ug_mL_2_Emission_1,AAmix_0p1ug_mL_2,14.0982520386047,9910231211967277434,b'',NA,1,0.0,b'Alanine',0,222262.0,Alanine,14.0656003952026,14.2362670898438,0.0,0.0,0.0,1.0,1.0,0.139252038604738,13.959,14.0982520386047,0.139252038604738,0.00139252038604738,2.53153821723083e-05,2.0,2.52325091131656,0.925548114304532,0.616134405136108,5.22290469407819,5.22290469407819,1.0,1,,0.0,14.0976,3.04,19.0,Alanine,67.0,222262.0,0.16,0.16,0.117333,14.076267,14.076267,14.076267,14.236267,14.236267,14.1936,0.16,3.7500585946655,6.500117189331,-59.0,-0.880597014925373,16,11,0.925548114304532,MS2,0.5833333333333333,0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline];metaValue[tailing_factor],28.101864437874593,ug/mL,0.0,5.626649856567383
b'Alanine',AAmix_0p1ug_mL_2_Emission_1,AAmix_0p1ug_mL_2,14.0982520386047,9910231211967277434,b'',NA,1,0.0,b'Alanine',0,222262.0,Alanine,14.0656003952026,14.2362670898438,0.0,0.0,0.0,1.0,1.0,0.139252038604738,13.959,14.0982520386047,0.139252038604738,0.00139252038604738,2.53153821723083e-05,2.0,2.52325091131656,0.925548114304532,0.616134405136108,5.22290469407819,5.22290469407819,1.0,1,,0.0,14.0976,3.04,19.0,Alanine2,67.0,222262.0,0.16,0.16,0.117333,14.076267,14.076267,14.076267,14.236267,14.236267,14.1936,0.16,3.7500585946655,6.500117189331,-59.0,-0.880597014925373,16,11,0.925548114304532,MS2,0.5833333333333333,0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline];metaValue[tailing_factor],,,0.0,5.626649856567383
b'Arginine',AAmix_0p1ug_mL_2_Emission_1,AAmix_0p1ug_mL_2,12.0087677812347,3437493147978395463,b'',NA,1,0.0,b'Arginine',0,222262.0,Arginine,11.8469333648682,12.1242666244507,0.0,0.0,0.0,1.0,1.0,0.0127677812347393,11.996,12.0087677812347,0.0127677812347393,0.000127677812347393,7.76980900277249e-05,2.0,19.5405244992655,2.97249048859141,0.908785700798035,6.17440130274639,6.17440130274639,1.0,1,,0.0,12.006933,4.096,16.0,Arginine,206.0,222262.0,0.256,0.234666000000001,0.0960000000000001,11.8576,11.868267,11.9536,12.1136,12.102933,12.0496,0.256,0.857144770412433,0.692311020726059,0.0,0.0,25,8,2.97249048859141,MS2,0.9166666666666666,0,metaValue[asymmetry_factor],94.0595978046009,ug/mL,0.0,17.26930046081543
b'Arginine',AAmix_0p1ug_mL_2_Emission_1,AAmix_0p1ug_mL_2,12.0087677812347,3437493147978395463,b'',NA,1,0.0,b'Arginine',0,222262.0,Arginine,11.8469333648682,12.1242666244507,0.0,0.0,0.0,1.0,1.0,0.0127677812347393,11.996,12.0087677812347,0.0127677812347393,0.000127677812347393,7.76980900277249e-05,2.0,19.5405244992655,2.97249048859141,0.908785700798035,6.17440130274639,6.17440130274639,1.0,1,,0.0,12.006933,4.096,16.0,Arginine2,206.0,222262.0,0.256,0.234666000000001,0.0960000000000001,11.8576,11.868267,11.9536,12.1136,12.102933,12.0496,0.256,0.857144770412433,0.692311020726059,0.0,0.0,25,8,2.97249048859141,MS2,0.9166666666666666,0,metaValue[asymmetry_factor],,,0.0,17.26930046081543
b'Asparagine',AAmix_0p1ug_mL_2_Emission_1,AAmix_0p1ug_mL_2,7.94407378166199,2879772956150398562,b'',NA,1,0.0,b'Asparagine',0,222262.0,Asparagine,7.78293323516846,8.07093334197998,0.0,0.0,0.0,1.0,1.0,0.0120737816619876,7.932,7.94407378166199,0.0120737816619876,0.000120737816619876,7.98816953629314e-05,2.0,18.7483410736196,2.93110527242856,0.906151413917542,6.14920750261011,6.14920750261011,1.0,1,,0.0,7.942933,1.663998,6.0,Asparagine,207.0,222262.0,0.234667,0.181334,0.0853329999999994,7.8256,7.846933,7.900267,8.060267,8.028267,7.9856,0.277333,1.00000426137574,0.888895833333328,3.0,0.0144927536231884,27,7,2.93110527242856,MS2,1.0,1,,17.75469970703125,ug/mL,0.0,17.75469970703125
b'Asparagine',AAmix_0p1ug_mL_2_Emission_1,AAmix_0p1ug_mL_2,7.94407378166199,2879772956150398562,b'',NA,1,0.0,b'Asparagine',0,222262.0,Asparagine,7.78293323516846,8.07093334197998,0.0,0.0,0.0,1.0,1.0,0.0120737816619876,7.932,7.94407378166199,0.0120737816619876,0.000120737816619876,7.98816953629314e-05,2.0,18.7483410736196,2.93110527242856,0.906151413917542,6.14920750261011,6.14920750261011,1.0,1,,0.0,7.942933,1.663998,6.0,Asparagine2,207.0,222262.0,0.234667,0.181334,0.0853329999999994,7.8256,7.846933,7.900267,8.060267,8.028267,7.9856,0.277333,1.00000426137574,0.888895833333328,3.0,0.0144927536231884,27,7,2.93110527242856,MS2,1.0,1,,,,0.0,17.75469970703125
b'Aspartate',AAmix_0p1ug_mL_2_Emission_1,AAmix_0p1ug_mL_2,3.16386253495789,15181361882734051476,b'',NA,1,0.0,b'Aspartate',0,222262.0,Aspartate,3.0576000213623,3.42026710510254,0.0,0.0,0.0,1.0,1.0,0.00986253495788603,3.154,3.16386253495789,0.00986253495788603,9.86253495788603e-05,8.52327444373785e-05,2.0,11.5306698621792,2.44501042992029,0.918708026409149,5.77090282807427,5.77090282807427,1.0,1,,0.0,3.164267,0.352,1.0,Aspartate,130.0,222262.0,0.32,0.277333,0.149333,3.078933,3.0896,3.1216,3.398933,3.366933,3.270933,0.352,1.87498535167694,2.71426466846129,-2.0,-0.0153846153846154,34,13,2.44501042992029,MS2,0.9166666666666666,0,metaValue[asymmetry_factor],0.10557026024430256,ug/mL,0.0,18.944000244140625
b'Aspartate',AAmix_0p1ug_mL_2_Emission_1,AAmix_0p1ug_mL_2,3.16386253495789,15181361882734051476,b'',NA,1,0.0,b'Aspartate',0,222262.0,Aspartate,3.0576000213623,3.42026710510254,0.0,0.0,0.0,1.0,1.0,0.00986253495788603,3.154,3.16386253495789,0.00986253495788603,9.86253495788603e-05,8.52327444373785e-05,2.0,11.5306698621792,2.44501042992029,0.918708026409149,5.77090282807427,5.77090282807427,1.0,1,,0.0,3.164267,0.352,1.0,Aspartate2,130.0,222262.0,0.32,0.277333,0.149333,3.078933,3.0896,3.1216,3.398933,3.366933,3.270933,0.352,1.87498535167694,2.71426466846129,-2.0,-0.0153846153846154,34,13,2.44501042992029,MS2,0.9166666666666666,0,metaValue[asymmetry_factor],,,0.0,18.944000244140625
