transition_group_id,run_id,filename,RT,id,Sequence,FullPeptideName,Charge,Intensity,ProteinName,decoy,total_xic,PeptideRef,leftWidth,rightWidth,peak_apices_sum,var_xcorr_coelution,var_xcorr_coelution_weighted,var_xcorr_shape,var_xcorr_shape_weighted,delta_rt,assay_rt,norm_RT,rt_score,var_norm_rt_score,var_intensity_score,nr_peaks,sn_ratio,var_log_sn_score,var_elution_model_fit_score,main_var_xx_lda_prelim_score,xx_lda_prelim_score,QC_transition_group_score,QC_transition_group_pass,QC_transition_group_message,MZ,peak_apex_position,area_background_level,noise_background_level,native_id,peak_apex_int,total_xic,width_at_5,width_at_10,width_at_50,start_position_at_5,start_position_at_10,start_position_at_50,end_position_at_5,end_position_at_10,end_position_at_50,total_width,tailing_factor,asymmetry_factor,slope_of_baseline,baseline_delta_2_height,points_across_baseline,points_across_half_height,logSN,FeatureLevel,QC_transition_score,QC_transition_pass,QC_transition_message,calculated_concentration,concentration_units,PrecursorMZ,peak_area
b'2-aminobutyrate',AAmix_75ug_mL_1_Emission_1,AAmix_75ug_mL_1,16.4030213030548,2727643473187911563,b'',NA,1,0.0,b'2-aminobutyrate',0,381706.0,2-aminobutyrate,16.2842502593994,16.4229164123535,0.0,0.0,0.0,1.0,1.0,-0.200978696945189,16.604,16.4030213030548,0.200978696945189,0.00200978696945189,8.59299707334518e-06,2.0,23.0977984781034,3.13973730900783,0.770511031150818,6.54376507054768,6.54376507054768,1.0,1,,0.0,16.401583,93.5144009999989,797.0,2-aminobutyrate,57.9999999999999,381706.0,0.117332999999999,0.117332999999999,0.117332999999999,16.294917,16.294917,16.294917,16.41225,16.41225,16.41225,0.117332999999999,0.550001875011727,0.100003750023455,55.0000000000001,0.948275862068969,12,12,3.13973730900783,MS2,0.75,0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height];metaValue[points_across_baseline],11.718288129703605,ug/mL,0.0,3.2799999713897705
b'2-aminobutyrate',AAmix_75ug_mL_1_Emission_1,AAmix_75ug_mL_1,16.4030213030548,2727643473187911563,b'',NA,1,0.0,b'2-aminobutyrate',0,381706.0,2-aminobutyrate,16.2842502593994,16.4229164123535,0.0,0.0,0.0,1.0,1.0,-0.200978696945189,16.604,16.4030213030548,0.200978696945189,0.00200978696945189,8.59299707334518e-06,2.0,23.0977984781034,3.13973730900783,0.770511031150818,6.54376507054768,6.54376507054768,1.0,1,,0.0,16.401583,93.5144009999989,797.0,2-aminobutyrate2,57.9999999999999,381706.0,0.117332999999999,0.117332999999999,0.117332999999999,16.294917,16.294917,16.294917,16.41225,16.41225,16.41225,0.117332999999999,0.550001875011727,0.100003750023455,55.0000000000001,0.948275862068969,12,12,3.13973730900783,MS2,0.75,0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height];metaValue[points_across_baseline],,,0.0,3.2799999713897705
b'Alanine',AAmix_75ug_mL_1_Emission_1,AAmix_75ug_mL_1,13.9391860140228,8151029793710416540,b'',NA,1,0.0,b'Alanine',0,381706.0,Alanine,13.7562503814697,14.0869169235229,0.0,0.0,0.0,1.0,1.0,-0.0198139859771747,13.959,13.9391860140228,0.0198139859771747,0.000198139859771747,4.0436007381613e-05,2.0,0.922665094401971,0.0,0.987914741039276,3.8551825102556,3.8551825102556,1.0,1,,0.0,13.937583,0.618666000000001,2.0,Alanine,146.0,381706.0,0.245334,0.202666000000001,0.106667,13.809583,13.830917,13.88425,14.054917,14.033583,13.990917,0.309333000000001,0.958335937499998,0.900005625035152,0.0,0.0,30,9,0.0,MS2,0.9166666666666666,0,metaValue[logSN],76.77489231193911,ug/mL,0.0,15.434700012207031
b'Alanine',AAmix_75ug_mL_1_Emission_1,AAmix_75ug_mL_1,13.9391860140228,8151029793710416540,b'',NA,1,0.0,b'Alanine',0,381706.0,Alanine,13.7562503814697,14.0869169235229,0.0,0.0,0.0,1.0,1.0,-0.0198139859771747,13.959,13.9391860140228,0.0198139859771747,0.000198139859771747,4.0436007381613e-05,2.0,0.922665094401971,0.0,0.987914741039276,3.8551825102556,3.8551825102556,1.0,1,,0.0,13.937583,0.618666000000001,2.0,Alanine2,146.0,381706.0,0.245334,0.202666000000001,0.106667,13.809583,13.830917,13.88425,14.054917,14.033583,13.990917,0.309333000000001,0.958335937499998,0.900005625035152,0.0,0.0,30,9,0.0,MS2,0.9166666666666666,0,metaValue[logSN],,,0.0,15.434700012207031
b'Arginine',AAmix_75ug_mL_1_Emission_1,AAmix_75ug_mL_1,11.9935907372131,12869634406736778959,b'',NA,1,0.0,b'Arginine',0,381706.0,Arginine,11.8575830459595,12.1029167175293,0.0,0.0,0.0,1.0,1.0,-0.00240926278686437,11.996,11.9935907372131,0.00240926278686437,2.40926278686437e-05,2.25234445046215e-05,2.0,0.578120336177091,0.0,0.758362889289856,4.28898528293865,4.28898528293865,1.0,1,,0.0,11.99625,0.448,2.0,Arginine,105.0,381706.0,0.202666000000001,0.170667,0.0853339999999996,11.878917,11.90025,11.953583,12.081583,12.070917,12.038917,0.224,0.863635976238569,0.777781249999997,-2.0,-0.019047619047619,22,7,0.0,MS2,0.8333333333333334,0,metaValue[asymmetry_factor];metaValue[logSN],78.68596337971935,ug/mL,0.0,8.597330093383789
b'Arginine',AAmix_75ug_mL_1_Emission_1,AAmix_75ug_mL_1,11.9935907372131,12869634406736778959,b'',NA,1,0.0,b'Arginine',0,381706.0,Arginine,11.8575830459595,12.1029167175293,0.0,0.0,0.0,1.0,1.0,-0.00240926278686437,11.996,11.9935907372131,0.00240926278686437,2.40926278686437e-05,2.25234445046215e-05,2.0,0.578120336177091,0.0,0.758362889289856,4.28898528293865,4.28898528293865,1.0,1,,0.0,11.99625,0.448,2.0,Arginine2,105.0,381706.0,0.202666000000001,0.170667,0.0853339999999996,11.878917,11.90025,11.953583,12.081583,12.070917,12.038917,0.224,0.863635976238569,0.777781249999997,-2.0,-0.019047619047619,22,7,0.0,MS2,0.8333333333333334,0,metaValue[asymmetry_factor];metaValue[logSN],,,0.0,8.597330093383789
b'Asparagine',AAmix_75ug_mL_1_Emission_1,AAmix_75ug_mL_1,7.92232469935608,274210614738936675,b'',NA,1,0.0,b'Asparagine',0,381706.0,Asparagine,7.79358291625977,8.03891658782959,0.0,0.0,0.0,1.0,1.0,-0.00967530064392186,7.932,7.92232469935608,0.00967530064392186,9.67530064392186e-05,2.78189670816407e-05,2.0,10.8600175300556,2.38508792869009,0.745494246482849,6.05358845953886,6.05358845953886,1.0,1,,0.0,7.921583,0.234667,1.0,Asparagine,133.0,381706.0,0.181334,0.149332999999999,0.0853329999999994,7.825583,7.846917,7.878917,8.006917,7.99625,7.96425,0.234667,0.944447916666664,1.00001339297672,1.0,0.0075187969924812,23,7,2.38508792869009,MS2,1.0,1,,10.618700027465822,ug/mL,0.0,10.61870002746582
b'Asparagine',AAmix_75ug_mL_1_Emission_1,AAmix_75ug_mL_1,7.92232469935608,274210614738936675,b'',NA,1,0.0,b'Asparagine',0,381706.0,Asparagine,7.79358291625977,8.03891658782959,0.0,0.0,0.0,1.0,1.0,-0.00967530064392186,7.932,7.92232469935608,0.00967530064392186,9.67530064392186e-05,2.78189670816407e-05,2.0,10.8600175300556,2.38508792869009,0.745494246482849,6.05358845953886,6.05358845953886,1.0,1,,0.0,7.921583,0.234667,1.0,Asparagine2,133.0,381706.0,0.181334,0.149332999999999,0.0853329999999994,7.825583,7.846917,7.878917,8.006917,7.99625,7.96425,0.234667,0.944447916666664,1.00001339297672,1.0,0.0075187969924812,23,7,2.38508792869009,MS2,1.0,1,,,,0.0,10.61870002746582
b'Aspartate',AAmix_75ug_mL_1_Emission_1,AAmix_75ug_mL_1,3.15296404353333,13611254691678783075,b'',NA,1,0.0,b'Aspartate',0,381706.0,Aspartate,3.05758309364319,3.37758302688599,0.0,0.0,0.0,1.0,1.0,-0.00103595646667465,3.154,3.15296404353333,0.00103595646667465,1.03595646667465e-05,2.28867244974801e-05,2.0,5.3489638580871,1.6769028707656,0.921733796596527,5.20518518481967,5.20518518481967,1.0,1,,0.0,3.153583,0.309333,1.0,Aspartate,65.0,381706.0,0.298667,0.266666,0.138666,3.06825,3.078917,3.110917,3.366917,3.345583,3.249583,0.309333,1.75000878909683,2.57145153081725,-2.0,-0.0307692307692308,30,12,1.6769028707656,MS2,0.9166666666666666,0,metaValue[asymmetry_factor],0.03981181340404247,ug/mL,0.0,8.736000061035156
b'Aspartate',AAmix_75ug_mL_1_Emission_1,AAmix_75ug_mL_1,3.15296404353333,13611254691678783075,b'',NA,1,0.0,b'Aspartate',0,381706.0,Aspartate,3.05758309364319,3.37758302688599,0.0,0.0,0.0,1.0,1.0,-0.00103595646667465,3.154,3.15296404353333,0.00103595646667465,1.03595646667465e-05,2.28867244974801e-05,2.0,5.3489638580871,1.6769028707656,0.921733796596527,5.20518518481967,5.20518518481967,1.0,1,,0.0,3.153583,0.309333,1.0,Aspartate2,65.0,381706.0,0.298667,0.266666,0.138666,3.06825,3.078917,3.110917,3.366917,3.345583,3.249583,0.309333,1.75000878909683,2.57145153081725,-2.0,-0.0307692307692308,30,12,1.6769028707656,MS2,0.9166666666666666,0,metaValue[asymmetry_factor],,,0.0,8.736000061035156
b'Cysteine',AAmix_75ug_mL_1_Emission_1,AAmix_75ug_mL_1,6.4361336658783,1564100088713171443,b'',NA,1,0.0,b'Cysteine',0,381706.0,Cysteine,6.32158279418945,6.54558277130127,0.0,0.0,0.0,1.0,1.0,-0.00286633412170367,6.439,6.4361336658783,0.00286633412170367,2.86633412170367e-05,1.49085085180867e-05,2.0,1.91806279759689,0.651315717112383,0.752836644649506,4.77475948887936,4.77475948887936,1.0,1,,0.0,6.438917,0.213334,1.0,Cysteine,70.0,381706.0,0.181333,0.159999999999999,0.0853329999999994,6.342917,6.353583,6.39625,6.52425,6.513583,6.481583,0.213334,0.944442708333335,0.874985351676941,1.0,0.0142857142857143,21,7,0.651315717112383,MS2,0.9166666666666666,0,metaValue[logSN],0.2974670254229936,ug/mL,0.0,5.690670013427734
b'Cysteine',AAmix_75ug_mL_1_Emission_1,AAmix_75ug_mL_1,6.4361336658783,1564100088713171443,b'',NA,1,0.0,b'Cysteine',0,381706.0,Cysteine,6.32158279418945,6.54558277130127,0.0,0.0,0.0,1.0,1.0,-0.00286633412170367,6.439,6.4361336658783,0.00286633412170367,2.86633412170367e-05,1.49085085180867e-05,2.0,1.91806279759689,0.651315717112383,0.752836644649506,4.77475948887936,4.77475948887936,1.0,1,,0.0,6.438917,0.213334,1.0,Cysteine2,70.0,381706.0,0.181333,0.159999999999999,0.0853329999999994,6.342917,6.353583,6.39625,6.52425,6.513583,6.481583,0.213334,0.944442708333335,0.874985351676941,1.0,0.0142857142857143,21,7,0.651315717112383,MS2,0.9166666666666666,0,metaValue[logSN],,,0.0,5.690670013427734
b'GhostPeak',AAmix_75ug_mL_1_Emission_1,AAmix_75ug_mL_1,18.3343916684875,12771127365332191208,b'',NA,1,0.0,b'GhostPeak',0,381706.0,GhostPeak,18.2042503356934,18.4495830535889,0.0,0.0,0.0,1.0,1.0,-0.00860833151245188,18.343,18.3343916684875,0.00860833151245188,8.60833151245188e-05,2.0427583881732e-05,2.0,6.40254764831638,1.8566959812062,0.845179796218872,5.48014201120327,5.48014201120327,1.0,1,,0.0,18.33225,0.469332000000001,2.0,GhostPeak,77.0,381706.0,0.234666000000001,0.213332999999999,0.106666000000001,18.214917,18.214917,18.278917,18.449583,18.42825,18.385583,0.234666000000001,1.00000000000002,0.818184142568598,-6.0,-0.0779220779220779,23,9,1.8566959812062,MS2,1.0,1,,69.5145405454738,ug/mL,0.0,7.797329902648926
b'GhostPeak',AAmix_75ug_mL_1_Emission_1,AAmix_75ug_mL_1,18.3343916684875,12771127365332191208,b'',NA,1,0.0,b'GhostPeak',0,381706.0,GhostPeak,18.2042503356934,18.4495830535889,0.0,0.0,0.0,1.0,1.0,-0.00860833151245188,18.343,18.3343916684875,0.00860833151245188,8.60833151245188e-05,2.0427583881732e-05,2.0,6.40254764831638,1.8566959812062,0.845179796218872,5.48014201120327,5.48014201120327,1.0,1,,0.0,18.33225,0.469332000000001,2.0,GhostPeak2,77.0,381706.0,0.234666000000001,0.213332999999999,0.106666000000001,18.214917,18.214917,18.278917,18.449583,18.42825,18.385583,0.234666000000001,1.00000000000002,0.818184142568598,-6.0,-0.0779220779220779,23,9,1.8566959812062,MS2,1.0,1,,,,0.0,7.797329902648926
b'Glutamate',AAmix_75ug_mL_1_Emission_1,AAmix_75ug_mL_1,4.7302997437439,15934101309358465503,b'',NA,1,0.0,b'Glutamate',0,381706.0,Glutamate,4.62558317184448,4.83891677856445,0.0,0.0,0.0,1.0,1.0,-0.00170025625610393,4.732,4.7302997437439,0.00170025625610393,1.70025625610393e-05,2.21881047062591e-05,2.0,10.5358379022928,2.35478257919476,0.748547375202179,6.02627793438276,6.02627793438276,1.0,1,,0.0,4.73225,0.383999999999999,2.0,Glutamate,128.0,381706.0,0.16,0.138667,0.0746669999999998,4.646917,4.657583,4.689583,4.806917,4.79625,4.76425,0.191999999999999,0.937503662123687,0.85713903062933,0.0,0.0,19,6,2.35478257919476,MS2,0.9166666666666666,0,metaValue[points_across_baseline],8.469329833984375,ug/mL,0.0,8.469329833984375
b'Glutamate',AAmix_75ug_mL_1_Emission_1,AAmix_75ug_mL_1,4.7302997437439,15934101309358465503,b'',NA,1,0.0,b'Glutamate',0,381706.0,Glutamate,4.62558317184448,4.83891677856445,0.0,0.0,0.0,1.0,1.0,-0.00170025625610393,4.732,4.7302997437439,0.00170025625610393,1.70025625610393e-05,2.21881047062591e-05,2.0,10.5358379022928,2.35478257919476,0.748547375202179,6.02627793438276,6.02627793438276,1.0,1,,0.0,4.73225,0.383999999999999,2.0,Glutamate2,128.0,381706.0,0.16,0.138667,0.0746669999999998,4.646917,4.657583,4.689583,4.806917,4.79625,4.76425,0.191999999999999,0.937503662123687,0.85713903062933,0.0,0.0,19,6,2.35478257919476,MS2,0.9166666666666666,0,metaValue[points_across_baseline],,,0.0,8.469329833984375
