File Path	chrom://nnfcb-l0495/ChromeleonLocal/20180320_AA_Lars Nielsen samples Vienna_lbpet.seq/555.smp/Emission_2.channel/Emission_2.chm
Channel	Emission_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	20180320_Lars Nielsen samples Vienna_dx20_BA2
Injection Number	15
Position	BA2
Comment	
Processing Method	20171024_Calculated with IS_lbpet
Instrument Method	20161104_AA_GeminiC18_FinalVer7
Type	Unknown
Status	Finished
Injection Date	20-03-2018
Injection Time	18:51:22
Injection Volume (µl)	56.500
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.007767
Time Max. (min)	30.005483
Data Points	2849
Detector	FLD
Exporting Data System	Chromeleon 7.1.2.1478
Operator	
Signal Quantity	
Signal Unit	counts
Signal Min.	-25,662.000000
Signal Max.	238,574,023.000000
Channel	Emission_2
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.010
Max. Step (s)	0.823
Average Step (s)	0.632

Signal Parameter Information:
Signal Info	266 nm /305 nm

Raw Data:
Time (min)	Step (s)	Value (counts)
0.007767	0.000	0.000000
0.021483	0.823	0.000000
0.032150	0.640	0.000000
0.042817	0.640	-1,297.000000
0.053483	0.640	-4,971.000000
0.064150	0.640	-5,523.000000
0.074817	0.640	-246.000000
0.085483	0.640	1,748.000000
0.096150	0.640	-3,389.000000
0.106817	0.640	-6,591.000000
0.117483	0.640	-5,297.000000
0.128150	0.640	-5,937.000000
0.138817	0.640	-7,975.000000
0.149483	0.640	-7,332.000000
0.160150	0.640	-6,213.000000
0.170817	0.640	-6,095.000000
0.181483	0.640	-3,371.000000
0.192150	0.640	1,688.000000
0.202817	0.640	2,750.000000
0.213483	0.640	-2,686.000000
0.224150	0.640	-9,478.000000
0.234817	0.640	-11,291.000000
0.245483	0.640	-7,319.000000
0.256150	0.640	-2,221.000000
0.266817	0.640	-449.000000
0.277483	0.640	-2,609.000000
0.288150	0.640	-4,767.000000
0.298817	0.640	-4,314.000000
0.309483	0.640	-5,352.000000
0.320150	0.640	-9,109.000000
0.330817	0.640	-9,804.000000
0.341483	0.640	-6,789.000000
0.352150	0.640	-5,115.000000
0.362817	0.640	-5,030.000000
0.373483	0.640	-4,345.000000
0.384150	0.640	-3,902.000000
0.394817	0.640	-3,681.000000
0.405483	0.640	-2,517.000000
0.416150	0.640	-1,254.000000
0.426817	0.640	-307.000000
0.437483	0.640	1,532.000000
0.448150	0.640	3,505.000000
0.458817	0.640	2,787.000000
0.469483	0.640	-934.000000
0.480150	0.640	-3,058.000000
0.490817	0.640	559.000000
0.501483	0.640	4,852.000000
0.512150	0.640	1,408.000000
0.522817	0.640	-5,978.000000
0.533483	0.640	-6,239.000000
0.544150	0.640	-667.000000
0.554817	0.640	670.000000
0.565483	0.640	-2,554.000000
0.576150	0.640	-4,007.000000
0.586817	0.640	-2,298.000000
0.597483	0.640	362.000000
0.608150	0.640	1,769.000000
0.618817	0.640	865.000000
0.629483	0.640	-1,246.000000
0.640150	0.640	-3,444.000000
0.650817	0.640	-8,045.000000
0.661483	0.640	-15,607.000000
0.672150	0.640	-18,586.000000
0.682817	0.640	-13,155.000000
0.693483	0.640	-6,202.000000
0.704150	0.640	-1,322.000000
0.714817	0.640	2,290.000000
0.725483	0.640	1,695.000000
0.736150	0.640	-4,306.000000
0.746817	0.640	-10,729.000000
0.757483	0.640	-10,070.000000
0.768150	0.640	-1,554.000000
0.778817	0.640	4,773.000000
0.789483	0.640	2,817.000000
0.800150	0.640	-981.000000
0.810817	0.640	-707.000000
0.821483	0.640	2,317.000000
0.832150	0.640	5,646.000000
0.842817	0.640	7,323.000000
0.853483	0.640	4,936.000000
0.864150	0.640	-579.000000
0.874817	0.640	-4,671.000000
0.885483	0.640	-5,583.000000
0.896150	0.640	-4,740.000000
0.906817	0.640	-2,452.000000
0.917483	0.640	1,186.000000
0.928150	0.640	4,180.000000
0.938817	0.640	3,258.000000
0.949483	0.640	-2,012.000000
0.960150	0.640	-7,604.000000
0.970817	0.640	-10,767.000000
0.981483	0.640	-11,477.000000
0.992150	0.640	-9,474.000000
1.002817	0.640	-6,276.000000
1.013483	0.640	-5,374.000000
1.024150	0.640	-7,523.000000
1.034817	0.640	-10,100.000000
1.045483	0.640	-11,449.000000
1.056150	0.640	-11,912.000000
1.066817	0.640	-10,817.000000
1.077483	0.640	-7,943.000000
1.088150	0.640	-5,452.000000
1.098817	0.640	-3,544.000000
1.109483	0.640	-1,864.000000
1.120150	0.640	-3,764.000000
1.130817	0.640	-9,524.000000
1.141483	0.640	-13,240.000000
1.152150	0.640	-11,771.000000
1.162817	0.640	-8,268.000000
1.173483	0.640	-4,789.000000
1.184150	0.640	-199.000000
1.194817	0.640	2,956.000000
1.205483	0.640	1,173.000000
1.216150	0.640	-2,388.000000
1.226817	0.640	-2,955.000000
1.237483	0.640	-1,260.000000
1.248150	0.640	-1,659.000000
1.258817	0.640	-5,250.000000
1.269483	0.640	-8,086.000000
1.280150	0.640	-7,425.000000
1.290817	0.640	-4,790.000000
1.301483	0.640	-3,259.000000
1.312150	0.640	-3,762.000000
