File Path	chrom://nnfcb-l0495/ChromeleonLocal/20180320_AA_Lars Nielsen samples Vienna_lbpet.seq/397.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	20180320_Lars Nielsen samples Vienna_dx20_BB3
Injection Number	28
Position	BB3
Comment	
Processing Method	20171024_Calculated with IS_lbpet
Instrument Method	20161104_AA_GeminiC18_FinalVer7
Type	Unknown
Status	Finished
Injection Date	21-03-2018
Injection Time	02:51:16
Injection Volume (µl)	56.500
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.003933
Time Max. (min)	30.001600
Data Points	2813
Detector	FLD
Exporting Data System	Chromeleon 7.1.2.1478
Operator	
Signal Quantity	
Signal Unit	counts
Signal Min.	-5,997.000000
Signal Max.	71,407,054.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.640
Max. Step (s)	0.820
Average Step (s)	0.640

Signal Parameter Information:
Signal Info	340 nm /450 nm

Raw Data:
Time (min)	Step (s)	Value (counts)
0.003933	0.000	0.000000
0.017600	0.820	0.000000
0.028267	0.640	0.000000
0.038933	0.640	-426.000000
0.049600	0.640	-1,099.000000
0.060267	0.640	-1,182.000000
0.070933	0.640	-553.000000
0.081600	0.640	-872.000000
0.092267	0.640	-1,996.000000
0.102933	0.640	-2,031.000000
0.113600	0.640	-1,281.000000
0.124267	0.640	-810.000000
0.134933	0.640	-876.000000
0.145600	0.640	-1,280.000000
0.156267	0.640	-898.000000
0.166933	0.640	229.000000
0.177600	0.640	361.000000
0.188267	0.640	-578.000000
0.198933	0.640	-1,035.000000
0.209600	0.640	-1,069.000000
0.220267	0.640	-1,573.000000
0.230933	0.640	-1,958.000000
0.241600	0.640	-1,669.000000
0.252267	0.640	-1,483.000000
0.262933	0.640	-2,129.000000
0.273600	0.640	-2,876.000000
0.284267	0.640	-2,391.000000
0.294933	0.640	-1,332.000000
0.305600	0.640	-1,434.000000
0.316267	0.640	-2,124.000000
0.326933	0.640	-1,618.000000
0.337600	0.640	-66.000000
0.348267	0.640	667.000000
0.358933	0.640	-171.000000
0.369600	0.640	-993.000000
0.380267	0.640	-743.000000
0.390933	0.640	-348.000000
0.401600	0.640	-575.000000
0.412267	0.640	-1,109.000000
0.422933	0.640	-1,072.000000
0.433600	0.640	-263.000000
0.444267	0.640	203.000000
0.454933	0.640	-591.000000
0.465600	0.640	-2,347.000000
0.476267	0.640	-3,974.000000
0.486933	0.640	-4,173.000000
0.497600	0.640	-2,917.000000
0.508267	0.640	-1,608.000000
0.518933	0.640	-757.000000
0.529600	0.640	-82.000000
0.540267	0.640	39.000000
0.550933	0.640	-735.000000
0.561600	0.640	-1,938.000000
0.572267	0.640	-2,319.000000
0.582933	0.640	-1,520.000000
0.593600	0.640	-1,035.000000
0.604267	0.640	-957.000000
0.614933	0.640	322.000000
0.625600	0.640	1,585.000000
0.636267	0.640	510.000000
0.646933	0.640	-1,355.000000
0.657600	0.640	-1,893.000000
0.668267	0.640	-1,898.000000
0.678933	0.640	-1,509.000000
0.689600	0.640	215.000000
0.700267	0.640	1,962.000000
0.710933	0.640	1,583.000000
0.721600	0.640	-758.000000
0.732267	0.640	-2,786.000000
0.742933	0.640	-2,555.000000
0.753600	0.640	-656.000000
0.764267	0.640	569.000000
0.774933	0.640	-276.000000
0.785600	0.640	-2,282.000000
0.796267	0.640	-3,170.000000
0.806933	0.640	-2,262.000000
0.817600	0.640	-1,763.000000
0.828267	0.640	-3,098.000000
0.838933	0.640	-4,461.000000
0.849600	0.640	-3,798.000000
0.860267	0.640	-1,547.000000
0.870933	0.640	161.000000
0.881600	0.640	-124.000000
0.892267	0.640	-1,873.000000
0.902933	0.640	-3,128.000000
0.913600	0.640	-2,396.000000
0.924267	0.640	-984.000000
0.934933	0.640	-1,159.000000
0.945600	0.640	-2,084.000000
0.956267	0.640	-1,848.000000
0.966933	0.640	-871.000000
0.977600	0.640	-141.000000
0.988267	0.640	-81.000000
0.998933	0.640	-858.000000
1.009600	0.640	-1,530.000000
1.020267	0.640	-1,269.000000
1.030933	0.640	-850.000000
1.041600	0.640	-1,172.000000
1.052267	0.640	-1,683.000000
1.062933	0.640	-1,566.000000
1.073600	0.640	-1,600.000000
1.084267	0.640	-2,400.000000
1.094933	0.640	-2,547.000000
1.105600	0.640	-1,589.000000
1.116267	0.640	-1,223.000000
1.126933	0.640	-1,654.000000
1.137600	0.640	-1,393.000000
1.148267	0.640	-177.000000
1.158933	0.640	914.000000
1.169600	0.640	746.000000
1.180267	0.640	-458.000000
1.190933	0.640	-1,038.000000
1.201600	0.640	-166.000000
1.212267	0.640	664.000000
1.222933	0.640	-416.000000
1.233600	0.640	-2,207.000000
1.244267	0.640	-2,086.000000
1.254933	0.640	-474.000000
1.265600	0.640	216.000000
1.276267	0.640	-623.000000
1.286933	0.640	-1,575.000000
1.297600	0.640	-1,733.000000
1.308267	0.640	-1,489.000000
1.318933	0.640	-1,097.000000
1.329600	0.640	-314.000000
1.340267	0.640	596.000000
1.350933	0.640	634.000000
1.361600	0.640	-203.000000
1.372267	0.640	-630.000000
1.382933	0.640	-602.000000
1.393600	0.640	-1,099.000000
1.404267	0.640	-1,985.000000
1.414933	0.640	-2,415.000000
1.425600	0.640	-2,168.000000
1.436267	0.640	-1,566.000000
1.446933	0.640	-572.000000
1.457600	0.640	612.000000
1.468267	0.640	957.000000
1.478933	0.640	221.000000
1.489600	0.640	-845.000000
