File Path	chrom://nnfcb-l0495/ChromeleonLocal/20180320_AA_Lars Nielsen samples Vienna_lbpet.seq/260.smp/Emission_2.channel/Emission_2.chm
Channel	Emission_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	20180320_Lars Nielsen samples Vienna_dx20_BC3
Injection Number	40
Position	BC3
Comment	
Processing Method	20171024_Calculated with IS_lbpet
Instrument Method	20161104_AA_GeminiC18_FinalVer7
Type	Unknown
Status	Finished
Injection Date	21-03-2018
Injection Time	10:14:30
Injection Volume (µl)	56.500
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.007767
Time Max. (min)	30.005433
Data Points	2849
Detector	FLD
Exporting Data System	Chromeleon 7.1.2.1478
Operator	
Signal Quantity	
Signal Unit	counts
Signal Min.	-25,972.000000
Signal Max.	248,282,971.000000
Channel	Emission_2
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.010
Max. Step (s)	0.820
Average Step (s)	0.632

Signal Parameter Information:
Signal Info	266 nm /305 nm

Raw Data:
Time (min)	Step (s)	Value (counts)
0.007767	0.000	0.000000
0.021433	0.820	0.000000
0.032100	0.640	0.000000
0.042767	0.640	1,426.000000
0.053433	0.640	1,592.000000
0.064100	0.640	-1,742.000000
0.074767	0.640	-5,201.000000
0.085433	0.640	-3,286.000000
0.096100	0.640	3,471.000000
0.106767	0.640	9,421.000000
0.117433	0.640	11,055.000000
0.128100	0.640	7,910.000000
0.138767	0.640	772.000000
0.149433	0.640	-5,767.000000
0.160100	0.640	-5,801.000000
0.170767	0.640	-91.000000
0.181433	0.640	5,075.000000
0.192100	0.640	5,546.000000
0.202767	0.640	2,722.000000
0.213433	0.640	2,090.000000
0.224100	0.640	5,610.000000
0.234767	0.640	9,257.000000
0.245433	0.640	9,754.000000
0.256100	0.640	6,082.000000
0.266767	0.640	-840.000000
0.277433	0.640	-6,039.000000
0.288100	0.640	-4,056.000000
0.298767	0.640	3,257.000000
0.309433	0.640	7,537.000000
0.320100	0.640	6,046.000000
0.330767	0.640	4,547.000000
0.341433	0.640	6,655.000000
0.352100	0.640	10,266.000000
0.362767	0.640	10,308.000000
0.373433	0.640	3,861.000000
0.384100	0.640	-3,289.000000
0.394767	0.640	-4,206.000000
0.405433	0.640	-929.000000
0.416100	0.640	1,646.000000
0.426767	0.640	1,256.000000
0.437433	0.640	-3,481.000000
0.448100	0.640	-8,347.000000
0.458767	0.640	-6,184.000000
0.469433	0.640	-999.000000
0.480100	0.640	-602.000000
0.490767	0.640	-1,804.000000
0.501433	0.640	-707.000000
0.512100	0.640	-262.000000
0.522767	0.640	-2,421.000000
0.533433	0.640	-6,255.000000
0.544100	0.640	-8,585.000000
0.554767	0.640	-5,754.000000
0.565433	0.640	6.000000
0.576100	0.640	3,065.000000
