File Path	chrom://nnfcb-l0495/ChromeleonLocal/20180320_AA_Lars Nielsen samples Vienna_lbpet.seq/858.smp/Emission_2.channel/Emission_2.chm
Channel	Emission_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	AAmix_1ug_mL_2
Injection Number	48
Position	RB5
Comment	
Processing Method	20171024_Calculated with IS_lbpet
Instrument Method	20161104_AA_GeminiC18_FinalVer7
Type	Calibration Standard
Status	Finished
Injection Date	21-03-2018
Injection Time	15:10:11
Injection Volume (µl)	56.500
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.007767
Time Max. (min)	30.005483
Data Points	2849
Detector	FLD
Exporting Data System	Chromeleon 7.1.2.1478
Operator	
Signal Quantity	
Signal Unit	counts
Signal Min.	-32,297.000000
Signal Max.	197,887,942.000000
Channel	Emission_2
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.010
Max. Step (s)	0.823
Average Step (s)	0.632

Signal Parameter Information:
Signal Info	266 nm /305 nm

Raw Data:
Time (min)	Step (s)	Value (counts)
0.007767	0.000	0.000000
0.021483	0.823	0.000000
0.032150	0.640	0.000000
0.042817	0.640	-3,694.000000
0.053483	0.640	-5,449.000000
0.064150	0.640	-2,098.000000
0.074817	0.640	553.000000
0.085483	0.640	-2,103.000000
0.096150	0.640	-5,141.000000
0.106817	0.640	-4,654.000000
0.117483	0.640	-5,408.000000
0.128150	0.640	-10,993.000000
0.138817	0.640	-15,414.000000
0.149483	0.640	-12,462.000000
0.160150	0.640	-6,749.000000
0.170817	0.640	-5,990.000000
0.181483	0.640	-8,420.000000
0.192150	0.640	-6,913.000000
0.202817	0.640	-1,283.000000
0.213483	0.640	1,061.000000
0.224150	0.640	-3,428.000000
0.234817	0.640	-9,528.000000
0.245483	0.640	-10,840.000000
0.256150	0.640	-8,247.000000
0.266817	0.640	-8,083.000000
0.277483	0.640	-10,655.000000
0.288150	0.640	-10,224.000000
0.298817	0.640	-6,530.000000
0.309483	0.640	-4,350.000000
0.320150	0.640	-5,260.000000
0.330817	0.640	-7,190.000000
0.341483	0.640	-7,508.000000
0.352150	0.640	-5,007.000000
0.362817	0.640	-3,989.000000
0.373483	0.640	-9,076.000000
0.384150	0.640	-14,667.000000
0.394817	0.640	-14,526.000000
0.405483	0.640	-12,243.000000
0.416150	0.640	-11,903.000000
0.426817	0.640	-13,391.000000
0.437483	0.640	-15,358.000000
0.448150	0.640	-15,442.000000
0.458817	0.640	-13,217.000000
0.469483	0.640	-11,520.000000
0.480150	0.640	-12,265.000000
0.490817	0.640	-13,315.000000
0.501483	0.640	-11,053.000000
0.512150	0.640	-6,280.000000
0.522817	0.640	-2,859.000000
0.533483	0.640	-1,633.000000
0.544150	0.640	-3,483.000000
0.554817	0.640	-8,496.000000
0.565483	0.640	-10,693.000000
0.576150	0.640	-8,085.000000
0.586817	0.640	-7,107.000000
0.597483	0.640	-10,991.000000
0.608150	0.640	-15,896.000000
0.618817	0.640	-16,855.000000
0.629483	0.640	-12,866.000000
0.640150	0.640	-8,096.000000
0.650817	0.640	-8,269.000000
0.661483	0.640	-13,179.000000
0.672150	0.640	-16,116.000000
0.682817	0.640	-13,729.000000
0.693483	0.640	-9,744.000000
0.704150	0.640	-8,808.000000
0.714817	0.640	-10,997.000000
0.725483	0.640	-11,999.000000
0.736150	0.640	-10,176.000000
0.746817	0.640	-8,592.000000
0.757483	0.640	-8,821.000000
0.768150	0.640	-10,145.000000
0.778817	0.640	-10,124.000000
0.789483	0.640	-6,541.000000
0.800150	0.640	-2,595.000000
0.810817	0.640	-1,463.000000
0.821483	0.640	-1,941.000000
0.832150	0.640	-3,135.000000
0.842817	0.640	-3,822.000000
0.853483	0.640	-4,332.000000
0.864150	0.640	-8,448.000000
0.874817	0.640	-15,005.000000
0.885483	0.640	-17,839.000000
0.896150	0.640	-15,487.000000
0.906817	0.640	-11,469.000000
0.917483	0.640	-9,144.000000
0.928150	0.640	-10,316.000000
0.938817	0.640	-13,789.000000
0.949483	0.640	-16,744.000000
0.960150	0.640	-19,095.000000
0.970817	0.640	-20,768.000000
0.981483	0.640	-18,381.000000
0.992150	0.640	-12,525.000000
1.002817	0.640	-10,234.000000
1.013483	0.640	-13,867.000000
1.024150	0.640	-16,394.000000
1.034817	0.640	-11,236.000000
1.045483	0.640	-1,930.000000
1.056150	0.640	3,129.000000
1.066817	0.640	1,065.000000
1.077483	0.640	-5,631.000000
1.088150	0.640	-11,113.000000
1.098817	0.640	-10,815.000000
1.109483	0.640	-7,574.000000
1.120150	0.640	-6,126.000000
1.130817	0.640	-8,484.000000
1.141483	0.640	-13,428.000000
1.152150	0.640	-15,714.000000
1.162817	0.640	-13,956.000000
1.173483	0.640	-11,549.000000
1.184150	0.640	-8,877.000000
1.194817	0.640	-7,794.000000
1.205483	0.640	-12,055.000000
1.216150	0.640	-17,245.000000
1.226817	0.640	-16,255.000000
1.237483	0.640	-11,526.000000
1.248150	0.640	-10,528.000000
1.258817	0.640	-14,220.000000
1.269483	0.640	-16,581.000000
1.280150	0.640	-14,727.000000
1.290817	0.640	-12,660.000000
