File Path	chrom://nnfcb-l0495/ChromeleonLocal/20180320_AA_Lars Nielsen samples Vienna_lbpet.seq/729.smp/Emission_2.channel/Emission_2.chm
Channel	Emission_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	AAmix_25ug_mL_2
Injection Number	52
Position	RC1
Comment	
Processing Method	20171024_Calculated with IS_lbpet
Instrument Method	20161104_AA_GeminiC18_FinalVer7
Type	Calibration Standard
Status	Finished
Injection Date	21-03-2018
Injection Time	17:38:08
Injection Volume (µl)	56.500
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.007767
Time Max. (min)	30.005433
Data Points	2849
Detector	FLD
Exporting Data System	Chromeleon 7.1.2.1478
Operator	
Signal Quantity	
Signal Unit	counts
Signal Min.	-15,093.000000
Signal Max.	252,404,391.000000
Channel	Emission_2
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.010
Max. Step (s)	0.820
Average Step (s)	0.632

Signal Parameter Information:
Signal Info	266 nm /305 nm

Raw Data:
Time (min)	Step (s)	Value (counts)
0.007767	0.000	0.000000
0.021433	0.820	0.000000
0.032100	0.640	0.000000
0.042767	0.640	2,473.000000
0.053433	0.640	4,834.000000
0.064100	0.640	6,436.000000
0.074767	0.640	6,800.000000
0.085433	0.640	6,899.000000
0.096100	0.640	8,113.000000
0.106767	0.640	8,083.000000
0.117433	0.640	5,002.000000
0.128100	0.640	774.000000
0.138767	0.640	-2,068.000000
0.149433	0.640	-1,608.000000
0.160100	0.640	1,662.000000
0.170767	0.640	5,238.000000
0.181433	0.640	7,842.000000
0.192100	0.640	7,607.000000
0.202767	0.640	4,568.000000
0.213433	0.640	3,406.000000
0.224100	0.640	4,872.000000
0.234767	0.640	5,349.000000
0.245433	0.640	5,162.000000
0.256100	0.640	5,693.000000
0.266767	0.640	6,022.000000
0.277433	0.640	5,972.000000
0.288100	0.640	5,648.000000
0.298767	0.640	6,516.000000
0.309433	0.640	10,372.000000
0.320100	0.640	13,637.000000
0.330767	0.640	11,325.000000
0.341433	0.640	4,509.000000
0.352100	0.640	-453.000000
0.362767	0.640	918.000000
0.373433	0.640	5,527.000000
0.384100	0.640	8,997.000000
0.394767	0.640	11,062.000000
0.405433	0.640	10,556.000000
0.416100	0.640	7,522.000000
0.426767	0.640	6,496.000000
0.437433	0.640	7,337.000000
0.448100	0.640	4,381.000000
0.458767	0.640	-1,179.000000
0.469433	0.640	-3,234.000000
0.480100	0.640	-1,448.000000
0.490767	0.640	2,320.000000
0.501433	0.640	6,754.000000
0.512100	0.640	7,397.000000
0.522767	0.640	2,960.000000
0.533433	0.640	-2,044.000000
0.544100	0.640	-4,750.000000
0.554767	0.640	-4,100.000000
0.565433	0.640	-226.000000
0.576100	0.640	3,069.000000
0.586767	0.640	1,970.000000
