File Path	chrom://nnfcb-l0495/ChromeleonLocal/20180320_AA_Lars Nielsen samples Vienna_lbpet.seq/812.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	AAmix_2p5ug_mL_1
Injection Number	7
Position	RB6
Comment	
Processing Method	20171024_Calculated with IS_lbpet
Instrument Method	20161104_AA_GeminiC18_FinalVer7
Type	Calibration Standard
Status	Finished
Injection Date	20-03-2018
Injection Time	13:56:03
Injection Volume (µl)	56.500
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.003950
Time Max. (min)	30.001617
Data Points	2813
Detector	FLD
Exporting Data System	Chromeleon 7.1.2.1478
Operator	
Signal Quantity	
Signal Unit	counts
Signal Min.	-3,492.000000
Signal Max.	76,506,026.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.637
Max. Step (s)	0.820
Average Step (s)	0.640

Signal Parameter Information:
Signal Info	340 nm /450 nm

Raw Data:
Time (min)	Step (s)	Value (counts)
0.003950	0.000	0.000000
0.017617	0.820	0.000000
0.028283	0.640	0.000000
0.038950	0.640	157.000000
0.049617	0.640	355.000000
0.060283	0.640	1,233.000000
0.070950	0.640	2,593.000000
0.081617	0.640	3,625.000000
0.092283	0.640	4,128.000000
0.102950	0.640	3,791.000000
0.113617	0.640	2,566.000000
0.124283	0.640	1,632.000000
0.134950	0.640	2,042.000000
0.145617	0.640	3,111.000000
0.156283	0.640	3,458.000000
0.166950	0.640	3,072.000000
0.177617	0.640	2,893.000000
0.188283	0.640	3,051.000000
0.198950	0.640	3,159.000000
0.209617	0.640	3,352.000000
0.220283	0.640	3,689.000000
0.230950	0.640	3,726.000000
0.241617	0.640	3,529.000000
0.252283	0.640	3,330.000000
0.262950	0.640	2,293.000000
0.273617	0.640	558.000000
0.284283	0.640	230.000000
0.294950	0.640	1,781.000000
0.305617	0.640	3,501.000000
0.316283	0.640	4,631.000000
0.326950	0.640	5,232.000000
0.337617	0.640	4,859.000000
0.348283	0.640	3,696.000000
0.358950	0.640	2,975.000000
0.369617	0.640	3,189.000000
0.380283	0.640	3,574.000000
0.390950	0.640	3,484.000000
0.401617	0.640	2,961.000000
0.412283	0.640	2,599.000000
0.422950	0.640	2,957.000000
0.433617	0.640	3,752.000000
0.444283	0.640	4,408.000000
0.454950	0.640	4,606.000000
0.465617	0.640	4,104.000000
0.476283	0.640	3,319.000000
0.486950	0.640	3,198.000000
0.497617	0.640	3,334.000000
0.508283	0.640	2,540.000000
0.518950	0.640	1,599.000000
0.529617	0.640	1,671.000000
0.540283	0.640	1,870.000000
0.550950	0.640	1,437.000000
0.561617	0.640	1,054.000000
0.572283	0.640	1,344.000000
0.582950	0.640	2,176.000000
0.593617	0.640	3,113.000000
0.604283	0.640	3,832.000000
0.614950	0.640	3,985.000000
0.625617	0.640	3,226.000000
0.636283	0.640	1,852.000000
0.646950	0.640	1,201.000000
0.657617	0.640	2,577.000000
0.668283	0.640	4,806.000000
0.678950	0.640	5,088.000000
0.689617	0.640	3,593.000000
0.700283	0.640	2,901.000000
0.710950	0.640	3,405.000000
0.721617	0.640	4,131.000000
0.732283	0.640	4,766.000000
0.742950	0.640	4,581.000000
0.753617	0.640	3,224.000000
0.764283	0.640	1,632.000000
0.774950	0.640	603.000000
0.785617	0.640	857.000000
0.796283	0.640	2,572.000000
0.806950	0.640	3,571.000000
0.817617	0.640	2,411.000000
0.828283	0.640	1,559.000000
0.838950	0.640	2,937.000000
0.849617	0.640	4,350.000000
0.860283	0.640	3,636.000000
0.870950	0.640	2,292.000000
0.881617	0.640	2,358.000000
0.892283	0.640	3,286.000000
0.902950	0.640	3,984.000000
0.913617	0.640	4,235.000000
0.924283	0.640	3,691.000000
0.934950	0.640	2,704.000000
0.945617	0.640	2,253.000000
0.956283	0.640	2,242.000000
0.966950	0.640	2,620.000000
0.977617	0.640	3,691.000000
0.988283	0.640	4,261.000000
0.998950	0.640	3,415.000000
1.009617	0.640	2,601.000000
1.020283	0.640	3,231.000000
1.030950	0.640	4,085.000000
1.041617	0.640	3,223.000000
1.052283	0.640	1,656.000000
1.062950	0.640	1,351.000000
1.073617	0.640	1,606.000000
1.084283	0.640	1,503.000000
1.094950	0.640	1,887.000000
1.105617	0.640	2,948.000000
1.116283	0.640	3,463.000000
1.126950	0.640	2,772.000000
1.137617	0.640	1,760.000000
1.148283	0.640	1,927.000000
1.158950	0.640	3,457.000000
1.169617	0.640	4,495.000000
1.180283	0.640	3,790.000000
1.190950	0.640	2,657.000000
1.201617	0.640	2,461.000000
1.212283	0.640	2,588.000000
1.222950	0.640	2,668.000000
1.233617	0.640	3,149.000000
1.244283	0.640	3,060.000000
1.254950	0.640	1,660.000000
1.265617	0.640	399.000000
1.276283	0.640	410.000000
1.286950	0.640	1,125.000000
1.297617	0.640	1,953.000000
1.308283	0.640	2,926.000000
1.318950	0.640	3,858.000000
1.329617	0.640	4,432.000000
1.340283	0.640	4,412.000000
1.350950	0.640	3,642.000000
1.361617	0.640	2,528.000000
1.372283	0.640	1,785.000000
1.382950	0.640	2,213.000000
1.393617	0.640	3,890.000000
1.404283	0.640	4,785.000000
1.414950	0.640	3,386.000000
1.425617	0.640	1,990.000000
1.436283	0.640	2,544.000000
1.446950	0.640	2,975.000000
1.457617	0.640	2,061.000000
1.468283	0.640	1,496.000000
1.478950	0.640	1,683.000000
1.489617	0.640	1,705.000000
1.500283	0.640	1,853.000000
1.510950	0.640	2,446.000000
1.521617	0.640	2,818.000000
1.532283	0.640	2,738.000000
1.542950	0.640	2,615.000000
1.553617	0.640	2,592.000000
1.564283	0.640	2,673.000000
1.574950	0.640	3,201.000000
1.585617	0.640	4,717.000000
1.596283	0.640	6,848.000000
1.606950	0.640	8,222.000000
1.617617	0.640	8,184.000000
1.628283	0.640	7,029.000000
1.638950	0.640	5,644.000000
1.649617	0.640	5,043.000000
1.660283	0.640	4,758.000000
1.670950	0.640	4,212.000000
1.681617	0.640	4,248.000000
1.692283	0.640	4,833.000000
1.702950	0.640	4,792.000000
1.713617	0.640	3,842.000000
1.724283	0.640	2,948.000000
1.734950	0.640	3,496.000000
1.745617	0.640	5,296.000000
1.756283	0.640	6,487.000000
1.766950	0.640	6,343.000000
1.777617	0.640	5,475.000000
1.788283	0.640	4,444.000000
1.798950	0.640	3,793.000000
1.809617	0.640	3,484.000000
1.820283	0.640	3,249.000000
1.830950	0.640	3,659.000000
1.841617	0.640	4,662.000000
1.852283	0.640	5,040.000000
1.862950	0.640	4,687.000000
1.873617	0.640	4,676.000000
1.884283	0.640	4,865.000000
1.894950	0.640	4,176.000000
1.905617	0.640	2,898.000000
1.916283	0.640	2,465.000000
1.926950	0.640	3,636.000000
1.937617	0.640	5,329.000000
1.948283	0.640	5,486.000000
1.958950	0.640	4,113.000000
1.969617	0.640	3,176.000000
1.980283	0.640	3,402.000000
1.990950	0.640	3,978.000000
2.001617	0.640	4,282.000000
2.012283	0.640	4,394.000000
2.022950	0.640	4,379.000000
2.033617	0.640	3,842.000000
2.044283	0.640	2,818.000000
2.054950	0.640	1,971.000000
2.065617	0.640	1,411.000000
2.076283	0.640	1,132.000000
2.086950	0.640	1,891.000000
2.097617	0.640	3,318.000000
2.108283	0.640	3,560.000000
2.118950	0.640	2,601.000000
2.129617	0.640	2,260.000000
2.140283	0.640	2,525.000000
2.150950	0.640	2,021.000000
2.161617	0.640	1,322.000000
2.172283	0.640	1,586.000000
2.182950	0.640	2,100.000000
2.193617	0.640	2,415.000000
2.204283	0.640	2,953.000000
2.214950	0.640	3,049.000000
2.225617	0.640	2,488.000000
2.236283	0.640	2,579.000000
2.246950	0.640	3,791.000000
2.257617	0.640	5,088.000000
2.268283	0.640	5,495.000000
2.278950	0.640	4,701.000000
2.289617	0.640	3,100.000000
2.300283	0.640	1,987.000000
2.310950	0.640	1,792.000000
2.321617	0.640	1,293.000000
2.332283	0.640	610.000000
2.342950	0.640	1,227.000000
2.353617	0.640	2,623.000000
2.364283	0.640	2,971.000000
2.374950	0.640	2,368.000000
2.385617	0.640	1,869.000000
2.396283	0.640	1,126.000000
2.406950	0.640	251.000000
2.417617	0.640	487.000000
2.428283	0.640	1,710.000000
2.438950	0.640	2,793.000000
2.449617	0.640	3,181.000000
2.460283	0.640	3,124.000000
2.470950	0.640	3,090.000000
2.481617	0.640	2,696.000000
2.492283	0.640	1,595.000000
2.502950	0.640	910.000000
