File Path	chrom://nnfcb-l0495/ChromeleonLocal/20180320_AA_Lars Nielsen samples Vienna_lbpet.seq/237.smp/Emission_2.channel/Emission_2.chm
Channel	Emission_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	Blank_IS_5
Injection Number	55
Position	RB1
Comment	
Processing Method	20171024_Calculated with IS_lbpet
Instrument Method	20161104_AA_GeminiC18_FinalVer7
Type	Unknown
Status	Finished
Injection Date	21-03-2018
Injection Time	19:29:04
Injection Volume (µl)	56.500
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.007833
Time Max. (min)	30.005500
Data Points	2849
Detector	FLD
Exporting Data System	Chromeleon 7.1.2.1478
Operator	
Signal Quantity	
Signal Unit	counts
Signal Min.	-33,419.000000
Signal Max.	200,082,767.000000
Channel	Emission_2
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.010
Max. Step (s)	0.820
Average Step (s)	0.632

Signal Parameter Information:
Signal Info	266 nm /305 nm

Raw Data:
Time (min)	Step (s)	Value (counts)
0.007833	0.000	0.000000
0.021500	0.820	0.000000
0.032167	0.640	0.000000
0.042833	0.640	-4,679.000000
0.053500	0.640	-10,387.000000
0.064167	0.640	-10,658.000000
0.074833	0.640	-5,005.000000
0.085500	0.640	-988.000000
0.096167	0.640	-1,501.000000
0.106833	0.640	-2,087.000000
0.117500	0.640	-1,169.000000
0.128167	0.640	-2,528.000000
0.138833	0.640	-7,252.000000
0.149500	0.640	-8,268.000000
0.160167	0.640	-2,940.000000
0.170833	0.640	-122.000000
0.181500	0.640	-3,178.000000
0.192167	0.640	-6,466.000000
0.202833	0.640	-8,369.000000
0.213500	0.640	-12,112.000000
0.224167	0.640	-17,668.000000
0.234833	0.640	-19,097.000000
0.245500	0.640	-14,505.000000
0.256167	0.640	-9,435.000000
0.266833	0.640	-6,920.000000
0.277500	0.640	-7,660.000000
0.288167	0.640	-11,515.000000
0.298833	0.640	-13,551.000000
0.309500	0.640	-10,930.000000
0.320167	0.640	-8,321.000000
0.330833	0.640	-8,494.000000
0.341500	0.640	-7,222.000000
0.352167	0.640	-2,117.000000
0.362833	0.640	3,543.000000
0.373500	0.640	5,149.000000
0.384167	0.640	-126.000000
0.394833	0.640	-7,784.000000
0.405500	0.640	-9,499.000000
0.416167	0.640	-6,281.000000
0.426833	0.640	-4,424.000000
0.437500	0.640	-4,998.000000
0.448167	0.640	-7,210.000000
0.458833	0.640	-10,052.000000
0.469500	0.640	-11,437.000000
0.480167	0.640	-11,921.000000
0.490833	0.640	-12,616.000000
0.501500	0.640	-12,462.000000
0.512167	0.640	-11,340.000000
0.522833	0.640	-10,272.000000
0.533500	0.640	-10,344.000000
0.544167	0.640	-11,530.000000
0.554833	0.640	-11,655.000000
0.565500	0.640	-9,775.000000
0.576167	0.640	-6,289.000000
0.586833	0.640	-2,910.000000
0.597500	0.640	-2,997.000000
0.608167	0.640	-5,126.000000
0.618833	0.640	-6,242.000000
0.629500	0.640	-9,752.000000
0.640167	0.640	-16,733.000000
0.650833	0.640	-18,555.000000
0.661500	0.640	-11,543.000000
0.672167	0.640	-6,530.000000
0.682833	0.640	-10,052.000000
0.693500	0.640	-14,002.000000
0.704167	0.640	-14,713.000000
0.714833	0.640	-17,562.000000
0.725500	0.640	-19,318.000000
0.736167	0.640	-13,717.000000
0.746833	0.640	-7,779.000000
0.757500	0.640	-8,935.000000
0.768167	0.640	-12,716.000000
0.778833	0.640	-14,740.000000
0.789500	0.640	-16,347.000000
0.800167	0.640	-16,478.000000
0.810833	0.640	-11,517.000000
0.821500	0.640	-5,484.000000
0.832167	0.640	-5,784.000000
0.842833	0.640	-7,797.000000
0.853500	0.640	-4,328.000000
0.864167	0.640	-1,423.000000
0.874833	0.640	-5,027.000000
0.885500	0.640	-10,306.000000
0.896167	0.640	-12,978.000000
0.906833	0.640	-13,385.000000
0.917500	0.640	-12,935.000000
0.928167	0.640	-13,911.000000
0.938833	0.640	-16,249.000000
0.949500	0.640	-17,069.000000
0.960167	0.640	-15,969.000000
0.970833	0.640	-14,741.000000
0.981500	0.640	-13,409.000000
0.992167	0.640	-13,115.000000
1.002833	0.640	-15,470.000000
1.013500	0.640	-16,669.000000
1.024167	0.640	-14,481.000000
1.034833	0.640	-13,778.000000
1.045500	0.640	-16,565.000000
1.056167	0.640	-18,700.000000
1.066833	0.640	-18,065.000000
1.077500	0.640	-16,330.000000
1.088167	0.640	-13,637.000000
1.098833	0.640	-8,949.000000
1.109500	0.640	-5,315.000000
1.120167	0.640	-6,326.000000
1.130833	0.640	-7,389.000000
1.141500	0.640	-2,627.000000
1.152167	0.640	2,199.000000
1.162833	0.640	-1,026.000000
1.173500	0.640	-8,159.000000
1.184167	0.640	-12,098.000000
1.194833	0.640	-14,604.000000
1.205500	0.640	-17,611.000000
1.216167	0.640	-17,618.000000
1.226833	0.640	-14,378.000000
1.237500	0.640	-12,500.000000
1.248167	0.640	-14,424.000000
1.258833	0.640	-17,125.000000
1.269500	0.640	-17,153.000000
1.280167	0.640	-16,934.000000
1.290833	0.640	-19,357.000000
1.301500	0.640	-22,160.000000
1.312167	0.640	-22,720.000000
1.322833	0.640	-20,014.000000
1.333500	0.640	-15,665.000000
1.344167	0.640	-14,645.000000
1.354833	0.640	-15,808.000000
1.365500	0.640	-13,226.000000
1.376167	0.640	-9,876.000000
1.386833	0.640	-10,804.000000
1.397500	0.640	-13,199.000000
1.408167	0.640	-14,661.000000
1.418833	0.640	-15,183.000000
1.429500	0.640	-13,472.000000
1.440167	0.640	-10,669.000000
1.450833	0.640	-10,892.000000
1.461500	0.640	-14,440.000000
1.472167	0.640	-14,488.000000
1.482833	0.640	-8,900.000000
1.493500	0.640	-7,808.000000
1.504167	0.640	-15,133.000000
1.514833	0.640	-20,533.000000
1.525500	0.640	-19,518.000000
1.536167	0.640	-18,760.000000
1.546833	0.640	-20,921.000000
1.557500	0.640	-21,626.000000
1.568167	0.640	-18,944.000000
1.578833	0.640	-15,988.000000
1.589500	0.640	-15,138.000000
1.600167	0.640	-16,125.000000
1.610833	0.640	-17,790.000000
1.621500	0.640	-18,642.000000
1.632167	0.640	-18,639.000000
1.642833	0.640	-19,088.000000
1.653500	0.640	-20,223.000000
1.664167	0.640	-20,151.000000
1.674833	0.640	-17,706.000000
1.685500	0.640	-15,986.000000
1.696167	0.640	-16,384.000000
1.706833	0.640	-14,542.000000
1.717500	0.640	-9,862.000000
1.728167	0.640	-6,776.000000
1.738833	0.640	-6,674.000000
1.749500	0.640	-10,800.000000
1.760167	0.640	-17,613.000000
1.770833	0.640	-17,996.000000
1.781500	0.640	-11,669.000000
1.792167	0.640	-7,636.000000
1.802833	0.640	-5,169.000000
1.813500	0.640	-2,737.000000
1.824167	0.640	-5,436.000000
1.834833	0.640	-11,202.000000
1.845500	0.640	-13,815.000000
1.856167	0.640	-11,797.000000
1.866833	0.640	-7,226.000000
1.877500	0.640	-4,360.000000
1.888167	0.640	-4,285.000000
1.898833	0.640	-3,296.000000
1.909500	0.640	-1,685.000000
1.920167	0.640	-2,706.000000
1.930833	0.640	-3,558.000000
1.941500	0.640	-2,446.000000
1.952167	0.640	-4,498.000000
1.962833	0.640	-11,139.000000
1.973500	0.640	-16,297.000000
1.984167	0.640	-15,707.000000
1.994833	0.640	-12,655.000000
2.005500	0.640	-12,284.000000
2.016167	0.640	-13,806.000000
2.026833	0.640	-13,257.000000
2.037500	0.640	-11,308.000000
2.048167	0.640	-10,708.000000
2.058833	0.640	-10,574.000000
2.069500	0.640	-10,004.000000
2.080167	0.640	-10,840.000000
2.090833	0.640	-12,778.000000
2.101500	0.640	-11,844.000000
2.112167	0.640	-8,526.000000
2.122833	0.640	-7,626.000000
2.133500	0.640	-7,384.000000
2.144167	0.640	-4,085.000000
2.154833	0.640	-1,389.000000
2.165500	0.640	-2,946.000000
2.176167	0.640	-7,160.000000
2.186833	0.640	-11,053.000000
2.197500	0.640	-12,227.000000
2.208167	0.640	-11,869.000000
2.218833	0.640	-13,099.000000
2.229500	0.640	-13,237.000000
2.240167	0.640	-8,384.000000
2.250833	0.640	-2,097.000000
2.261500	0.640	900.000000
2.272167	0.640	2,696.000000
2.282833	0.640	7,664.000000
2.293500	0.640	13,563.000000
2.304167	0.640	14,816.000000
2.314833	0.640	11,441.000000
2.325500	0.640	7,381.000000
2.336167	0.640	5,283.000000
2.346833	0.640	3,385.000000
2.357500	0.640	-512.000000
2.368167	0.640	-3,163.000000
2.378833	0.640	-2,764.000000
2.389500	0.640	-2,774.000000
2.400167	0.640	-5,330.000000
2.410833	0.640	-8,448.000000
