File Path	chrom://nnfcb-l0495/ChromeleonLocal/20180320_AA_Lars Nielsen samples Vienna_lbpet.seq/203.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	Blank_IS_cleaning
Injection Number	56
Position	RB1
Comment	
Processing Method	20171024_Calculated with IS_lbpet
Instrument Method	20161104_AA_GeminiC18_Cleaning
Type	Unknown
Status	Finished
Injection Date	21-03-2018
Injection Time	20:06:02
Injection Volume (µl)	56.500
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.003883
Time Max. (min)	30.001550
Data Points	2813
Detector	FLD
Exporting Data System	Chromeleon 7.1.2.1478
Operator	
Signal Quantity	
Signal Unit	counts
Signal Min.	-3,013.000000
Signal Max.	128,615,712.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.640
Max. Step (s)	0.820
Average Step (s)	0.640

Signal Parameter Information:
Signal Info	340 nm /450 nm

Raw Data:
Time (min)	Step (s)	Value (counts)
0.003883	0.000	0.000000
0.017550	0.820	0.000000
0.028217	0.640	0.000000
0.038883	0.640	782.000000
0.049550	0.640	1,978.000000
0.060217	0.640	2,422.000000
0.070883	0.640	1,280.000000
0.081550	0.640	-228.000000
0.092217	0.640	-59.000000
0.102883	0.640	1,656.000000
0.113550	0.640	2,782.000000
0.124217	0.640	2,167.000000
0.134883	0.640	511.000000
0.145550	0.640	-765.000000
0.156217	0.640	-591.000000
0.166883	0.640	523.000000
0.177550	0.640	1,361.000000
0.188217	0.640	1,729.000000
0.198883	0.640	1,779.000000
0.209550	0.640	1,510.000000
0.220217	0.640	995.000000
0.230883	0.640	574.000000
0.241550	0.640	1,076.000000
0.252217	0.640	2,118.000000
0.262883	0.640	1,935.000000
0.273550	0.640	481.000000
0.284217	0.640	-137.000000
0.294883	0.640	1,014.000000
0.305550	0.640	1,968.000000
0.316217	0.640	978.000000
0.326883	0.640	-815.000000
0.337550	0.640	-1,570.000000
0.348217	0.640	-779.000000
0.358883	0.640	848.000000
0.369550	0.640	2,205.000000
0.380217	0.640	2,808.000000
0.390883	0.640	2,676.000000
0.401550	0.640	2,160.000000
0.412217	0.640	1,837.000000
0.422883	0.640	1,850.000000
0.433550	0.640	1,904.000000
0.444217	0.640	1,548.000000
0.454883	0.640	348.000000
0.465550	0.640	-906.000000
0.476217	0.640	-394.000000
0.486883	0.640	1,252.000000
0.497550	0.640	1,599.000000
0.508217	0.640	931.000000
0.518883	0.640	899.000000
0.529550	0.640	1,145.000000
0.540217	0.640	698.000000
0.550883	0.640	-5.000000
0.561550	0.640	144.000000
0.572217	0.640	1,171.000000
0.582883	0.640	1,681.000000
0.593550	0.640	557.000000
0.604217	0.640	-1,521.000000
0.614883	0.640	-2,538.000000
0.625550	0.640	-1,123.000000
0.636217	0.640	1,523.000000
0.646883	0.640	2,806.000000
0.657550	0.640	1,962.000000
0.668217	0.640	427.000000
0.678883	0.640	-168.000000
0.689550	0.640	511.000000
0.700217	0.640	1,386.000000
0.710883	0.640	1,591.000000
0.721550	0.640	1,400.000000
0.732217	0.640	844.000000
0.742883	0.640	-122.000000
0.753550	0.640	-264.000000
0.764217	0.640	1,119.000000
0.774883	0.640	2,748.000000
0.785550	0.640	3,708.000000
0.796217	0.640	4,153.000000
0.806883	0.640	3,619.000000
0.817550	0.640	2,392.000000
0.828217	0.640	2,257.000000
0.838883	0.640	2,964.000000
0.849550	0.640	2,269.000000
0.860217	0.640	152.000000
0.870883	0.640	-1,238.000000
0.881550	0.640	-866.000000
0.892217	0.640	66.000000
0.902883	0.640	164.000000
0.913550	0.640	-210.000000
0.924217	0.640	-310.000000
0.934883	0.640	-207.000000
0.945550	0.640	-179.000000
0.956217	0.640	-396.000000
0.966883	0.640	-476.000000
0.977550	0.640	7.000000
0.988217	0.640	587.000000
0.998883	0.640	566.000000
1.009550	0.640	191.000000
1.020217	0.640	678.000000
1.030883	0.640	1,995.000000
1.041550	0.640	2,223.000000
1.052217	0.640	940.000000
1.062883	0.640	150.000000
1.073550	0.640	679.000000
1.084217	0.640	1,119.000000
1.094883	0.640	660.000000
1.105550	0.640	-356.000000
1.116217	0.640	-1,503.000000
1.126883	0.640	-1,885.000000
1.137550	0.640	-922.000000
1.148217	0.640	825.000000
1.158883	0.640	2,245.000000
1.169550	0.640	2,246.000000
1.180217	0.640	1,253.000000
1.190883	0.640	826.000000
1.201550	0.640	796.000000
1.212217	0.640	291.000000
1.222883	0.640	-41.000000
1.233550	0.640	-94.000000
1.244217	0.640	-380.000000
1.254883	0.640	-584.000000
1.265550	0.640	-1,006.000000
1.276217	0.640	-1,278.000000
1.286883	0.640	336.000000
1.297550	0.640	3,266.000000
1.308217	0.640	4,533.000000
1.318883	0.640	3,315.000000
1.329550	0.640	2,065.000000
1.340217	0.640	1,947.000000
1.350883	0.640	1,501.000000
1.361550	0.640	131.000000
1.372217	0.640	-1,217.000000
1.382883	0.640	-1,652.000000
1.393550	0.640	-1,464.000000
1.404217	0.640	-1,257.000000
1.414883	0.640	-414.000000
1.425550	0.640	735.000000
1.436217	0.640	326.000000
1.446883	0.640	-1,576.000000
1.457550	0.640	-3,013.000000
1.468217	0.640	-2,928.000000
1.478883	0.640	-1,529.000000
1.489550	0.640	318.000000
1.500217	0.640	1,327.000000
1.510883	0.640	1,152.000000
1.521550	0.640	897.000000
1.532217	0.640	1,429.000000
1.542883	0.640	2,514.000000
1.553550	0.640	3,403.000000
1.564217	0.640	3,356.000000
1.574883	0.640	2,102.000000
1.585550	0.640	381.000000
1.596217	0.640	-36.000000
1.606883	0.640	1,704.000000
1.617550	0.640	3,743.000000
1.628217	0.640	4,008.000000
1.638883	0.640	2,790.000000
1.649550	0.640	1,242.000000
1.660217	0.640	337.000000
1.670883	0.640	665.000000
1.681550	0.640	1,269.000000
1.692217	0.640	1,162.000000
1.702883	0.640	1,189.000000
1.713550	0.640	1,651.000000
1.724217	0.640	1,423.000000
1.734883	0.640	781.000000
1.745550	0.640	1,044.000000
1.756217	0.640	1,956.000000
1.766883	0.640	2,383.000000
1.777550	0.640	2,443.000000
1.788217	0.640	3,086.000000
1.798883	0.640	3,874.000000
1.809550	0.640	3,279.000000
1.820217	0.640	1,596.000000
1.830883	0.640	741.000000
1.841550	0.640	1,016.000000
1.852217	0.640	1,169.000000
1.862883	0.640	784.000000
1.873550	0.640	278.000000
1.884217	0.640	79.000000
1.894883	0.640	499.000000
1.905550	0.640	1,292.000000
1.916217	0.640	1,885.000000
1.926883	0.640	1,987.000000
1.937550	0.640	1,707.000000
1.948217	0.640	1,334.000000
1.958883	0.640	670.000000
1.969550	0.640	-389.000000
1.980217	0.640	-580.000000
1.990883	0.640	751.000000
2.001550	0.640	1,747.000000
2.012217	0.640	915.000000
2.022883	0.640	-572.000000
2.033550	0.640	-880.000000
2.044217	0.640	-111.000000
2.054883	0.640	431.000000
2.065550	0.640	834.000000
2.076217	0.640	2,022.000000
2.086883	0.640	3,381.000000
2.097550	0.640	3,235.000000
2.108217	0.640	1,488.000000
2.118883	0.640	401.000000
2.129550	0.640	1,229.000000
2.140217	0.640	2,110.000000
2.150883	0.640	1,829.000000
2.161550	0.640	1,571.000000
2.172217	0.640	1,907.000000
2.182883	0.640	2,087.000000
2.193550	0.640	1,489.000000
2.204217	0.640	739.000000
2.214883	0.640	870.000000
2.225550	0.640	1,398.000000
2.236217	0.640	1,554.000000
2.246883	0.640	1,627.000000
2.257550	0.640	1,667.000000
2.268217	0.640	1,471.000000
2.278883	0.640	1,467.000000
2.289550	0.640	1,762.000000
2.300217	0.640	1,728.000000
2.310883	0.640	1,664.000000
2.321550	0.640	2,185.000000
2.332217	0.640	2,068.000000
2.342883	0.640	474.000000
2.353550	0.640	-693.000000
2.364217	0.640	165.000000
2.374883	0.640	1,647.000000
2.385550	0.640	1,753.000000
2.396217	0.640	1,047.000000
2.406883	0.640	1,660.000000
2.417550	0.640	3,579.000000
2.428217	0.640	4,142.000000
2.438883	0.640	2,477.000000
2.449550	0.640	1,262.000000
2.460217	0.640	1,867.000000
2.470883	0.640	2,267.000000
2.481550	0.640	1,445.000000
2.492217	0.640	686.000000
2.502883	0.640	405.000000
2.513550	0.640	222.000000
2.524217	0.640	775.000000
2.534883	0.640	1,987.000000
2.545550	0.640	2,023.000000
2.556217	0.640	841.000000
2.566883	0.640	1,019.000000
2.577550	0.640	2,920.000000
2.588217	0.640	3,713.000000
2.598883	0.640	2,407.000000
2.609550	0.640	1,509.000000
2.620217	0.640	2,618.000000
2.630883	0.640	4,120.000000
2.641550	0.640	4,136.000000
2.652217	0.640	2,963.000000
2.662883	0.640	2,351.000000
2.673550	0.640	2,817.000000
2.684217	0.640	2,890.000000
2.694883	0.640	2,417.000000
2.705550	0.640	2,872.000000
2.716217	0.640	4,200.000000
2.726883	0.640	5,101.000000
2.737550	0.640	4,912.000000
2.748217	0.640	3,971.000000
2.758883	0.640	3,351.000000
2.769550	0.640	3,779.000000
2.780217	0.640	4,421.000000
2.790883	0.640	3,999.000000
2.801550	0.640	3,597.000000
2.812217	0.640	5,458.000000
2.822883	0.640	8,790.000000
2.833550	0.640	12,427.000000
2.844217	0.640	19,667.000000
2.854883	0.640	33,144.000000
2.865550	0.640	48,523.000000
2.876217	0.640	57,884.000000
2.886883	0.640	57,110.000000
2.897550	0.640	49,956.000000
2.908217	0.640	43,476.000000
2.918883	0.640	39,828.000000
2.929550	0.640	37,829.000000
2.940217	0.640	37,049.000000
2.950883	0.640	36,229.000000
2.961550	0.640	34,621.000000
2.972217	0.640	32,434.000000
2.982883	0.640	28,148.000000
2.993550	0.640	21,448.000000
3.004217	0.640	14,898.000000
3.014883	0.640	9,943.000000
3.025550	0.640	6,617.000000
3.036217	0.640	5,005.000000
3.046883	0.640	4,412.000000
3.057550	0.640	4,089.000000
3.068217	0.640	3,514.000000
3.078883	0.640	2,208.000000
3.089550	0.640	1,350.000000
3.100217	0.640	1,932.000000
3.110883	0.640	2,674.000000
3.121550	0.640	2,891.000000
3.132217	0.640	3,044.000000
3.142883	0.640	2,987.000000
3.153550	0.640	2,652.000000
3.164217	0.640	2,472.000000
3.174883	0.640	2,364.000000
3.185550	0.640	1,866.000000
3.196217	0.640	1,851.000000
3.206883	0.640	3,156.000000
3.217550	0.640	4,245.000000
3.228217	0.640	3,766.000000
3.238883	0.640	2,620.000000
3.249550	0.640	2,232.000000
3.260217	0.640	2,952.000000
3.270883	0.640	3,730.000000
3.281550	0.640	3,311.000000
3.292217	0.640	2,152.000000
3.302883	0.640	1,940.000000
3.313550	0.640	2,784.000000
3.324217	0.640	3,107.000000
3.334883	0.640	2,652.000000
3.345550	0.640	2,523.000000
3.356217	0.640	2,684.000000
3.366883	0.640	2,594.000000
3.377550	0.640	2,920.000000
3.388217	0.640	4,151.000000
3.398883	0.640	5,284.000000
3.409550	0.640	5,274.000000
3.420217	0.640	4,482.000000
3.430883	0.640	3,756.000000
3.441550	0.640	3,188.000000
3.452217	0.640	2,639.000000
3.462883	0.640	2,307.000000
3.473550	0.640	2,304.000000
3.484217	0.640	2,563.000000
3.494883	0.640	2,968.000000
3.505550	0.640	3,092.000000
3.516217	0.640	2,666.000000
3.526883	0.640	2,097.000000
3.537550	0.640	1,511.000000
3.548217	0.640	794.000000
3.558883	0.640	140.000000
3.569550	0.640	-670.000000
3.580217	0.640	-1,185.000000
3.590883	0.640	-155.000000
3.601550	0.640	1,875.000000
3.612217	0.640	3,190.000000
3.622883	0.640	3,345.000000
3.633550	0.640	3,258.000000
3.644217	0.640	3,263.000000
3.654883	0.640	2,627.000000
3.665550	0.640	1,624.000000
3.676217	0.640	1,132.000000
3.686883	0.640	1,290.000000
3.697550	0.640	1,824.000000
3.708217	0.640	1,863.000000
3.718883	0.640	915.000000
3.729550	0.640	-223.000000
3.740217	0.640	-805.000000
3.750883	0.640	-887.000000
3.761550	0.640	-418.000000
3.772217	0.640	1,134.000000
3.782883	0.640	3,454.000000
3.793550	0.640	4,908.000000
3.804217	0.640	4,451.000000
3.814883	0.640	3,058.000000
3.825550	0.640	2,532.000000
3.836217	0.640	3,063.000000
3.846883	0.640	3,105.000000
3.857550	0.640	2,115.000000
3.868217	0.640	1,207.000000
3.878883	0.640	710.000000
3.889550	0.640	42.000000
3.900217	0.640	-358.000000
3.910883	0.640	137.000000
3.921550	0.640	981.000000
3.932217	0.640	1,615.000000
3.942883	0.640	2,119.000000
3.953550	0.640	2,310.000000
3.964217	0.640	1,730.000000
3.974883	0.640	702.000000
3.985550	0.640	348.000000
3.996217	0.640	942.000000
4.006883	0.640	1,228.000000
4.017550	0.640	581.000000
4.028217	0.640	646.000000
4.038883	0.640	2,122.000000
4.049550	0.640	2,882.000000
4.060217	0.640	2,254.000000
4.070883	0.640	1,857.000000
4.081550	0.640	1,935.000000
4.092217	0.640	1,759.000000
4.102883	0.640	1,142.000000
4.113550	0.640	-13.000000
4.124217	0.640	-967.000000
4.134883	0.640	-794.000000
4.145550	0.640	-192.000000
4.156217	0.640	7.000000
4.166883	0.640	54.000000
4.177550	0.640	432.000000
4.188217	0.640	1,342.000000
4.198883	0.640	2,110.000000
4.209550	0.640	2,094.000000
4.220217	0.640	1,878.000000
4.230883	0.640	1,961.000000
4.241550	0.640	2,034.000000
4.252217	0.640	1,618.000000
4.262883	0.640	730.000000
4.273550	0.640	235.000000
4.284217	0.640	454.000000
4.294883	0.640	910.000000
4.305550	0.640	1,521.000000
4.316217	0.640	2,177.000000
4.326883	0.640	2,509.000000
4.337550	0.640	2,066.000000
4.348217	0.640	720.000000
4.358883	0.640	-397.000000
4.369550	0.640	-22.000000
4.380217	0.640	1,007.000000
4.390883	0.640	1,153.000000
4.401550	0.640	1,242.000000
4.412217	0.640	2,346.000000
4.422883	0.640	2,911.000000
4.433550	0.640	1,701.000000
4.444217	0.640	551.000000
4.454883	0.640	1,535.000000
4.465550	0.640	3,706.000000
4.476217	0.640	4,456.000000
4.486883	0.640	2,382.000000
4.497550	0.640	-1,091.000000
4.508217	0.640	-2,593.000000
4.518883	0.640	-918.000000
4.529550	0.640	1,695.000000
4.540217	0.640	3,478.000000
4.550883	0.640	4,742.000000
4.561550	0.640	5,367.000000
4.572217	0.640	4,316.000000
4.582883	0.640	1,817.000000
4.593550	0.640	-406.000000
4.604217	0.640	-1,080.000000
4.614883	0.640	-689.000000
4.625550	0.640	-473.000000
4.636217	0.640	-331.000000
4.646883	0.640	468.000000
4.657550	0.640	1,086.000000
4.668217	0.640	690.000000
4.678883	0.640	809.000000
4.689550	0.640	2,343.000000
4.700217	0.640	3,105.000000
4.710883	0.640	2,027.000000
4.721550	0.640	1,099.000000
4.732217	0.640	1,474.000000
4.742883	0.640	2,214.000000
4.753550	0.640	2,413.000000
4.764217	0.640	2,001.000000
4.774883	0.640	1,146.000000
4.785550	0.640	244.000000
4.796217	0.640	220.000000
4.806883	0.640	1,496.000000
4.817550	0.640	3,117.000000
4.828217	0.640	3,950.000000
4.838883	0.640	3,863.000000
4.849550	0.640	3,669.000000
4.860217	0.640	3,985.000000
4.870883	0.640	4,311.000000
4.881550	0.640	4,155.000000
4.892217	0.640	3,595.000000
4.902883	0.640	2,657.000000
4.913550	0.640	1,819.000000
4.924217	0.640	2,006.000000
4.934883	0.640	2,950.000000
4.945550	0.640	3,326.000000
4.956217	0.640	3,257.000000
4.966883	0.640	3,814.000000
4.977550	0.640	4,497.000000
4.988217	0.640	4,449.000000
4.998883	0.640	4,325.000000
5.009550	0.640	4,735.000000
5.020217	0.640	5,137.000000
5.030883	0.640	5,146.000000
5.041550	0.640	4,907.000000
5.052217	0.640	4,256.000000
5.062883	0.640	3,244.000000
5.073550	0.640	3,123.000000
5.084217	0.640	4,954.000000
5.094883	0.640	7,242.000000
5.105550	0.640	7,317.000000
5.116217	0.640	5,183.000000
5.126883	0.640	3,199.000000
5.137550	0.640	2,483.000000
5.148217	0.640	2,694.000000
5.158883	0.640	3,779.000000
5.169550	0.640	5,200.000000
5.180217	0.640	5,646.000000
5.190883	0.640	5,368.000000
5.201550	0.640	5,818.000000
5.212217	0.640	6,558.000000
5.222883	0.640	6,027.000000
5.233550	0.640	4,230.000000
5.244217	0.640	2,710.000000
5.254883	0.640	2,902.000000
5.265550	0.640	4,290.000000
5.276217	0.640	5,155.000000
5.286883	0.640	5,317.000000
5.297550	0.640	5,411.000000
5.308217	0.640	4,790.000000
5.318883	0.640	3,139.000000
5.329550	0.640	2,020.000000
5.340217	0.640	2,773.000000
5.350883	0.640	4,112.000000
5.361550	0.640	3,954.000000
5.372217	0.640	3,204.000000
5.382883	0.640	4,034.000000
5.393550	0.640	5,524.000000
5.404217	0.640	5,328.000000
5.414883	0.640	4,394.000000
5.425550	0.640	5,589.000000
5.436217	0.640	7,833.000000
5.446883	0.640	7,528.000000
5.457550	0.640	5,263.000000
5.468217	0.640	4,175.000000
5.478883	0.640	4,448.000000
5.489550	0.640	4,499.000000
5.500217	0.640	4,100.000000
5.510883	0.640	4,254.000000
5.521550	0.640	5,461.000000
5.532217	0.640	6,620.000000
5.542883	0.640	6,022.000000
5.553550	0.640	3,929.000000
5.564217	0.640	2,690.000000
5.574883	0.640	3,194.000000
5.585550	0.640	4,167.000000
5.596217	0.640	4,987.000000
5.606883	0.640	5,697.000000
5.617550	0.640	6,132.000000
5.628217	0.640	7,126.000000
5.638883	0.640	8,797.000000
5.649550	0.640	9,046.000000
5.660217	0.640	8,005.000000
5.670883	0.640	8,333.000000
5.681550	0.640	10,043.000000
5.692217	0.640	11,249.000000
5.702883	0.640	11,166.000000
5.713550	0.640	10,031.000000
5.724217	0.640	8,918.000000
5.734883	0.640	8,565.000000
5.745550	0.640	8,235.000000
5.756217	0.640	7,579.000000
5.766883	0.640	7,594.000000
5.777550	0.640	8,544.000000
5.788217	0.640	9,463.000000
5.798883	0.640	9,753.000000
5.809550	0.640	9,656.000000
5.820217	0.640	9,588.000000
5.830883	0.640	9,546.000000
5.841550	0.640	9,738.000000
5.852217	0.640	10,860.000000
5.862883	0.640	12,792.000000
5.873550	0.640	14,244.000000
5.884217	0.640	14,126.000000
5.894883	0.640	13,049.000000
5.905550	0.640	12,729.000000
5.916217	0.640	14,589.000000
5.926883	0.640	19,638.000000
5.937550	0.640	27,394.000000
5.948217	0.640	35,951.000000
5.958883	0.640	42,704.000000
5.969550	0.640	43,027.000000
5.980217	0.640	34,409.000000
5.990883	0.640	22,041.000000
6.001550	0.640	13,421.000000
6.012217	0.640	10,443.000000
6.022883	0.640	10,337.000000
6.033550	0.640	10,223.000000
6.044217	0.640	9,177.000000
6.054883	0.640	8,053.000000
6.065550	0.640	7,679.000000
6.076217	0.640	7,583.000000
6.086883	0.640	7,143.000000
6.097550	0.640	6,730.000000
6.108217	0.640	6,787.000000
6.118883	0.640	6,778.000000
6.129550	0.640	6,409.000000
6.140217	0.640	6,517.000000
6.150883	0.640	7,098.000000
6.161550	0.640	7,243.000000
6.172217	0.640	7,127.000000
6.182883	0.640	6,660.000000
6.193550	0.640	5,151.000000
6.204217	0.640	3,668.000000
6.214883	0.640	3,323.000000
6.225550	0.640	3,517.000000
6.236217	0.640	4,023.000000
6.246883	0.640	4,886.000000
6.257550	0.640	5,523.000000
6.268217	0.640	5,952.000000
6.278883	0.640	6,245.000000
6.289550	0.640	5,882.000000
6.300217	0.640	5,200.000000
