ProteinName,FullPeptideName,transition_group_id,transition_name,RetentionTime,Annotation,PrecursorMz,MS1 Res,ProductMz,MS2 Res,Dwell,Fragmentor,Collision Energy,Cell Accelerator Voltage,LibraryIntensity,decoy,PeptideSequence,LabelType,PrecursorCharge,FragmentCharge,FragmentType,FragmentSeriesNumber,quantifying_transition,identifying_transition,detecting_transition
Aspartate,,Aspartate,Aspartate,3.154,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Glutamate,,Glutamate,Glutamate,4.732,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Cysteine,,Cysteine,Cysteine,6.439,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Asparagine,,Asparagine,Asparagine,7.932,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Serine,,Serine,Serine,8.754,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Glutamine,,Glutamine,Glutamine,9.692,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Histidine,,Histidine,Histidine,10.066,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Glycine,,Glycine,Glycine,11.09,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Threonine,,Threonine,Threonine,11.335,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Arginine,,Arginine,Arginine,11.996,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Alanine,,Alanine,Alanine,13.959,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Tyrosine,,Tyrosine,Tyrosine,15.9,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
