component_group_name,component_name,meta_value,1000ug,100ug,2500ug,250ug,5000ug,500ug,50ug,750ug
5-HTP,5-HTP,calculated_concentration,970.914692575,107.50093477,nan,262.486010242,nan,503.165379815,46.2635621009,735.007862245
5-hydroxyindole,5-hydroxyindole,calculated_concentration,nan,nan,nan,nan,nan,nan,0.990128159523,nan
Acetylserotonin,Acetylserotonin,calculated_concentration,972.760112641,110.170725688,nan,259.666131634,nan,501.250841238,45.6615417395,735.95002186
Acetyltryptamine,Acetyltryptamine,calculated_concentration,1011.61305796,100.750485575,2471.09724235,249.921869361,1141.27505121,500.071635352,49.5321501802,751.633651289
Indole,Indole,calculated_concentration,nan,nan,nan,nan,0.0574736073613,nan,1.20300650597,nan
Melatonin,Melatonin,calculated_concentration,1007.94117131,104.78266902,2421.58933628,255.571408241,857.952378906,504.824926972,47.1604593046,753.052177969
Riboflavin,Riboflavin,calculated_concentration,1098.80778029,78.3780198044,nan,221.604866649,nan,491.869440394,63.7307559848,783.514545238
Serotonin,Serotonin,calculated_concentration,968.926883403,110.106992867,nan,262.547233839,nan,500.548457701,45.4676471755,735.32497586
Tryptamine,Tryptamine,calculated_concentration,1021.84870762,95.463293541,2512.35307518,244.767970536,nan,496.586178011,52.4920223197,749.436918725
Tryptophan,Tryptophan,calculated_concentration,1013.87960429,103.663250924,2408.84661465,256.435416359,nan,506.434534153,47.3695643375,752.41981237
