transition_group_id,run_id,filename,RT,id,Sequence,FullPeptideName,Charge,Intensity,ProteinName,decoy,total_xic,PeptideRef,leftWidth,rightWidth,peak_apices_sum,var_xcorr_coelution,var_xcorr_coelution_weighted,var_xcorr_shape,var_xcorr_shape_weighted,delta_rt,assay_rt,norm_RT,rt_score,var_norm_rt_score,var_intensity_score,nr_peaks,sn_ratio,var_log_sn_score,var_elution_model_fit_score,main_var_xx_lda_prelim_score,xx_lda_prelim_score,QC_transition_group_score,QC_transition_group_pass,QC_transition_group_message,MZ,peak_apex_position,native_id,peak_apex_int,total_xic,width_at_5,width_at_10,width_at_50,start_position_at_5,start_position_at_10,start_position_at_50,end_position_at_5,end_position_at_10,end_position_at_50,total_width,tailing_factor,asymmetry_factor,slope_of_baseline,baseline_delta_2_height,points_across_baseline,points_across_half_height,logSN,FeatureLevel,QC_transition_score,QC_transition_pass,QC_transition_message,PrecursorMZ,peak_area
b'5-HTP',2p5ug,2p5ug,1.1235894535522464,15248794430321707546,b'',NA,1,0.0,b'5-HTP',0,-1948.1392399999975,5-HTP,1.0833330154418945,1.1866669654846191,0.0,0.0,0.0,1.0,1.0,-0.9164105464477537,2.04,1.1235894535522464,0.9164105464477537,0.009164105464477537,0.0,2.0,32.990598,3.4962226117812656,-0.1086401492357254,8.410189440932983,8.410189440932983,0.8888888888888888,0,retention_time,0.0,1.123333,5-HTP,32.2462447991989,-1948.1392399999975,0.09333299999999989,0.08333299999999988,0.046667000000000014,1.086667,1.09,1.103333,1.18,1.173333,1.15,0.09666599999999992,1.272745868106696,1.5000150001500103,-0.5853412857213836,-0.018152231038571207,30,13,3.4962226117812656,MS2,0.9166666666666666,0,metaValue[total_width],0.0,1.5022109746932983
b'5-HTP',2p5ug,2p5ug,1.1235894535522464,15248794430321707546,b'',NA,1,0.0,b'5-HTP',0,-1948.1392399999975,5-HTP,1.0833330154418945,1.1866669654846191,0.0,0.0,0.0,1.0,1.0,-0.9164105464477537,2.04,1.1235894535522464,0.9164105464477537,0.009164105464477537,0.0,2.0,32.990598,3.4962226117812656,-0.1086401492357254,8.410189440932983,8.410189440932983,0.8888888888888888,0,retention_time,0.0,1.123333,5-HTP2,32.2462447991989,-1948.1392399999975,0.09333299999999989,0.08333299999999988,0.046667000000000014,1.086667,1.09,1.103333,1.18,1.173333,1.15,0.09666599999999992,1.272745868106696,1.5000150001500103,-0.5853412857213836,-0.018152231038571207,30,13,3.4962226117812656,MS2,0.9166666666666666,0,metaValue[total_width],0.0,1.5022109746932983
b'5-hydroxyindole',2p5ug,2p5ug,1.1235894535522464,2570986266392607641,b'',NA,1,0.0,b'5-hydroxyindole',0,-1948.1392399999975,5-hydroxyindole,1.0833330154418945,1.1866669654846191,0.0,0.0,0.0,1.0,1.0,-4.526410546447754,5.65,1.1235894535522464,4.526410546447754,0.04526410546447754,0.0,2.0,32.990598,3.4962226117812656,-0.1086401492357254,8.155505246308984,8.155505246308984,0.8888888888888888,0,retention_time,0.0,1.123333,5-hydroxyindole,32.2462447991989,-1948.1392399999975,0.09333299999999989,0.08333299999999988,0.046667000000000014,1.086667,1.09,1.103333,1.18,1.173333,1.15,0.09666599999999992,1.272745868106696,1.5000150001500103,-0.5853412857213836,-0.018152231038571207,30,13,3.4962226117812656,MS2,0.9166666666666666,0,metaValue[total_width],0.0,1.5022109746932983
b'5-hydroxyindole',2p5ug,2p5ug,1.1235894535522464,2570986266392607641,b'',NA,1,0.0,b'5-hydroxyindole',0,-1948.1392399999975,5-hydroxyindole,1.0833330154418945,1.1866669654846191,0.0,0.0,0.0,1.0,1.0,-4.526410546447754,5.65,1.1235894535522464,4.526410546447754,0.04526410546447754,0.0,2.0,32.990598,3.4962226117812656,-0.1086401492357254,8.155505246308984,8.155505246308984,0.8888888888888888,0,retention_time,0.0,1.123333,5-hydroxyindole2,32.2462447991989,-1948.1392399999975,0.09333299999999989,0.08333299999999988,0.046667000000000014,1.086667,1.09,1.103333,1.18,1.173333,1.15,0.09666599999999992,1.272745868106696,1.5000150001500103,-0.5853412857213836,-0.018152231038571207,30,13,3.4962226117812656,MS2,0.9166666666666666,0,metaValue[total_width],0.0,1.5022109746932983
b'Acetylserotonin',2p5ug,2p5ug,1.1235894535522464,11284387299813148970,b'',NA,1,0.0,b'Acetylserotonin',0,-1948.1392399999975,Acetylserotonin,1.0833330154418945,1.1866669654846191,0.0,0.0,0.0,1.0,1.0,-3.946410546447754,5.07,1.1235894535522464,3.946410546447754,0.03946410546447754,0.0,2.0,32.990598,3.4962226117812656,-0.1086401492357254,8.196424036580982,8.196424036580982,0.8888888888888888,0,retention_time,0.0,1.123333,Acetylserotonin,32.2462447991989,-1948.1392399999975,0.09333299999999989,0.08333299999999988,0.046667000000000014,1.086667,1.09,1.103333,1.18,1.173333,1.15,0.09666599999999992,1.272745868106696,1.5000150001500103,-0.5853412857213836,-0.018152231038571207,30,13,3.4962226117812656,MS2,0.9166666666666666,0,metaValue[total_width],0.0,1.5022109746932983
b'Acetylserotonin',2p5ug,2p5ug,1.1235894535522464,11284387299813148970,b'',NA,1,0.0,b'Acetylserotonin',0,-1948.1392399999975,Acetylserotonin,1.0833330154418945,1.1866669654846191,0.0,0.0,0.0,1.0,1.0,-3.946410546447754,5.07,1.1235894535522464,3.946410546447754,0.03946410546447754,0.0,2.0,32.990598,3.4962226117812656,-0.1086401492357254,8.196424036580982,8.196424036580982,0.8888888888888888,0,retention_time,0.0,1.123333,Acetylserotonin2,32.2462447991989,-1948.1392399999975,0.09333299999999989,0.08333299999999988,0.046667000000000014,1.086667,1.09,1.103333,1.18,1.173333,1.15,0.09666599999999992,1.272745868106696,1.5000150001500103,-0.5853412857213836,-0.018152231038571207,30,13,3.4962226117812656,MS2,0.9166666666666666,0,metaValue[total_width],0.0,1.5022109746932983
b'Acetyltryptamine',2p5ug,2p5ug,1.1235894535522464,3237146364969776882,b'',NA,1,0.0,b'Acetyltryptamine',0,-1948.1392399999975,Acetyltryptamine,1.0833330154418945,1.1866669654846191,0.0,0.0,0.0,1.0,1.0,-6.1764105464477534,7.3,1.1235894535522464,6.1764105464477534,0.06176410546447753,0.0,2.0,32.990598,3.4962226117812656,-0.1086401492357254,8.039098342948982,8.039098342948982,0.8888888888888888,0,retention_time,0.0,1.123333,Acetyltryptamine,32.2462447991989,-1948.1392399999975,0.09333299999999989,0.08333299999999988,0.046667000000000014,1.086667,1.09,1.103333,1.18,1.173333,1.15,0.09666599999999992,1.272745868106696,1.5000150001500103,-0.5853412857213836,-0.018152231038571207,30,13,3.4962226117812656,MS2,0.9166666666666666,0,metaValue[total_width],0.0,1.5022109746932983
b'Acetyltryptamine',2p5ug,2p5ug,1.1235894535522464,3237146364969776882,b'',NA,1,0.0,b'Acetyltryptamine',0,-1948.1392399999975,Acetyltryptamine,1.0833330154418945,1.1866669654846191,0.0,0.0,0.0,1.0,1.0,-6.1764105464477534,7.3,1.1235894535522464,6.1764105464477534,0.06176410546447753,0.0,2.0,32.990598,3.4962226117812656,-0.1086401492357254,8.039098342948982,8.039098342948982,0.8888888888888888,0,retention_time,0.0,1.123333,Acetyltryptamine2,32.2462447991989,-1948.1392399999975,0.09333299999999989,0.08333299999999988,0.046667000000000014,1.086667,1.09,1.103333,1.18,1.173333,1.15,0.09666599999999992,1.272745868106696,1.5000150001500103,-0.5853412857213836,-0.018152231038571207,30,13,3.4962226117812656,MS2,0.9166666666666666,0,metaValue[total_width],0.0,1.5022109746932983
b'Antranilicacid',2p5ug,2p5ug,1.1235894535522464,6986709995461652628,b'',NA,1,0.0,b'Antranilicacid',0,-1948.1392399999975,Antranilicacid,1.0833330154418945,1.1866669654846191,0.0,0.0,0.0,1.0,1.0,-5.186410546447753,6.31,1.1235894535522464,5.186410546447753,0.05186410546447753,0.0,2.0,32.990598,3.4962226117812656,-0.1086401492357254,8.108942484964983,8.108942484964983,0.8888888888888888,0,retention_time,0.0,1.123333,Antranilicacid,32.2462447991989,-1948.1392399999975,0.09333299999999989,0.08333299999999988,0.046667000000000014,1.086667,1.09,1.103333,1.18,1.173333,1.15,0.09666599999999992,1.272745868106696,1.5000150001500103,-0.5853412857213836,-0.018152231038571207,30,13,3.4962226117812656,MS2,0.9166666666666666,0,metaValue[total_width],0.0,1.5022109746932983
b'Antranilicacid',2p5ug,2p5ug,1.1235894535522464,6986709995461652628,b'',NA,1,0.0,b'Antranilicacid',0,-1948.1392399999975,Antranilicacid,1.0833330154418945,1.1866669654846191,0.0,0.0,0.0,1.0,1.0,-5.186410546447753,6.31,1.1235894535522464,5.186410546447753,0.05186410546447753,0.0,2.0,32.990598,3.4962226117812656,-0.1086401492357254,8.108942484964983,8.108942484964983,0.8888888888888888,0,retention_time,0.0,1.123333,Antranilicacid2,32.2462447991989,-1948.1392399999975,0.09333299999999989,0.08333299999999988,0.046667000000000014,1.086667,1.09,1.103333,1.18,1.173333,1.15,0.09666599999999992,1.272745868106696,1.5000150001500103,-0.5853412857213836,-0.018152231038571207,30,13,3.4962226117812656,MS2,0.9166666666666666,0,metaValue[total_width],0.0,1.5022109746932983
