component_group_name,component_name,meta_value,20171013_HMP_C61_ISO_P1_GA1_UV_VIS_2,20171013_HMP_C61_ISO_P1_GA2_UV_VIS_2,20171013_HMP_C61_ISO_P1_GA3_UV_VIS_2,20171013_HMP_C61_ISO_P1_GA4_UV_VIS_2,20171013_HMP_C61_ISO_P1_GA5_UV_VIS_2,20171013_HMP_C61_ISO_P1_GA6_UV_VIS_2,20171013_HMP_C61_ISO_P1_GA7_UV_VIS_2,20171013_HMP_C61_ISO_P1_GA8_UV_VIS_2,20171013_HMP_C61_ISO_P1_GA9_UV_VIS_2
5-HTP,5-HTP,calculated_concentration,79.6090854885,95.6870570078,126.207395454,197.081258701,259.46397318,43.7178280014,63.7156176752,99.0901921126,132.490358858
5-hydroxyindole,5-hydroxyindole,calculated_concentration,0.0578522868454,0.0621116794646,0.0818986222148,0.117589019239,0.0492369830608,0.0528275519609,0.0723734125495,0.0813374370337,0.0815753415227
Acetylserotonin,Acetylserotonin,calculated_concentration,5.23478913764,5.58633951904,7.19471507245,10.0170604062,214.871767396,4.81721431161,6.42516141818,7.14959617395,6.2026461745
Acetyltryptamine,Acetyltryptamine,calculated_concentration,4.03186833911,4.52610964043,4.96967419008,7.83708797154,9.66161356608,6.03085976114,8.16051537238,8.61046192483,8.16173434414
Antranilicacid,Antranilicacid,calculated_concentration,nan,nan,nan,nan,0.0418295748532,nan,nan,nan,nan
Melatonin,Melatonin,calculated_concentration,337.624426519,402.338493359,509.197672671,635.048840847,721.517090104,255.844280002,308.665169758,374.349220441,417.870880667
Riboflavin,Riboflavin,calculated_concentration,1.95059886743,2.11051230561,2.86813073051,4.28384239299,8.48245936906,1.76360518513,2.50058143558,2.84634104154,2.85557639624
Serotonin,Serotonin,calculated_concentration,3.70722733302,4.75433694929,4.96140057728,8.59431513517,17.2378142758,2.83686902229,4.31853823655,4.83138154833,5.2296702108
Tryptamine,Tryptamine,calculated_concentration,2.74768735367,3.3476079857,6.62866583731,11.4869575732,23.1352906777,1.95896358832,3.76114783651,6.77156704737,11.0668828045
Tryptophan,Tryptophan,calculated_concentration,431.059497657,472.993783347,563.080408055,689.447090703,925.890103816,464.296437059,554.691825507,699.45454045,918.579943577
