transition_group_id,run_id,filename,RT,id,Sequence,FullPeptideName,Charge,Intensity,ProteinName,decoy,potentialOutlier,initialPeakQuality,PeptideRef,leftWidth,rightWidth,total_xic,peak_apices_sum,var_xcorr_coelution,var_xcorr_coelution_weighted,var_xcorr_shape,var_xcorr_shape_weighted,delta_rt,assay_rt,norm_RT,rt_score,var_norm_rt_score,var_intensity_score,nr_peaks,sn_ratio,var_log_sn_score,var_elution_model_fit_score,main_var_xx_lda_prelim_score,xx_lda_prelim_score,QC_transition_group_score,QC_transition_group_pass,QC_transition_group_message,MZ,native_id,peak_apex_int,width_at_5,width_at_10,width_at_50,total_width,tailing_factor,asymmetry_factor,baseline_delta_2_height,slope_of_baseline,points_across_baseline,points_across_half_height,logSN,FeatureLevel,peak_apex_position,start_position_at_5,start_position_at_10,start_position_at_50,end_position_at_5,end_position_at_10,end_position_at_50,total_xic,QC_transition_score,calculated_concentration,concentration_units,QC_transition_pass,QC_transition_message,area_background_level,noise_background_level,PrecursorMZ,peak_area
b'5-HTP',20171013_HMP_C61_ISO_P1_GA6_UV_VIS_2,20171013_HMP_C61_ISO_P1_GA6_UV_VIS_2,2.0280382319946293,12298893686668495961,b'',NA,1,0.0,b'5-HTP',0,none,1.25,5-HTP,1.9866670370101929,2.0833330154418945,3928.411636000002,0.0,0.0,0.0,1.0,1.0,-0.011961768005370743,2.04,2.0280382319946293,0.011961768005370743,0.00011961768005370743,0.00013145605850296228,2.0,11.021442,2.3998426481588173,-0.006456596311181784,7.481196856422415,7.481196856422415,1.0,1,,0.0,5-HTP,10.70213481993375,0.09000000000000008,0.08333299999999988,0.04999999999999982,0.09333300000000011,1.227261570349354,1.2726975209316105,-0.091162967284026,-0.9756383664588559,29,14,2.3998426481588173,MS2,2.026667,1.99,1.99,2.003333,2.08,2.073333,2.053333,3928.411636000002,0.9166666666666666,43.69991351606566,ug/mL,0,metaValue[total_width],0.010687189991401204,0.1145060160007842,0.0,0.5164135098457336
b'5-HTP',20171013_HMP_C61_ISO_P1_GA6_UV_VIS_2,20171013_HMP_C61_ISO_P1_GA6_UV_VIS_2,2.0280382319946293,12298893686668495961,b'',NA,1,0.0,b'5-HTP',0,none,1.25,5-HTP,1.9866670370101929,2.0833330154418945,3928.411636000002,0.0,0.0,0.0,1.0,1.0,-0.011961768005370743,2.04,2.0280382319946293,0.011961768005370743,0.00011961768005370743,0.00013145605850296228,2.0,11.021442,2.3998426481588173,-0.006456596311181784,7.481196856422415,7.481196856422415,1.0,1,,0.0,5-HTP2,10.70213481993375,0.09000000000000008,0.08333299999999988,0.04999999999999982,0.09333300000000011,1.227261570349354,1.2726975209316105,-0.091162967284026,-0.9756383664588559,29,14,2.3998426481588173,MS2,2.026667,1.99,1.99,2.003333,2.08,2.073333,2.053333,3928.411636000002,0.9166666666666666,,,0,metaValue[total_width],0.010687189991401204,0.1145060160007842,0.0,0.5164135098457336
b'5-hydroxyindole',20171013_HMP_C61_ISO_P1_GA6_UV_VIS_2,20171013_HMP_C61_ISO_P1_GA6_UV_VIS_2,5.285723663146973,2480146046329386229,b'',NA,1,0.0,b'5-hydroxyindole',0,none,1.25,5-hydroxyindole,5.263332843780518,5.313333034515381,3928.411636000002,0.0,0.0,0.0,1.0,1.0,-0.3642763368530275,5.65,5.285723663146973,0.3642763368530275,0.003642763368530275,1.350831931018855e-05,2.0,2.036623,0.7112930440236828,0.08925595134496689,6.04351209684737,6.04351209684737,1.0,1,,0.0,5-hydroxyindole,1.8220345193430418,0.04999999999999982,0.04999999999999982,0.03333300000000072,0.04999999999999982,1.0713979600583123,1.142795920116625,-0.0728956235301828,-0.13281834238102794,16,9,0.7112930440236828,MS2,5.286667,5.263333,5.263333,5.27,5.313333,5.313333,5.303333,3928.411636000002,0.75,0.05306623876094819,ug/mL,0,metaValue[logSN];metaValue[points_across_baseline];metaValue[total_width],0.0065890155837821434,0.13178031167564333,0.0,0.05306623876094818
b'5-hydroxyindole',20171013_HMP_C61_ISO_P1_GA6_UV_VIS_2,20171013_HMP_C61_ISO_P1_GA6_UV_VIS_2,5.285723663146973,2480146046329386229,b'',NA,1,0.0,b'5-hydroxyindole',0,none,1.25,5-hydroxyindole,5.263332843780518,5.313333034515381,3928.411636000002,0.0,0.0,0.0,1.0,1.0,-0.3642763368530275,5.65,5.285723663146973,0.3642763368530275,0.003642763368530275,1.350831931018855e-05,2.0,2.036623,0.7112930440236828,0.08925595134496689,6.04351209684737,6.04351209684737,1.0,1,,0.0,5-hydroxyindole2,1.8220345193430418,0.04999999999999982,0.04999999999999982,0.03333300000000072,0.04999999999999982,1.0713979600583123,1.142795920116625,-0.0728956235301828,-0.13281834238102794,16,9,0.7112930440236828,MS2,5.286667,5.263333,5.263333,5.27,5.313333,5.313333,5.303333,3928.411636000002,0.75,,,0,metaValue[logSN];metaValue[points_across_baseline];metaValue[total_width],0.0065890155837821434,0.13178031167564333,0.0,0.05306623876094818
b'Acetylserotonin',20171013_HMP_C61_ISO_P1_GA6_UV_VIS_2,20171013_HMP_C61_ISO_P1_GA6_UV_VIS_2,5.285723663146973,15458230036150494924,b'',NA,1,0.0,b'Acetylserotonin',0,none,1.25,Acetylserotonin,5.263332843780518,5.313333034515381,3928.411636000002,0.0,0.0,0.0,1.0,1.0,0.21572366314697256,5.07,5.285723663146973,0.21572366314697256,0.0021572366314697253,1.350831931018855e-05,2.0,2.036623,0.7112930440236828,0.08925595134496689,6.053992434260685,6.053992434260685,1.0,1,,0.0,Acetylserotonin,1.8220345193430418,0.04999999999999982,0.04999999999999982,0.03333300000000072,0.04999999999999982,1.0713979600583123,1.142795920116625,-0.0728956235301828,-0.13281834238102794,16,9,0.7112930440236828,MS2,5.286667,5.263333,5.263333,5.27,5.313333,5.313333,5.303333,3928.411636000002,0.75,4.837124206473041,ug/mL,0,metaValue[logSN];metaValue[points_across_baseline];metaValue[total_width],0.0065890155837821434,0.13178031167564333,0.0,0.05306623876094818
b'Acetylserotonin',20171013_HMP_C61_ISO_P1_GA6_UV_VIS_2,20171013_HMP_C61_ISO_P1_GA6_UV_VIS_2,5.285723663146973,15458230036150494924,b'',NA,1,0.0,b'Acetylserotonin',0,none,1.25,Acetylserotonin,5.263332843780518,5.313333034515381,3928.411636000002,0.0,0.0,0.0,1.0,1.0,0.21572366314697256,5.07,5.285723663146973,0.21572366314697256,0.0021572366314697253,1.350831931018855e-05,2.0,2.036623,0.7112930440236828,0.08925595134496689,6.053992434260685,6.053992434260685,1.0,1,,0.0,Acetylserotonin2,1.8220345193430418,0.04999999999999982,0.04999999999999982,0.03333300000000072,0.04999999999999982,1.0713979600583123,1.142795920116625,-0.0728956235301828,-0.13281834238102794,16,9,0.7112930440236828,MS2,5.286667,5.263333,5.263333,5.27,5.313333,5.313333,5.303333,3928.411636000002,0.75,,,0,metaValue[logSN];metaValue[points_across_baseline];metaValue[total_width],0.0065890155837821434,0.13178031167564333,0.0,0.05306623876094818
b'Acetyltryptamine',20171013_HMP_C61_ISO_P1_GA6_UV_VIS_2,20171013_HMP_C61_ISO_P1_GA6_UV_VIS_2,7.301068822143554,1502459988149683731,b'',NA,1,0.0,b'Acetyltryptamine',0,none,1.25,Acetyltryptamine,7.256667137145996,7.349999904632568,3928.411636000002,0.0,0.0,0.0,1.0000000000000002,1.0000000000000002,0.0010688221435541934,7.3,7.301068822143554,0.0010688221435541934,1.0688221435541934e-05,2.3464641170729022e-05,2.0,2.149223,0.7651063814716974,0.012241254560649395,6.253543351759831,6.253543351759831,1.0,1,,0.0,Acetyltryptamine,1.8915938694911762,0.08666700000000027,0.08666700000000027,0.05999999999999961,0.08666700000000027,1.0833375000000025,1.1666750000000048,0.013804970939233085,0.02611339839715715,27,17,0.7651063814716974,MS2,7.3,7.26,7.26,7.273333,7.346667,7.346667,7.333333,3928.411636000002,0.8333333333333334,6.026616423583049,ug/mL,0,metaValue[logSN];metaValue[total_width],0.019682374848587307,0.22710345170119245,0.0,0.09217876940965652
b'Acetyltryptamine',20171013_HMP_C61_ISO_P1_GA6_UV_VIS_2,20171013_HMP_C61_ISO_P1_GA6_UV_VIS_2,7.301068822143554,1502459988149683731,b'',NA,1,0.0,b'Acetyltryptamine',0,none,1.25,Acetyltryptamine,7.256667137145996,7.349999904632568,3928.411636000002,0.0,0.0,0.0,1.0000000000000002,1.0000000000000002,0.0010688221435541934,7.3,7.301068822143554,0.0010688221435541934,1.0688221435541934e-05,2.3464641170729022e-05,2.0,2.149223,0.7651063814716974,0.012241254560649395,6.253543351759831,6.253543351759831,1.0,1,,0.0,Acetyltryptamine2,1.8915938694911762,0.08666700000000027,0.08666700000000027,0.05999999999999961,0.08666700000000027,1.0833375000000025,1.1666750000000048,0.013804970939233085,0.02611339839715715,27,17,0.7651063814716974,MS2,7.3,7.26,7.26,7.273333,7.346667,7.346667,7.333333,3928.411636000002,0.8333333333333334,,,0,metaValue[logSN];metaValue[total_width],0.019682374848587307,0.22710345170119245,0.0,0.09217876940965652
b'Melatonin',20171013_HMP_C61_ISO_P1_GA6_UV_VIS_2,20171013_HMP_C61_ISO_P1_GA6_UV_VIS_2,6.965647975769043,13874092486787517313,b'',NA,1,0.0,b'Melatonin',0,none,1.25,Melatonin,6.900000095367432,7.076666831970215,3928.411636000002,0.0,0.0,0.0,0.9999999999999997,0.9999999999999998,0.005647975769043079,6.96,6.965647975769043,0.005647975769043079,5.647975769043079e-05,0.001054329424931757,2.0,72.667493,4.2858941456159565,0.6257343292236328,7.666942529395721,7.666942529395721,1.0,1,,0.0,Melatonin,71.41417579117771,0.12333399999999983,0.10333300000000012,0.0600000000000005,0.16999999999999993,1.1562417969775267,1.2142627552660252,-0.005915626278782233,-0.4224595749878648,52,17,4.2858941456159565,MS2,6.966667,6.913333,6.92,6.936667,7.036667,7.023333,6.996667,3928.411636000002,1.0,255.8618879081862,ug/mL,1,,0.030745060014027516,0.18085329420016194,0.0,4.141839981079102
b'Melatonin',20171013_HMP_C61_ISO_P1_GA6_UV_VIS_2,20171013_HMP_C61_ISO_P1_GA6_UV_VIS_2,6.965647975769043,13874092486787517313,b'',NA,1,0.0,b'Melatonin',0,none,1.25,Melatonin,6.900000095367432,7.076666831970215,3928.411636000002,0.0,0.0,0.0,0.9999999999999997,0.9999999999999998,0.005647975769043079,6.96,6.965647975769043,0.005647975769043079,5.647975769043079e-05,0.001054329424931757,2.0,72.667493,4.2858941456159565,0.6257343292236328,7.666942529395721,7.666942529395721,1.0,1,,0.0,Melatonin2,71.41417579117771,0.12333399999999983,0.10333300000000012,0.0600000000000005,0.16999999999999993,1.1562417969775267,1.2142627552660252,-0.005915626278782233,-0.4224595749878648,52,17,4.2858941456159565,MS2,6.966667,6.913333,6.92,6.936667,7.036667,7.023333,6.996667,3928.411636000002,1.0,,,1,,0.030745060014027516,0.18085329420016194,0.0,4.141839981079102
