sample_name,data_dir,sample_type,comments,acquisition_method,processing_method,rack_code,plate_code,vial_position,rack_position,plate_position,injection_volume,dilution_factor,weight_to_volume,set_name,filename
150601_0_BloodProject01_P_QC_Broth-1,/home/user/code/examples/LCMS_MRM,Quality Control,,,,,,,,,,1,,BloodProject01,150601_0_BloodProject01_P_QC_Broth-1.mzML
150601_0_BloodProject01_P_QC_Broth-1-10.0x,/home/user/code/examples/LCMS_MRM,Quality Control,,,,,,,,,,1,,BloodProject01,150601_0_BloodProject01_P_QC_Broth-1-10.0x.mzML
150601_0_BloodProject01_P_QC_Broth-10,/home/user/code/examples/LCMS_MRM,Quality Control,,,,,,,,,,1,,BloodProject01,150601_0_BloodProject01_P_QC_Broth-10.mzML
150601_0_BloodProject01_P_QC_Broth-10-10.0x,/home/user/code/examples/LCMS_MRM,Quality Control,,,,,,,,,,1,,BloodProject01,150601_0_BloodProject01_P_QC_Broth-10-10.0x.mzML
150601_0_BloodProject01_P_QC_Broth-11,/home/user/code/examples/LCMS_MRM,Quality Control,,,,,,,,,,1,,BloodProject01,150601_0_BloodProject01_P_QC_Broth-11.mzML
150601_0_BloodProject01_P_QC_Broth-11-10.0x,/home/user/code/examples/LCMS_MRM,Quality Control,,,,,,,,,,1,,BloodProject01,150601_0_BloodProject01_P_QC_Broth-11-10.0x.mzML
150601_0_BloodProject01_P_QC_Broth-13,/home/user/code/examples/LCMS_MRM,Quality Control,,,,,,,,,,1,,BloodProject01,150601_0_BloodProject01_P_QC_Broth-13.mzML
150601_0_BloodProject01_P_QC_Broth-13-10.0x,/home/user/code/examples/LCMS_MRM,Quality Control,,,,,,,,,,1,,BloodProject01,150601_0_BloodProject01_P_QC_Broth-13-10.0x.mzML
150601_0_BloodProject01_P_QC_Broth-15,/home/user/code/examples/LCMS_MRM,Quality Control,,,,,,,,,,1,,BloodProject01,150601_0_BloodProject01_P_QC_Broth-15.mzML
150601_0_BloodProject01_P_QC_Broth-15-10.0x,/home/user/code/examples/LCMS_MRM,Quality Control,,,,,,,,,,1,,BloodProject01,150601_0_BloodProject01_P_QC_Broth-15-10.0x.mzML
150601_0_BloodProject01_P_QC_Broth-17,/home/user/code/examples/LCMS_MRM,Quality Control,,,,,,,,,,1,,BloodProject01,150601_0_BloodProject01_P_QC_Broth-17.mzML
150601_0_BloodProject01_P_QC_Broth-17-10.0x,/home/user/code/examples/LCMS_MRM,Quality Control,,,,,,,,,,1,,BloodProject01,150601_0_BloodProject01_P_QC_Broth-17-10.0x.mzML
150601_0_BloodProject01_P_QC_Broth-19,/home/user/code/examples/LCMS_MRM,Quality Control,,,,,,,,,,1,,BloodProject01,150601_0_BloodProject01_P_QC_Broth-19.mzML
150601_0_BloodProject01_P_QC_Broth-19-10.0x,/home/user/code/examples/LCMS_MRM,Quality Control,,,,,,,,,,1,,BloodProject01,150601_0_BloodProject01_P_QC_Broth-19-10.0x.mzML
150601_0_BloodProject01_P_QC_Broth-2,/home/user/code/examples/LCMS_MRM,Quality Control,,,,,,,,,,1,,BloodProject01,150601_0_BloodProject01_P_QC_Broth-2.mzML
150601_0_BloodProject01_P_QC_Broth-2-10.0x,/home/user/code/examples/LCMS_MRM,Quality Control,,,,,,,,,,1,,BloodProject01,150601_0_BloodProject01_P_QC_Broth-2-10.0x.mzML
150601_0_BloodProject01_P_QC_Broth-21,/home/user/code/examples/LCMS_MRM,Quality Control,,,,,,,,,,1,,BloodProject01,150601_0_BloodProject01_P_QC_Broth-21.mzML
150601_0_BloodProject01_P_QC_Broth-21-10.0x,/home/user/code/examples/LCMS_MRM,Quality Control,,,,,,,,,,1,,BloodProject01,150601_0_BloodProject01_P_QC_Broth-21-10.0x.mzML
150601_0_BloodProject01_P_QC_Broth-22,/home/user/code/examples/LCMS_MRM,Quality Control,,,,,,,,,,1,,BloodProject01,150601_0_BloodProject01_P_QC_Broth-22.mzML
150601_0_BloodProject01_P_QC_Broth-22-10.0x,/home/user/code/examples/LCMS_MRM,Quality Control,,,,,,,,,,1,,BloodProject01,150601_0_BloodProject01_P_QC_Broth-22-10.0x.mzML
150601_0_BloodProject01_P_QC_Broth-23-10.0x,/home/user/code/examples/LCMS_MRM,Quality Control,,,,,,,,,,1,,BloodProject01,150601_0_BloodProject01_P_QC_Broth-23-10.0x.mzML
150601_0_BloodProject01_P_QC_Broth-24,/home/user/code/examples/LCMS_MRM,Quality Control,,,,,,,,,,1,,BloodProject01,150601_0_BloodProject01_P_QC_Broth-24.mzML
150601_0_BloodProject01_P_QC_Broth-3,/home/user/code/examples/LCMS_MRM,Quality Control,,,,,,,,,,1,,BloodProject01,150601_0_BloodProject01_P_QC_Broth-3.mzML
150601_0_BloodProject01_P_QC_Broth-3-10.0x,/home/user/code/examples/LCMS_MRM,Quality Control,,,,,,,,,,1,,BloodProject01,150601_0_BloodProject01_P_QC_Broth-3-10.0x.mzML
150601_0_BloodProject01_P_QC_Broth-4,/home/user/code/examples/LCMS_MRM,Quality Control,,,,,,,,,,1,,BloodProject01,150601_0_BloodProject01_P_QC_Broth-4.mzML
150601_0_BloodProject01_P_QC_Broth-4-10.0x,/home/user/code/examples/LCMS_MRM,Quality Control,,,,,,,,,,1,,BloodProject01,150601_0_BloodProject01_P_QC_Broth-4-10.0x.mzML
150601_0_BloodProject01_P_QC_Broth-5,/home/user/code/examples/LCMS_MRM,Quality Control,,,,,,,,,,1,,BloodProject01,150601_0_BloodProject01_P_QC_Broth-5.mzML
150601_0_BloodProject01_P_QC_Broth-5-10.0x,/home/user/code/examples/LCMS_MRM,Quality Control,,,,,,,,,,1,,BloodProject01,150601_0_BloodProject01_P_QC_Broth-5-10.0x.mzML
150601_0_BloodProject01_P_QC_Broth-6,/home/user/code/examples/LCMS_MRM,Quality Control,,,,,,,,,,1,,BloodProject01,150601_0_BloodProject01_P_QC_Broth-6.mzML
150601_0_BloodProject01_P_QC_Broth-6-10.0x,/home/user/code/examples/LCMS_MRM,Quality Control,,,,,,,,,,1,,BloodProject01,150601_0_BloodProject01_P_QC_Broth-6-10.0x.mzML
150601_0_BloodProject01_P_QC_Broth-7,/home/user/code/examples/LCMS_MRM,Quality Control,,,,,,,,,,1,,BloodProject01,150601_0_BloodProject01_P_QC_Broth-7.mzML
150601_0_BloodProject01_P_QC_Broth-7-10.0x,/home/user/code/examples/LCMS_MRM,Quality Control,,,,,,,,,,1,,BloodProject01,150601_0_BloodProject01_P_QC_Broth-7-10.0x.mzML
150601_0_BloodProject01_P_QC_Broth-8,/home/user/code/examples/LCMS_MRM,Quality Control,,,,,,,,,,1,,BloodProject01,150601_0_BloodProject01_P_QC_Broth-8.mzML
150601_0_BloodProject01_P_QC_Broth-8-10.0x,/home/user/code/examples/LCMS_MRM,Quality Control,,,,,,,,,,1,,BloodProject01,150601_0_BloodProject01_P_QC_Broth-8-10.0x.mzML
150601_0_BloodProject01_PLT_QC_Broth-1,/home/user/code/examples/LCMS_MRM,Quality Control,,,,,,,,,,1,,BloodProject01,150601_0_BloodProject01_PLT_QC_Broth-1.mzML
150601_0_BloodProject01_PLT_QC_Broth-1-10.0x,/home/user/code/examples/LCMS_MRM,Quality Control,,,,,,,,,,1,,BloodProject01,150601_0_BloodProject01_PLT_QC_Broth-1-10.0x.mzML
150601_0_BloodProject01_PLT_QC_Broth-10-10.0x,/home/user/code/examples/LCMS_MRM,Quality Control,,,,,,,,,,1,,BloodProject01,150601_0_BloodProject01_PLT_QC_Broth-10-10.0x.mzML
150601_0_BloodProject01_PLT_QC_Broth-11,/home/user/code/examples/LCMS_MRM,Quality Control,,,,,,,,,,1,,BloodProject01,150601_0_BloodProject01_PLT_QC_Broth-11.mzML
150601_0_BloodProject01_PLT_QC_Broth-12,/home/user/code/examples/LCMS_MRM,Quality Control,,,,,,,,,,1,,BloodProject01,150601_0_BloodProject01_PLT_QC_Broth-12.mzML
