component_group_name,component_name,meta_value,170808_Jonathan_yeast_Sacc1_1x
adp,adp.adp_1.Light,calculated_concentration,1.73495760784
amp,amp.amp_1.Light,calculated_concentration,4.1408494657
asn-L,asn-L.asn-L_1.Light,calculated_concentration,4.14482032976
atp,atp.atp_1.Light,calculated_concentration,15.3160206945
camp,camp.camp_1.Light,calculated_concentration,0.00903990700917
coa,coa.coa_1.Light,calculated_concentration,0.0727003510026
f6p,f6p.f6p_1.Light,calculated_concentration,0.359890687236
fdp,fdp.fdp_1.Light,calculated_concentration,3.12515087868
g6p,g6p.g6p_1.Light,calculated_concentration,7.0057656212
his-L,his-L.his-L_1.Light,calculated_concentration,5.56478731886
nad,nad.nad_1.Light,calculated_concentration,1.97518991488
nadh,nadh.nadh_1.Light,calculated_concentration,0.11561889472
nadp,nadp.nadp_1.Light,calculated_concentration,0.349201773994
nadph,nadph.nadph_1.Light,calculated_concentration,0.0168256911325
pyr,pyr.pyr_1.Light,calculated_concentration,32.9845663362
r5p,r5p.r5p_1.Light,calculated_concentration,0.473733102788
ru5p-D,ru5p-D.ru5p-D_1.Light,calculated_concentration,2.11042036357
s7p,s7p.s7p_1.Light,calculated_concentration,1.08691225943
ser-L,ser-L.ser-L_1.Light,calculated_concentration,19.5478772581
trp-L,trp-L.trp-L_1.Light,calculated_concentration,0.139715643514
tyr-L,tyr-L.tyr-L_1.Light,calculated_concentration,2.37251349333
