component_group_name,component_name,meta_value,150601_0_BloodProject01_PLT_QC_Broth-1,150601_0_BloodProject01_PLT_QC_Broth-1-10.0x,150601_0_BloodProject01_PLT_QC_Broth-2,150601_0_BloodProject01_PLT_QC_Broth-2-10.0x,150601_0_BloodProject01_PLT_QC_Broth-3,150601_0_BloodProject01_PLT_QC_Broth-3-10.0x
accoa,accoa.accoa_1.Light,calculated_concentration,0.19167737383,0.208792261803,0.189271167396,0.21390750525,0.179295934495,0.212702627185
adp,adp.adp_1.Light,calculated_concentration,7.44108704842,11.0598181771,8.11189940872,9.44063163032,7.74548354999,11.1819370836
akg,akg.akg_1.Light,calculated_concentration,0.533485620776,nan,0.503685935139,nan,0.500132026854,nan
amp,amp.amp_1.Light,calculated_concentration,3.54724989789,3.60397273793,4.12348203475,3.74530903842,3.81239729707,3.88196233665
asn-L,asn-L.asn-L_1.Light,calculated_concentration,0.0944858998935,0.510792889896,0.122990472705,0.209268231232,0.135681486926,0.617197995317
atp,atp.atp_1.Light,calculated_concentration,85.4170178608,109.167574217,87.7281870092,80.5174792475,85.5806455833,88.5918550147
camp,camp.camp_1.Light,calculated_concentration,0.0122411117031,0.0130766079265,0.0113990901981,0.0123908947853,0.0118393390746,0.0135451077155
cit,cit.cit_1.Light,calculated_concentration,nan,84.8794912711,nan,133.721076553,69.3440526016,108.074067678
coa,coa.coa_1.Light,calculated_concentration,0.0872696088331,nan,1.58703563917,nan,0.980067505701,nan
f6p,f6p.f6p_1.Light,calculated_concentration,0.501998138133,1.02753790228,0.272587750919,0.69319832999,0.391859764364,1.00990808608
fdp,fdp.fdp_1.Light,calculated_concentration,10.0812677607,nan,5.83821780487,0.749418254214,7.47944884066,nan
g6p,g6p.g6p_1.Light,calculated_concentration,7.06416013732,7.64683931878,7.68614852663,nan,6.98856689417,nan
glu-L,glu-L.glu-L_1.Light,calculated_concentration,20.5327811443,37.2858706988,20.1214454278,39.6850736822,21.4120583896,36.9004133295
his-L,his-L.his-L_1.Light,calculated_concentration,7.88136112189,12.7571664552,9.71498545024,10.1646893311,9.89647101865,6.61612509877
nad,nad.nad_1.Light,calculated_concentration,1.18539847154,1.19355831853,1.20985477299,1.21006777062,1.20576196397,1.78803158278
nadp,nadp.nadp_1.Light,calculated_concentration,0.254707571603,0.295469448473,0.414241014401,nan,0.342663922146,nan
orn,orn.orn_1.Light,calculated_concentration,21.8100698944,55.4658510969,28.8736983495,63.2512734691,23.6651777007,74.5633420362
pyr,pyr.pyr_1.Light,calculated_concentration,nan,nan,2.43003903773,nan,2.77766351709,nan
r5p,r5p.r5p_1.Light,calculated_concentration,0.124316515427,nan,0.0961402443727,nan,0.0929122531999,nan
ru5p-D,ru5p-D.ru5p-D_1.Light,calculated_concentration,0.447949968349,0.471676653574,0.449333729016,nan,nan,nan
s7p,s7p.s7p_1.Light,calculated_concentration,2.05545159666,2.07510463191,2.29055073345,nan,2.21036013753,nan
ser-L,ser-L.ser-L_1.Light,calculated_concentration,12.3872609186,13.2785427678,9.89212086986,11.5766532434,11.2281491749,29.7547989415
succ,succ.succ_1.Light,calculated_concentration,0.934533425023,nan,1.00081919643,nan,0.963336543638,1.25772057155
trp-L,trp-L.trp-L_1.Light,calculated_concentration,0.807758989783,0.999279521769,0.79398862668,0.664104245079,0.80965610883,1.13134218992
tyr-L,tyr-L.tyr-L_1.Light,calculated_concentration,2.74539521693,2.71808905778,2.81119479142,2.68086104036,2.74971639847,3.05512220987
