transition_group_id,run_id,filename,RT,id,Sequence,FullPeptideName,Charge,Intensity,ProteinName,decoy,potentialOutlier,initialPeakQuality,PeptideRef,leftWidth,rightWidth,total_xic,peak_apices_sum,var_xcorr_coelution,var_xcorr_coelution_weighted,var_xcorr_shape,var_xcorr_shape_weighted,delta_rt,assay_rt,norm_RT,rt_score,var_norm_rt_score,var_intensity_score,nr_peaks,sn_ratio,var_log_sn_score,var_elution_model_fit_score,main_var_xx_lda_prelim_score,xx_lda_prelim_score,QC_transition_group_score,QC_transition_group_pass,QC_transition_group_message,MZ,native_id,peak_apex_int,width_at_5,width_at_10,width_at_50,total_width,tailing_factor,asymmetry_factor,baseline_delta_2_height,slope_of_baseline,points_across_baseline,points_across_half_height,logSN,FeatureLevel,peak_apex_position,start_position_at_5,start_position_at_10,start_position_at_50,end_position_at_5,end_position_at_10,end_position_at_50,total_xic,QC_transition_score,calculated_concentration,concentration_units,QC_transition_pass,QC_transition_message,PrecursorMZ,peak_area
b'23dpg',150601_0_BloodProject01_PLT_QC_Broth-1,150601_0_BloodProject01_PLT_QC_Broth-1,953.754210850835,8337332664541630432,b'',NA,1,2227886.75,b'23dpg',0,none,0.9040943123200913,23dpg,945.2360229492188,970.9169921875,994261.0,431764.5554910763,0.0,0.0,0.9751780214509174,0.9669040286012229,1.2064040508349763,952.5478068,953.754210850835,1.2064040508349763,0.012064040508349763,0.9396117030608939,3.0,107.25865250760837,4.675243230615605,0.9944328864415487,7.029688503032968,7.029688503032968,0.8888888888888888,0,n_light,170.0,23dpg.23dpg_1.Heavy,193842.03573292863,11.66499999999985,8.560999999999922,5.432000000000016,23.700999999999908,1.3755896226415256,1.6636589919105103,0.009251644432732901,1793.3575907181614,24,4,5.005827177735269,MS2,953.4069999999999,949.167,950.1930000000001,951.203,960.8319999999999,958.754,956.635,994261.0,0.7142857142857143,,,0,metaValue[peak_apex_position];metaValue[points_across_half_height];metaValue[total_width];metaValue[width_at_50],268.0,956048.6875
b'23dpg',150601_0_BloodProject01_PLT_QC_Broth-1,150601_0_BloodProject01_PLT_QC_Broth-1,953.754210850835,8337332664541630432,b'',NA,1,2227886.75,b'23dpg',0,none,0.9040943123200913,23dpg,945.2360229492188,970.9169921875,1118652.0,431764.5554910763,0.0,0.0,0.9751780214509174,0.9669040286012229,1.2064040508349763,952.5478068,953.754210850835,1.2064040508349763,0.012064040508349763,0.9396117030608939,3.0,107.25865250760837,4.675243230615605,0.9944328864415487,7.029688503032968,7.029688503032968,0.8888888888888888,0,n_light,167.0,23dpg.23dpg_1.Light,194042.25396268076,13.687000000000012,9.612999999999829,5.432000000000016,23.700999999999908,1.6140330188679657,1.990976975731283,0.01992069118845046,3865.455818701441,24,4,5.091477892824478,MS2,953.4069999999999,949.167,950.1930000000001,951.203,962.854,959.8059999999999,956.635,1118652.0,0.7142857142857143,,,0,metaValue[peak_apex_position];metaValue[points_across_half_height];metaValue[total_width];metaValue[width_at_50],265.0,1019815.6875
b'23dpg',150601_0_BloodProject01_PLT_QC_Broth-1,150601_0_BloodProject01_PLT_QC_Broth-1,953.754210850835,8337332664541630432,b'',NA,1,2227886.75,b'23dpg',0,none,0.9040943123200913,23dpg,945.2360229492188,970.9169921875,258159.0,431764.5554910763,0.0,0.0,0.9751780214509174,0.9669040286012229,1.2064040508349763,952.5478068,953.754210850835,1.2064040508349763,0.012064040508349763,0.9396117030608939,3.0,107.25865250760837,4.675243230615605,0.9944328864415487,7.029688503032968,7.029688503032968,0.8888888888888888,0,n_light,177.0,23dpg.23dpg_2.Light,43880.265795466956,18.702999999999975,18.702999999999975,5.432000000000016,23.700999999999908,8.42477477477466,15.84954954954932,0.10629963289447777,4664.456145370247,24,4,2.2890346599178186,MS2,952.313,951.203,951.203,951.203,969.906,969.906,956.635,258159.0,0.5714285714285714,,,0,metaValue[asymmetry_factor];metaValue[peak_apex_position];metaValue[points_across_half_height];metaValue[tailing_factor];metaValue[total_width];metaValue[width_at_50],265.0,252022.484375
b'2mcit',150601_0_BloodProject01_PLT_QC_Broth-1,150601_0_BloodProject01_PLT_QC_Broth-1,849.7460493390561,12054801293655305316,b'',NA,1,1526756.5,b'2mcit',0,2mcit.2mcit_2.Light,-5.440414368537552,2mcit,837.2730102539062,859.1610107421875,4259477.0,160427.82275178158,30.375304875026057,16.777777777777775,0.44351423865360257,0.3691300959825812,0.03459933905605794,849.71145,849.7460493390561,0.03459933905605794,0.00034599339056057943,0.3567896661720201,3.0,11.03967346486741,2.4014954629538656,0.24932231505711874,0.9476295682146123,0.9476295682146123,0.6666666666666667,0,n_light;n_quantifying;n_transitions,125.0,2mcit.2mcit_1.Light,160127.89175058025,19.49500000000012,17.831000000000017,9.613999999999919,21.090000000000032,0.9409692055217606,1.0507188039102835,0.09138590941904189,14633.433010980672,29,12,3.467331299207157,MS2,850.0250000000001,839.6659999999999,841.33,845.421,859.1610000000001,859.1610000000001,855.035,4259477.0,0.7857142857142857,,,0,metaValue[peak_apex_position];metaValue[total_width];metaValue[width_at_50],205.0,1522727.75
b'35cgmp',150601_0_BloodProject01_PLT_QC_Broth-1,150601_0_BloodProject01_PLT_QC_Broth-1,653.0320270915031,15131574088701924785,b'',NA,1,2486.67431640625,b'35cgmp',0,35cgmp.35cgmp_2.Light,-4.412520829712345,35cgmp,645.0640258789062,660.5419921875,8910.0,330.05960711029707,25.167333315556505,14.22222222222222,0.4102852194724386,0.32482473707436266,11.470331291503044,641.5616958,653.0320270915031,11.470331291503044,0.11470331291503044,0.13468419630646428,3.0,27.090406955180118,3.2991796783237826,0.23486616214116415,1.1252011836413383,1.1252011836413383,0.6666666666666667,0,n_light;n_quantifying;n_transitions,150.0,35cgmp.35cgmp_1.Light,249.19101101899943,14.177999999999884,14.177999999999884,5.515999999999963,14.177999999999884,0.9339920948616625,0.8679841897233249,0.1399339225508136,34.87027563629161,24,8,4.397791966991893,MS2,653.309,645.719,645.719,650.172,659.8969999999999,659.8969999999999,655.688,8910.0,0.7857142857142857,,,0,metaValue[peak_apex_position];metaValue[total_width];metaValue[width_at_50],344.0,1708.0142822265625
b'5oxpro',150601_0_BloodProject01_PLT_QC_Broth-1,150601_0_BloodProject01_PLT_QC_Broth-1,220.23976921176916,6405186699132630893,b'',NA,1,148505.328125,b'5oxpro',0,none,1.2156615222781881,5oxpro,210.33299255371094,231.82400512695312,335944.0,25118.575053818055,0.5749149571305296,0.2222222222222222,0.9902942101467854,0.9870589468623803,2.4397692117691463,217.8,220.23976921176916,2.4397692117691463,0.024397692117691463,0.20426580854034276,3.0,68.4591706542572,4.226237518717489,0.9903914133707682,6.654698649541245,6.654698649541245,0.8888888888888888,0,n_light,86.0,5oxpro.5oxpro_1.Heavy,2092.8268757454707,18.376000000000005,12.593000000000018,5.836999999999989,21.490999999999985,1.4150623748652347,1.3398364920104062,0.03690773521183883,77.24150017423375,43,10,2.053867299071197,MS2,219.941,213.44799999999998,214.559,217.23700000000002,231.82399999999998,227.15200000000002,223.074,335944.0,0.7857142857142857,,,0,metaValue[peak_apex_position];metaValue[total_width];metaValue[width_at_50],133.0,13874.0576171875
b'5oxpro',150601_0_BloodProject01_PLT_QC_Broth-1,150601_0_BloodProject01_PLT_QC_Broth-1,220.23976921176916,6405186699132630893,b'',NA,1,148505.328125,b'5oxpro',0,none,1.2156615222781881,5oxpro,210.33299255371094,231.82400512695312,334557.0,25118.575053818055,0.5749149571305296,0.2222222222222222,0.9902942101467854,0.9870589468623803,2.4397692117691463,217.8,220.23976921176916,2.4397692117691463,0.024397692117691463,0.20426580854034276,3.0,68.4591706542572,4.226237518717489,0.9903914133707682,6.654698649541245,6.654698649541245,0.8888888888888888,0,n_light,82.0,5oxpro.5oxpro_1.Light,18983.07421577589,13.075999999999993,11.04000000000002,5.836999999999989,21.490999999999985,1.1107713217804964,1.066641707225757,0.012232952646746991,232.21904797127024,43,10,4.804041566493912,MS2,220.445,214.559,215.10299999999998,217.23700000000002,227.635,226.143,223.074,334557.0,0.7857142857142857,,,0,metaValue[peak_apex_position];metaValue[total_width];metaValue[width_at_50],128.0,111632.25
b'5oxpro',150601_0_BloodProject01_PLT_QC_Broth-1,150601_0_BloodProject01_PLT_QC_Broth-1,220.23976921176916,6405186699132630893,b'',NA,1,148505.328125,b'5oxpro',0,none,1.2156615222781881,5oxpro,210.33299255371094,231.82400512695312,56519.0,25118.575053818055,0.5749149571305296,0.2222222222222222,0.9902942101467854,0.9870589468623803,2.4397692117691463,217.8,220.23976921176916,2.4397692117691463,0.024397692117691463,0.20426580854034276,3.0,68.4591706542572,4.226237518717489,0.9903914133707682,6.654698649541245,6.654698649541245,0.8888888888888888,0,n_light,84.0,5oxpro.5oxpro_2.Light,4042.6739622966925,8.98399999999998,8.439999999999998,6.8489999999999895,21.490999999999985,0.9362234264276813,0.9840150446638496,0.0,0.0,43,12,4.325152112802253,MS2,220.445,215.64700000000002,216.191,217.782,224.631,224.631,224.631,56519.0,0.7857142857142857,,,0,metaValue[peak_apex_position];metaValue[total_width];metaValue[width_at_50],128.0,22999.0234375
b'6pgc',150601_0_BloodProject01_PLT_QC_Broth-1,150601_0_BloodProject01_PLT_QC_Broth-1,837.6474197087288,13907560535693810383,b'',NA,1,818040.5,b'6pgc',0,6pgc.6pgc_1.Heavy,0.991342393085395,6pgc,827.489013671875,859.8619995117188,1118989.0,74096.68735398307,0.0,0.0,0.909083500967823,0.8636252514517345,10.79229770872871,826.855122,837.6474197087288,10.79229770872871,0.10792297708728711,0.4105097847539798,2.0,20.164836780889807,3.003940334114037,0.9144423604011536,4.906322648187015,4.906322648187015,0.6666666666666667,0,n_light;n_quantifying;n_transitions,97.0,6pgc.6pgc_1.Light,63702.9840870952,27.64400000000012,25.345000000000027,7.3799999999999955,30.826999999999998,2.401320361362079,5.119024625784742,0.06561626302240846,4179.951759171139,41,8,3.6457153007819207,MS2,837.2729999999999,831.5169999999999,833.131,834.789,859.1610000000001,858.476,842.169,1118989.0,0.6428571428571428,,,0,metaValue[asymmetry_factor];metaValue[peak_apex_position];metaValue[tailing_factor];metaValue[total_width];metaValue[width_at_50],275.0,602645.6875
b'AICAr',150601_0_BloodProject01_PLT_QC_Broth-1,150601_0_BloodProject01_PLT_QC_Broth-1,77.08783048653603,11770704754261446339,b'',NA,1,54044.59765625,b'AICAr',0,none,-0.6395187119096541,AICAr,71.62899780273438,87.48699951171875,54477.0,11902.173936709256,5.464101615137754,3.0,0.9286178578471932,0.8929267867707898,5.500643866536038,71.58718662,77.08783048653603,5.500643866536038,0.055006438665360376,0.5766602396100086,2.0,37.24412012133457,3.6174940832744,0.9976426959037781,5.166289292586967,5.166289292586967,0.8888888888888888,0,n_light,129.0,AICAr.AICAr_1.Heavy,7458.906720026087,11.293000000000006,9.837000000000003,5.920000000000002,15.083999999999989,1.1830085899853358,1.3772353794103491,0.005474414128716295,40.83314433288773,21,7,4.098162200951359,MS2,77.076,72.303,72.938,74.306,83.596,82.775,80.226,54477.0,0.8571428571428572,,,0,metaValue[total_width];metaValue[width_at_50],266.0,37718.84375
