component_group_name,component_name,meta_value,150516_CM1_Level1,150516_CM1_Level10,150516_CM1_Level11,150516_CM1_Level12,150516_CM1_Level13,150516_CM1_Level14,150516_CM1_Level15,150516_CM1_Level2,150516_CM1_Level3,150516_CM1_Level4,150516_CM1_Level5,150516_CM1_Level6,150516_CM1_Level7,150516_CM1_Level8,150516_CM1_Level9,150516_CM2_Level1,150516_CM2_Level10,150516_CM2_Level11,150516_CM2_Level12,150516_CM2_Level13,150516_CM2_Level14,150516_CM2_Level15,150516_CM2_Level2,150516_CM2_Level3,150516_CM2_Level4,150516_CM2_Level5,150516_CM2_Level6,150516_CM2_Level7,150516_CM2_Level8,150516_CM2_Level9,150516_CM3_Level1,150516_CM3_Level10,150516_CM3_Level11,150516_CM3_Level12,150516_CM3_Level13,150516_CM3_Level14,150516_CM3_Level15,150516_CM3_Level2,150516_CM3_Level3,150516_CM3_Level4,150516_CM3_Level5,150516_CM3_Level6,150516_CM3_Level7,150516_CM3_Level8,150516_CM3_Level9
23dpg,23dpg.23dpg_1.Light,calculated_concentration,9.53964443429,3.18063794525,4.5418183199,2.70790218156,2.09166355643,2.94975241854,2.86814957449,0.357300614287,4.58929879964,8.85905629158,8.84502351652,6.33760289879,3.71970681541,3.95510362529,3.6983246373,5.80709178764,8.97547002383,14.4035264237,15.5513319919,23.5276784685,31.486495438,43.2166953516,38.4271689754,38.7572294798,30.2722145448,nan,11.0228820259,13.8092833132,8.43736007182,11.9990136777,65.6875184116,2.15267800277,1.71611660713,1.82313575033,2.30934911,2.51482401405,1.00135052634,71.758791918,7.72034165674,22.7627569462,6.20115592605,1.68494077358,0.620082309241,0.766721738119,0.931400803366
23dpg,23dpg.23dpg_2.Light,calculated_concentration,2.37113416868,nan,nan,nan,nan,nan,nan,0.239893638204,1.65156052259,3.39145570421,3.70331094071,nan,nan,nan,nan,1.85147540618,4.46301264923,7.64444024451,6.32753586074,8.78094933564,9.77751687281,10.6343768939,10.8026309326,10.8806928252,10.1395446587,nan,4.83841480006,nan,4.30117114574,5.79525836021,48.974686382,nan,nan,nan,nan,nan,nan,45.7572434948,2.41474987937,5.83129571135,2.08465437632,1.04980642517,nan,nan,nan
2mcit,2mcit.2mcit_1.Light,calculated_concentration,0.0843766169539,nan,nan,nan,nan,nan,nan,nan,0.116536011576,nan,nan,nan,nan,nan,nan,1.68358309925,nan,nan,nan,nan,nan,nan,nan,0.154345759931,0.127575483673,nan,0.412577446223,0.514264864797,0.559464375478,nan,0.438417219076,nan,nan,nan,nan,4.96777976153,nan,nan,0.913678938376,1.07865494346,0.839782891658,nan,nan,nan,nan
2obut,2obut.2obut_1.Light,calculated_concentration,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.02360080408,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.93093686109,nan,nan,nan,nan,nan
35cgmp,35cgmp.35cgmp_1.Light,calculated_concentration,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00145758401807,nan,nan,nan,nan,nan,nan,nan,8.06973194473,nan,nan,nan,nan,0.000748426883384,nan,nan,nan,nan,0.852808352012,nan,nan,nan,nan
35cgmp,35cgmp.35cgmp_2.Light,calculated_concentration,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.6832936799,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.493945361326,nan,nan,nan,nan
5oxpro,5oxpro.5oxpro_1.Light,calculated_concentration,0.302714643083,0.00316703923068,0.00137995506888,5.85924274621,0.00168142709875,1.3206841642e-07,0.00196495778187,0.000339946460679,0.011400991786,0.0133558798576,0.00875066460021,0.0028714017001,0.00571691201406,0.00422720208994,0.00152935410361,9.46435309069,0.00187129414873,0.00340913697632,0.00193513718906,0.00244567682158,0.00280253828652,0.00180592556964,4.39121636932,1.19513772019,0.365744214819,nan,0.0413501761415,0.0114207541791,0.00518166928947,0.00879975398037,51.5087533907,0.182695219051,0.0116232025723,0.00871486064953,0.00468422587547,0.0093164511882,0.00591492626108,91.8726783764,27.1941129095,13.1602294288,6.67499703176,1.23756255819,0.49035888146,0.192305330971,0.0402327458939
5oxpro,5oxpro.5oxpro_2.Light,calculated_concentration,0.605722167903,nan,nan,5.47999180278,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.59309064621,nan,nan,nan,nan,nan,nan,4.07521239827,1.70344580346,nan,nan,0.155414948746,nan,nan,nan,25.2349512478,nan,nan,nan,nan,nan,nan,42.9233801109,15.9139300452,9.24139926951,5.5987560886,1.78010135355,0.893603430053,nan,nan
6pgc,6pgc.6pgc_1.Light,calculated_concentration,9.01919749111,0.00983410503855,nan,0.0049566834765,nan,nan,0.00417511725978,0.00172231884376,1.13701955884,0.96933897179,0.466075304581,0.155692247987,0.0774820609896,0.0336659312581,0.014507034778,0.0222671469032,nan,nan,nan,0.00305290790969,0.00401010751103,0.00450545146244,nan,0.0064559425102,0.00418662422843,0.00730279663703,0.00388018712477,0.00404179272798,nan,nan,0.00453400590069,nan,nan,nan,nan,0.00478386364308,nan,0.00466945901667,0.0069465013302,0.00383216213636,nan,nan,nan,nan,nan
AICAr,AICAr.AICAr_1.Light,calculated_concentration,0.00231581348142,nan,nan,nan,nan,7.58296518786e-05,5.0410390744e-05,3.86337344137e-06,0.0100567087907,nan,5.45134362865e-05,0.0383946225176,0.0218032106247,nan,6.60098543267e-05,0.00229993877388,nan,0.00545221842231,4.05745405759e-05,nan,nan,4.24342033248e-05,nan,nan,8.0955636959e-05,nan,nan,nan,nan,nan,0.000943636967287,2.5506425933e-05,nan,3.52276074584e-05,nan,nan,3.4985005429e-05,nan,4.39635278715e-06,2.62617860247e-05,nan,0.00836220682097,1.04418427514e-05,3.19104830346e-05,nan
Hexose_Pool_fru_glc-D,Hexose_Pool_fru_glc-D.Hexose_Pool_fru_glc-D_1.Light,calculated_concentration,114.720317425,nan,nan,nan,nan,1.55930479828,nan,nan,7.45163856502,8.08752018614,4.55175630896,2.02177402646,1.17120432267,nan,nan,1.75872750944,nan,nan,nan,nan,nan,nan,2.192785456,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.24543482588,nan,nan,nan,nan,nan,nan,nan,1.26697388395,nan
Hexose_Pool_fru_glc-D,Hexose_Pool_fru_glc-D.Hexose_Pool_fru_glc-D_2.Light,calculated_concentration,98.3839367542,nan,nan,nan,nan,1.50348662738,nan,nan,8.0001579681,nan,5.39256753439,1.8699154093,1.00799470381,nan,nan,1.61009590256,nan,nan,nan,nan,nan,nan,2.47236797477,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.31418194885,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lcystin,Lcystin.Lcystin_1.Light,calculated_concentration,0.0272219813971,0.000545445713296,nan,0.00457306834981,nan,nan,nan,0.000777946373004,0.00423870373603,0.00542969045871,0.00327103118629,0.00184645239245,0.00123935523026,0.0010140110404,nan,0.00090462585009,nan,nan,0.000676279177577,nan,nan,nan,0.000481730751969,nan,nan,nan,nan,nan,0.000636049829148,0.000492254682171,51.307871087,0.032041028648,0.0206253214477,0.00826607931153,0.00495872298395,0.00248603788071,nan,56.2014946832,15.4502347543,4.61540189632,2.2292869926,0.680735492579,0.297997914609,0.160688699283,0.0723884222586
Pool_2pg_3pg,Pool_2pg_3pg.Pool_2pg_3pg_1.Light,calculated_concentration,1.92901717909,0.0189455519251,0.00902072480195,0.00506952728636,0.00345081248107,0.003001346127,0.00258857202937,0.00582667473096,1.73153693282,1.93650627823,1.02550488695,0.518548448947,0.178034481167,0.0999883837417,0.0322369648477,0.613493263008,0.00416036730315,0.00445792527215,0.00380906641701,0.0046932832827,0.00481904058938,0.00449779939351,0.207185989777,0.0782524920273,0.0518806826726,4.62997822616,0.0166716627249,0.0108989748121,0.00525576418555,0.00474559112138,0.0239362494177,0.0122527251575,0.00888317708581,0.00936412354172,0.0105983328981,0.0145840054022,0.0147238648458,0.0289004801674,0.855727734579,0.124387225888,0.180552853271,0.116918990867,0.0636941452756,0.0377956133951,0.0183267254141
Pool_2pg_3pg,Pool_2pg_3pg.Pool_2pg_3pg_2.Light,calculated_concentration,3.39479680536,0.0121167007913,0.0072733941075,0.00493197004536,0.00213542256377,nan,nan,0.00288565801215,2.02066239482,2.20430858328,0.979171873284,0.387085830881,0.101102197212,0.0536639539679,0.0206590130414,0.498713684717,nan,0.0012862651975,nan,nan,nan,nan,0.1058928184,0.041295816477,0.0289914137298,nan,0.0106982930385,0.0100848154128,0.00529648420356,0.00747000351116,0.0121067046248,0.0228024026241,0.00588314297794,nan,nan,nan,nan,0.0178112025235,0.753475160739,0.0784789338896,0.118584191818,0.0820689955373,0.0433047621336,0.0322291757113,0.0228919067947
accoa,accoa.accoa_1.Light,calculated_concentration,nan,0.0677410973752,0.0672562204204,0.0605405834836,0.0631431996895,0.0623705861686,0.0641211981311,0.119280383866,0.0539350734374,0.0483669945831,0.0352728690061,0.058721353156,0.0523018601651,0.0683006965926,0.0676705995983,0.383844504964,0.0795983064646,0.0722966215502,0.0658232782455,0.0604056841929,0.0579964393559,0.0786558266106,0.195156094086,0.107328983711,0.0684176761684,41.4773888587,0.0532353206666,0.0744536329682,0.0680698304456,0.0734926815753,12.2280856529,0.063379715494,0.058486468953,0.0613279265429,0.0491027619381,0.0632682129591,0.0605703299942,16.2007752252,9.23523906972,4.25851717842,2.2785848703,0.816660077789,0.370014088955,0.182317741095,0.0819377173221
acon-C,acon-C.acon-C_1.Light,calculated_concentration,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.31232387477,0.0224768848676,nan,nan,nan,nan,nan,4.73875970922,3.87168204575,2.23519198075,nan,0.360486912151,0.204477307169,0.0587996811017,0.0357095770042,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
acon-C,acon-C.acon-C_2.Light,calculated_concentration,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.0578522923,0.00223896630142,nan,nan,nan,nan,nan,11.2961045241,9.87247398319,6.85219000704,nan,0.945366458823,0.452619880116,0.0959289061262,0.0408832766918,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
actp,actp.actp_1.Light,calculated_concentration,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,42.0164912396,nan,nan,nan,nan,nan,nan,15.9402576132,5.12877049944,0.287985533006,nan,0.0221549275495,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
actp,actp.actp_2.Light,calculated_concentration,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,32.1486452919,nan,nan,nan,nan,nan,nan,12.5362999371,3.82662384147,0.237622998383,nan,0.018096637251,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ade,ade.ade_1.Light,calculated_concentration,37.9771502339,0.181115362355,0.072388703808,0.0162761520404,0.00458126536797,0.0017147705804,0.000471855401311,1.84562790796e-05,1.18033895457,1.09533827707,0.52635963612,0.858076720856,0.84398618781,0.963391574386,0.607740449302,0.203105212581,8.40120226809e-05,5.3983387112e-05,4.71153142491e-05,3.13796026993e-05,3.56225959922e-05,4.69101852577e-05,0.0490219961159,0.0404180501034,0.0259065487536,133.457716586,0.00522280342299,0.00196460733106,0.00160489667401,0.000254688429847,1.09474407961,0.000105808325332,5.16467879083e-05,4.63483792145e-05,5.20007507176e-05,5.9447471139e-05,6.34612143358e-05,1.19181922658,0.159067136704,0.0115710850599,0.0148916984648,0.00458160277401,0.00224525103161,0.000545384930313,0.000193289344893
ade,ade.ade_2.Light,calculated_concentration,39.3994181924,0.150747783386,0.0585244414335,0.0148617698375,0.00467124680979,0.00208782231979,0.000676108274153,4.2622938644e-05,2.17392555486,3.9415545984,3.68298609614,5.1912335243,2.85827716881,1.31770780612,0.473186132713,0.15139267049,0.000137040870908,5.97807370084e-05,5.85303491164e-05,4.57620356908e-05,7.14640211172e-05,9.53651973632e-05,0.0401782745743,0.032785880834,0.0219269381818,48.5271959734,0.00528160702685,0.00228476554069,0.0018037516761,0.000347281624246,0.670907780431,0.000167116852862,7.53089494748e-05,8.26315919407e-05,9.70667715153e-05,0.000119219144558,nan,0.708304092118,0.118606340421,0.0121614875751,0.0141575189947,0.0043671783349,0.00235960735601,0.000905109249568,0.00023103669669
adn,adn.adn_1.Light,calculated_concentration,32.3651359122,0.106992716294,0.0567436116492,0.038184135863,0.0223861966824,0.0244230759977,0.0135388985832,nan,37.3578575274,32.8924448564,11.8463123179,8.14082170278,2.77392608288,0.776662632308,0.338361972606,0.170649473258,0.00219745610662,0.00200859308052,nan,nan,nan,nan,0.13594767889,0.0760005090351,0.0400857577303,nan,0.0118327826811,0.00996360326725,0.00389460273345,0.00339965907482,0.00532778752366,0.0056182331946,0.00352152542718,0.00345133598259,0.00396942394183,0.00288088721229,nan,0.00635353300156,0.00374007807877,0.0856763960389,0.0821959445353,0.0343194096314,0.0217003106094,0.0121975204646,0.00576353920022
adp,adp.adp_1.Light,calculated_concentration,12.8151919058,0.00562682547396,0.00249359866746,0.0016895586478,0.000935193883716,0.000983739207587,0.000746114392052,0.00231069974962,0.949737109603,1.03918688139,0.457783498992,0.221111727883,0.0842750980269,0.033654013545,0.0160250127947,2.22055743732,0.0023986480978,0.0018360988177,0.0013677392251,nan,0.00201539116334,0.00238402887432,0.872443916888,0.476091787382,0.215576814169,nan,0.030169794971,0.0174811252946,0.00526330437951,0.00407098408703,0.00473367558346,0.00510953643095,0.00373611259303,0.00287057950503,nan,0.00451236254928,0.00432289943927,0.00607415481637,0.00329331895644,0.016741126142,0.197226435285,0.0727034148702,0.0375906230083,0.0176387671121,0.00949531756787
adp,adp.adp_2.Light,calculated_concentration,5.49110362594,nan,nan,nan,nan,nan,nan,nan,0.815339408811,0.9447035064,0.449655868597,0.215443524644,0.0861377005242,0.0376731060568,nan,1.94783161398,nan,nan,nan,nan,nan,nan,0.850743362857,0.490415346286,0.22014706516,nan,0.0357728088647,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.206759837161,0.0796212480057,nan,nan,nan
adpglc,adpglc.adpglc_1.Light,calculated_concentration,0.0136854426766,nan,nan,nan,nan,nan,nan,nan,0.00133495469624,0.00132288444195,0.000722352920303,0.000171474254171,nan,nan,nan,2.11953366785,0.00220510259181,0.00128068735753,0.000364035170175,0.000373831777731,nan,nan,0.938592323934,0.389888575843,0.202496639576,nan,0.0457213648487,0.0213122887323,0.00841737690847,0.00309273694457,0.000246529512509,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
adpglc,adpglc.adpglc_2.Light,calculated_concentration,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.12870126348,nan,nan,nan,nan,nan,nan,0.923555510944,0.39109198216,0.208095815889,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
akg,akg.akg_1.Light,calculated_concentration,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.5110861234,nan,nan,nan,nan,nan,nan,1.9875750335,0.73916338017,0.338597178614,nan,0.0912644252624,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ala-L,ala-L.ala-L_1.Light,calculated_concentration,1.01470769462,0.305345017042,nan,1.53420789314,nan,0.349985939324,0.253610833389,0.208469655861,nan,nan,nan,nan,nan,0.354425776908,0.221926010396,0.369814482641,0.292910112779,0.306713389495,0.271118755648,0.308609941461,nan,nan,0.387818019522,nan,0.252035241982,nan,0.282124824155,0.234628976377,nan,0.262611343367,92.0171528478,0.883113147255,0.306361247209,nan,0.336179632578,0.437790128105,nan,120.312523,37.7660853527,17.5986196576,9.01276818234,4.25023464868,1.81456728762,1.10979916805,0.415011350762
amp,amp.amp_1.Light,calculated_concentration,28.5666971944,0.0834393776853,0.041329136927,0.0161665921417,0.00951438766458,0.00470982113172,0.0051959547223,nan,4.71247888723,5.00774521004,2.89945242335,1.56956309909,0.74103459844,0.377624914481,0.167468454269,15.8069099905,0.0272397988593,0.0174734174086,0.00795141804946,nan,nan,nan,7.38093596385,2.90736719214,1.56882931583,nan,0.338781101788,0.213420129533,0.0825861817056,0.040964518463,19.9683312826,0.0449327133438,0.0228440870787,0.0122234449182,0.0126064088297,0.0114706021565,0.176730573368,23.2826185195,8.84874224912,4.23425096921,1.72651051103,0.65281583479,0.33008404717,0.19771651948,0.0796005564184
amp,amp.amp_2.Light,calculated_concentration,31.4519376208,nan,nan,nan,nan,nan,nan,nan,5.03613690384,5.41638001775,3.10604444799,1.72205877363,0.848569043527,0.442261886305,nan,8.12635038751,nan,nan,nan,nan,nan,nan,6.71882438883,3.30867455958,1.70781480315,nan,0.423937659308,0.260406687524,nan,nan,6.1332582045,nan,nan,nan,nan,nan,nan,8.21119286406,7.39366469487,4.52982167894,1.96702402052,0.773288298693,0.402011052387,nan,nan
arg-L,arg-L.arg-L_1.Light,calculated_concentration,nan,nan,nan,1.19237063755,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,119.614275291,nan,nan,nan,nan,170.746227905,0.522287523313,0.23581038843,nan,nan,nan,nan,205.880601992,105.687345134,51.7485125825,29.7444478721,10.5420224464,4.94863507427,2.41377384933,0.940046459838
asn-L,asn-L.asn-L_1.Light,calculated_concentration,nan,nan,nan,0.496170158633,nan,nan,nan,nan,0.0171740651902,0.0169958507306,nan,nan,0.022269893968,0.0151315289406,nan,0.0254974417649,nan,nan,nan,0.0253340695577,nan,nan,0.0205070051043,nan,nan,2.62243126826,0.0244231317944,nan,nan,nan,187.461226194,0.405153041346,0.188967800971,0.0983776697914,0.0783695184644,0.0865641698554,0.100748891755,228.81051081,83.7009464445,35.6203672286,20.7908630906,8.33321074732,3.53306651192,1.77310030507,0.75211063007
asn-L,asn-L.asn-L_2.Light,calculated_concentration,nan,nan,nan,0.571231875236,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00550601565326,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,199.889078636,0.371114822556,0.177351544288,0.0822620044558,0.0413061130652,0.0173651204357,0.010156982838,244.385983482,82.1066671308,32.971781427,20.4836089289,8.46441297502,3.78581676021,1.85570096629,0.844447073565
asp-L,asp-L.asp-L_1.Light,calculated_concentration,0.00710971652683,0.00508608503503,0.00413548504706,0.932718404768,0.00454883952411,0.00468428441726,0.00486896301273,0.00174556330583,0.00305427328158,0.00420659757186,0.00437764483309,0.00444139215445,0.00588660384618,0.00639399677956,0.00385456679415,0.0232945707616,0.00483802438097,0.00526513006319,0.00430870919474,0.00577431042412,0.00617494393787,0.00497421683375,0.0119189792415,0.00939019234092,0.00650658210104,nan,0.00642673495133,0.00514127727665,0.00612632193429,0.00652770022272,2.04515440502,0.0410273464118,0.0141085026209,0.0101877867649,0.00795867752164,0.0101015446123,0.00945863598708,2.55344116815,0.89129502887,0.434492750416,0.343327415376,0.157954075057,0.108498235587,0.0679512850229,0.0310463436291
asp-L,asp-L.asp-L_2.Light,calculated_concentration,nan,nan,nan,0.267199631932,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.62085678381,0.0124047070179,0.0043333944154,0.00291056745359,0.00291034162831,nan,nan,0.792771627554,0.256382412197,0.128533081208,0.0938746844751,0.0484195152552,0.0314602092463,0.0203218319552,0.00985961163813
atp,atp.atp_1.Light,calculated_concentration,38.7973520821,0.0312381287939,0.0209635040031,0.0166596433163,0.0186466367877,0.020930440488,0.0226243497333,0.00717256666397,4.24055576329,4.19834713167,1.89737304765,0.920838159387,0.340307312421,0.137282861756,0.10333401329,0.0736806940001,0.017532122599,0.0373974284029,0.0291835429231,0.033985019119,0.036836716666,0.0309109631249,3.53932972408,2.24771000259,1.13392396345,nan,0.16579372923,0.0807769727803,0.0323256391337,0.0312877615943,0.0585286333613,0.0818463203603,0.0601996791942,0.0950894829475,0.162476548456,0.186095781819,0.130769664162,0.0801113531433,0.0669787660166,0.0571647747832,0.950926830014,0.39699103612,0.191127264814,0.205678435837,0.112238384889
atp,atp.atp_2.Light,calculated_concentration,38.4730088017,nan,nan,nan,nan,nan,nan,nan,4.97574200798,4.59452054855,1.85137622111,0.782256055703,nan,nan,nan,0.0183582718993,nan,nan,nan,nan,nan,nan,5.53345639862,2.56075425695,0.915224104927,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
