ProteinName,FullPeptideName,transition_group_id,transition_name,RetentionTime,Annotation,PrecursorMz,MS1 Res,ProductMz,MS2 Res,Dwell,Fragmentor,Collision Energy,Cell Accelerator Voltage,LibraryIntensity,decoy,PeptideSequence,LabelType,PrecursorCharge,FragmentCharge,FragmentType,FragmentSeriesNumber,quantifying_transition,identifying_transition,detecting_transition
arg-L,,arg-L,arg-L.arg-L_1.Heavy,0.764268393,,179,Unit,136,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
arg-L,,arg-L,arg-L.arg-L_1.Light,0.768161108,,173,Unit,131,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
orn,,orn,orn.orn_1.Heavy,0.791261211,,136,Unit,89,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
orn,,orn,orn.orn_1.Light,0.791261211,,131,Unit,85,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
asn-L,,asn-L,asn-L.asn-L_1.Heavy,0.97553647,,135,Unit,118,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
asn-L,,asn-L,asn-L.asn-L_1.Light,0.976395759,,131,Unit,114,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
asn-L,,asn-L,asn-L.asn-L_2.Light,0.976395759,,131,Unit,95,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
ser-L,,ser-L,ser-L.ser-L_1.Heavy,0.973188875,,107,Unit,76,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
ser-L,,ser-L,ser-L.ser-L_1.Light,0.974951605,,104,Unit,74,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
ser-L,,ser-L,ser-L.ser-L_2.Light,0.974951605,,104,Unit,42,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
citr-L,,citr-L,citr-L.citr-L_1.Heavy,0.992844748,,180,Unit,136,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
citr-L,,citr-L,citr-L.citr-L_1.Light,0.982547648,,174,Unit,131,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
gln-L,,gln-L,gln-L.gln-L_1.Heavy,0.971380762,,150,Unit,132,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
gln-L,,gln-L,gln-L.gln-L_1.Light,0.968886199,,145.001,Unit,127,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
gln-L,,gln-L,gln-L.gln-L_2.Light,0.968886199,,145.001,Unit,101,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
Hexose_Pool_fru_glc-D,,Hexose_Pool_fru_glc-D,Hexose_Pool_fru_glc-D.Hexose_Pool_fru_glc-D_1.Heavy,0.980781127,,185,Unit,61,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
Hexose_Pool_fru_glc-D,,Hexose_Pool_fru_glc-D,Hexose_Pool_fru_glc-D.Hexose_Pool_fru_glc-D_1.Light,0.896750792,,179,Unit,59,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Hexose_Pool_fru_glc-D,,Hexose_Pool_fru_glc-D,Hexose_Pool_fru_glc-D.Hexose_Pool_fru_glc-D_2.Light,0.896750792,,179,Unit,89,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
Lcystin,,Lcystin,Lcystin.Lcystin_1.Heavy,0.981533898,,245,Unit,123,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
Lcystin,,Lcystin,Lcystin.Lcystin_1.Light,1.00927138,,239,Unit,120,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
thr-L,,thr-L,thr-L.thr-L_1.Heavy,0.995023917,,122,Unit,76,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
thr-L,,thr-L,thr-L.thr-L_1.Light,0.994857681,,118,Unit,74,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
